Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,440.0,3.4324942791762014,0.09346285114203202,0.030716723549488054,0.13231819375164086,0.0,0.743502231556839,0.1340909090909091,0.006818181818181818,0.0,440.0,1.7379310344827585,0.11818181818181818
m,1,4.0,12.75,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.5,0.0,0.0,4.0,1.5,0.25
m,2,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-5.75,0.0
m,3,33.0,-2.303030303030303,0.0,0.0,0.20909090909090908,0.0,0.7909090909090909,0.06060606060606061,0.0,0.0,33.0,-4.575757575757576,0.06060606060606061
m,4,35.0,-3.142857142857143,0.03571428571428571,0.0,0.5071428571428571,0.0,0.45714285714285713,0.08571428571428572,0.0,0.0,35.0,-7.085714285714285,0.02857142857142857
m,5,35.0,-2.5428571428571427,0.9534883720930233,0.0,0.0,0.0,0.046511627906976744,0.02857142857142857,0.0,0.0,35.0,-10.4,0.02857142857142857
m,6,34.0,4.029411764705882,0.14893617021276595,0.20212765957446807,0.03723404255319149,0.0,0.6117021276595744,0.17647058823529413,0.0,0.0,34.0,0.6176470588235294,0.058823529411764705
m,7,36.0,2.9444444444444446,0.04310344827586207,0.0,0.17672413793103448,0.0,0.7801724137931034,0.1111111111111111,0.0,0.0,36.0,1.8055555555555556,0.16666666666666666
m,8,41.0,9.21951219512195,0.007858546168958742,0.03143418467583497,0.1237721021611002,0.0,0.8369351669941061,0.14634146341463414,0.0,0.0,41.0,10.268292682926829,0.12195121951219512
m,9,56.0,4.821428571428571,0.2028985507246377,0.061191626409017714,0.04508856682769726,0.0,0.6908212560386473,0.16071428571428573,0.0,0.0,56.0,7.464285714285714,0.14285714285714285
m,10,57.0,-0.7142857142857143,0.21428571428571427,0.0,0.2484472049689441,0.0,0.5372670807453416,0.15789473684210525,0.017543859649122806,0.0,57.0,3.125,0.14035087719298245
m,11,52.0,7.76,0.012096774193548387,0.033602150537634407,0.20833333333333334,0.0,0.7459677419354839,0.1346153846153846,0.038461538461538464,0.0,52.0,2.7142857142857144,0.15384615384615385
m,12,53.0,9.226415094339623,0.02063106796116505,0.0,0.043689320388349516,0.0,0.9356796116504854,0.18867924528301888,0.0,0.0,53.0,5.826923076923077,0.18867924528301888
d,1,60.0,-0.6949152542372882,0.18064516129032257,0.0,0.13225806451612904,0.0,0.6870967741935484,0.13333333333333333,0.016666666666666666,0.0,60.0,1.6271186440677967,0.1
d,2,57.0,-2.0,0.038135593220338986,0.0,0.2754237288135593,0.0,0.6864406779661016,0.08771929824561403,0.0,0.0,57.0,-0.3333333333333333,0.07017543859649122
d,3,47.0,-3.595744680851064,0.10526315789473684,0.0,0.5052631578947369,0.0,0.3894736842105263,0.0425531914893617,0.0,0.0,47.0,-4.212765957446808,0.0425531914893617
d,4,61.0,8.655737704918034,0.0784313725490196,0.058823529411764705,0.19716775599128541,0.0,0.6655773420479303,0.19672131147540983,0.0,0.0,61.0,10.114754098360656,0.22950819672131148
d,5,61.0,2.737704918032787,0.012468827930174564,0.0,0.02743142144638404,0.0,0.9600997506234414,0.14754098360655737,0.0,0.0,61.0,3.6885245901639343,0.16393442622950818
d,6,94.0,8.728260869565217,0.03345388788426763,0.022603978300180832,0.02802893309222423,0.0,0.9159132007233273,0.14893617021276595,0.02127659574468085,0.0,94.0,-1.4,0.11702127659574468
d,7,60.0,5.433333333333334,0.22476446837146702,0.05114401076716016,0.17092866756393002,0.0,0.5531628532974427,0.15,0.0,0.0,60.0,2.683333333333333,0.08333333333333333
h,1000-1059,45.0,19.266666666666666,0.02672147995889003,0.0,0.0,0.0,0.9732785200411099,0.2222222222222222,0.0,0.0,17.0,1.3529411764705883,0.17647058823529413
h,1100-1159,18.0,7.444444444444445,0.09401709401709402,0.0,0.0,0.0,0.905982905982906,0.2777777777777778,0.0,0.0,0.0,0.0,0.0
h,1200-1259,58.0,-4.362068965517241,0.5222929936305732,0.0,0.45222929936305734,0.0,0.025477707006369428,0.034482758620689655,0.0,0.0,157.0,0.6193548387096774,0.08917197452229299
h,1500-1559,211.0,0.6650717703349283,0.09319899244332494,0.0982367758186398,0.24601175482787574,0.0,0.5625524769101595,0.11374407582938388,0.009478672985781991,0.0,98.0,13.350515463917526,0.21428571428571427
h,1600-1659,75.0,10.27027027027027,0.0987460815047022,0.0,0.09169278996865204,0.0,0.8095611285266457,0.22666666666666666,0.013333333333333334,0.0,10.0,-7.5,0.0
h,1800-1859,33.0,-4.454545454545454,0.0,0.0,0.24210526315789474,0.0,0.7578947368421053,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,-11.60344827586207,0.0
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.727272727272727,0.1956521739130435
h,1300-1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-1.3703703703703705,0.09259259259259259
