Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,29250.0,8.469903650240012,0.24616665638685006,0.024128785542465923,0.26437118361808426,0.0006229568864491458,0.4647104175661506,0.16902564102564102,0.010256410256410256,0.0024957264957264956,29249,2.2034044908832993,0.1762111525180348
m,1,3294.0,9.923578751164959,0.3702973844500179,0.020512361160874237,0.09826227158724471,0.002179624985071062,0.5087483578167921,0.19156041287188827,0.022768670309653915,0.0009107468123861566,3288,4.065,0.20255474452554745
m,2,3298.0,9.44280442804428,0.19088175019295772,0.018151332073563464,0.34330503286934766,0.0,0.44766188486413117,0.1795027289266222,0.014554275318374773,0.0033353547604608852,3303,1.4447513812154695,0.18225855283075992
m,3,4174.0,11.515042117930205,0.18011651945123097,0.009434316857733509,0.30075173839503855,0.001691411388836685,0.5080060139071603,0.206756109247724,0.005031145184475324,0.002635361763296598,4176,6.126753749395259,0.22485632183908047
m,4,3030.0,7.667772983737139,0.21134848110644602,0.014448011854778958,0.2893924425784144,0.0004630773030377871,0.4843479871573228,0.15214521452145213,0.005610561056105611,0.0013201320132013201,3024,-0.13468573328899236,0.14715608465608465
m,5,2039.0,8.71583087512291,0.39100063503583415,0.01982218996643382,0.18942211739090992,0.0,0.3997550576068221,0.16184404119666504,0.0024521824423737125,0.00392349190779794,2031,-0.549455984174085,0.14278680452978829
m,6,1625.0,11.509573810994441,0.23703119523308797,0.04832632316859446,0.239440939362075,0.0,0.47520154223624256,0.20307692307692307,0.0036923076923076922,0.005538461538461538,1624,5.316116988176727,0.2025862068965517
m,7,1637.0,12.102867830423941,0.23741354350973137,0.07913784783657712,0.28172752131253015,0.0009650957053241113,0.4007559916358372,0.1973121563836286,0.020158827122785584,0.006719609040928528,1637,8.27408328154133,0.2125839951130116
m,8,1515.0,10.960508701472557,0.22498187092095723,0.023885061638868745,0.3188451776649746,0.0,0.43228788977519944,0.17623762376237623,0.014521452145214522,0.0019801980198019802,1514,5.972409152086137,0.20343461030383092
m,9,1345.0,6.3947761194029855,0.2864195711443519,0.039938103308525534,0.21442782403654853,0.0,0.459214501510574,0.14944237918215614,0.0037174721189591076,0.002973977695167286,1346,0.9760658189977561,0.1589895988112927
m,10,1809.0,2.831211953514112,0.29882147533828024,0.016062854648625054,0.21292012221737233,0.0,0.47219554779572237,0.12216694306246545,0.001105583195135434,0.002211166390270868,1810,-1.0619469026548674,0.11823204419889503
m,11,2488.0,0.1707611759967781,0.24301717699775952,0.04891710231516057,0.3674383868558626,0.0,0.34062733383121735,0.0767684887459807,0.0020096463022508037,0.0008038585209003215,2491,-8.744270205066345,0.07948615014050582
m,12,2996.0,8.649642492339122,0.22357190635451504,0.0018461538461538461,0.2730969899665552,0.0,0.5014849498327759,0.17823765020026702,0.020360480640854474,0.0010013351134846463,3005,4.6774084124830395,0.2
d,1,4084.0,7.972332015810276,0.22125745622474505,0.023811814508370215,0.24973542428324033,0.0,0.5051953049836444,0.16895200783545544,0.009059745347698335,0.0022037218413320275,4073,2.4559701492537314,0.17972010802848024
d,2,4125.0,7.918337408312959,0.22879317387555032,0.025688739617845957,0.3266010075795398,0.0,0.4189170789270639,0.15951515151515153,0.00896969696969697,0.0024242424242424242,4110,1.3447258421440866,0.1610705596107056
d,3,4013.0,8.584190715181933,0.2578350794797688,0.042223627167630055,0.2898979407514451,0.0020321531791907513,0.40801119942196534,0.16247196611014203,0.00697732369798156,0.00299028158484924,4009,0.11397523376295172,0.15789473684210525
d,4,4168.0,8.12997347480106,0.22081430077301475,0.012956781447645819,0.3094913914265636,0.0,0.4567375263527758,0.16938579654510558,0.00527831094049904,0.0031190019193857964,4190,3.7361742877663393,0.19236276849642006
d,5,4172.0,9.412490922294843,0.24028516919369414,0.026990661713023396,0.2612712119690732,0.0014660106436389195,0.4699869464805703,0.19007670182166828,0.010306807286673058,0.0021572387344199425,4171,3.9299610894941632,0.19947254854950852
d,6,4502.0,10.151131221719456,0.27809027538132375,0.020032438401546,0.1672993305266064,0.0004141072537787287,0.5341638484367451,0.17569968902709907,0.01821412705464238,0.0015548645046645935,4534,3.6025123373710186,0.17931186590207324
d,7,4186.0,6.994922630560929,0.26764612723241477,0.017956777038715493,0.2756133810881271,0.0003654703603537753,0.43841824428038884,0.15623506927854755,0.012183468705207836,0.003105590062111801,4162,0.016050583657587547,0.1624219125420471
h,0001-0559,733.0,-1.3737931034482758,0.8748712667353244,0.010813594232749742,0.11431513903192585,0.0,0.0,0.03819918144611187,0.010914051841746248,0.001364256480218281,504,-1.2222222222222223,0.0992063492063492
h,0600-0659,2246.0,-2.0387561964849032,0.646433041301627,0.07728410513141427,0.23857947434292867,0.00031289111389236547,0.03739048811013767,0.03561887800534283,0.012021371326803205,0.002226179875333927,1464,-6.410701876302988,0.09972677595628415
h,0700-0759,1488.0,1.4298305084745764,0.8419778699861687,0.013485477178423237,0.1417704011065007,0.0027662517289073307,0.0,0.04435483870967742,0.008736559139784945,0.003360215053763441,3160,-5.290208667736757,0.10854430379746835
h,0800-0859,1741.0,-0.15153267784846733,0.5179010658649904,0.03115605356654824,0.18515987974856518,0.0,0.26578300081989614,0.045376220562894885,0.0068925904652498565,0.0011487650775416428,2507,-2.2940466613032986,0.12883925009972078
h,0900-0959,630.0,5.834405144694534,0.08355941399891481,0.0,0.427563754747694,0.0023512389220473866,0.48652559233134385,0.12857142857142856,0.012698412698412698,0.0,1911,-1.4691618344754875,0.14076399790685504
h,1000-1059,2438.0,2.5797520661157023,0.2831168831168831,0.01411921411921412,0.18115218115218115,0.0,0.5216117216117216,0.10746513535684987,0.007383100902378999,0.00041017227235438887,2351,0.6579060749676864,0.14674606550404085
h,1100-1159,2170.0,6.651346332404828,0.23210574002025264,0.014336726536268187,0.29350317113467994,0.0,0.46005436230879926,0.1576036866359447,0.007373271889400922,0.0013824884792626728,1443,4.098314606741573,0.18988218988218988
h,1200-1259,2481.0,6.849309504467913,0.21027265830693026,0.0193225936007854,0.199384176000714,0.0,0.5710205720915703,0.15155179363160015,0.007658202337767029,0.004030632809351068,1957,1.498455200823893,0.1614716402657128
h,1300-1359,2672.0,9.78738670694864,0.2527013312638052,0.015043877977434183,0.3506059339740911,0.0021789743895886814,0.3794698823950809,0.20396706586826346,0.009730538922155689,0.004116766467065869,1493,-0.7417397167902899,0.1507032819825854
h,1400-1459,1668.0,9.841818181818182,0.2821572727714828,0.019598307639935808,0.1861109760248991,0.0,0.5121334435636823,0.16127098321342925,0.011390887290167866,0.002398081534772182,1931,2.2365535248041777,0.18953909891248058
h,1500-1559,1638.0,15.399506781750924,0.20496590312991783,0.028641370869033046,0.402203182374541,0.0031474033922014337,0.3610421402343067,0.2557997557997558,0.01098901098901099,0.002442002442002442,2042,6.396526054590571,0.2051909892262488
h,1600-1659,1776.0,17.69409761634506,0.22290274137981803,0.03969258855746297,0.3325873796413533,0.0,0.40481729042136566,0.26126126126126126,0.007882882882882882,0.0045045045045045045,1756,7.20242214532872,0.23120728929384965
h,1700-1759,1658.0,16.003052503052505,0.257775942747041,0.027525461051472612,0.2621800165152766,0.0,0.45251857968620973,0.2545235223160434,0.012062726176115802,0.004221954161640531,1068,17.66602870813397,0.32303370786516855
h,1800-1859,1988.0,10.581855043081601,0.18817024128686327,0.0307892091152815,0.19931300268096513,0.0,0.5817275469168901,0.2062374245472837,0.008551307847082495,0.0015090543259557343,1268,7.852118305355716,0.22949526813880125
h,1900-1959,2193.0,14.095877721167207,0.17863270231760156,0.026985373229811857,0.19965686702143126,0.0,0.5947250574311553,0.2667578659370725,0.015503875968992248,0.001823985408116735,1615,6.253275109170306,0.22724458204334366
h,2000-2059,1208.0,18.360738255033556,0.10195465867353401,0.0215307974838519,0.21133955334149535,0.0,0.6651749905011187,0.29221854304635764,0.013245033112582781,0.0024834437086092716,1780,9.014806378132118,0.25842696629213485
h,2100-2159,441.0,18.365967365967364,0.08311269713364798,0.0,0.41705997467480144,0.0,0.49982732819155057,0.2947845804988662,0.027210884353741496,0.0,386,4.986945169712794,0.21243523316062177
h,2200-2259,81.0,29.153846153846153,0.08069620253164557,0.0015822784810126582,0.04852320675105485,0.0,0.869198312236287,0.4074074074074074,0.037037037037037035,0.024691358024691357,410,4.433497536945813,0.1951219512195122
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,8.866336633663366,0.2315270935960591
