Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1212.0,16.741989881956155,0.4717047178250554,0.0,0.1008128816459881,0.0,0.4274824005289565,0.21699669966996699,0.022277227722772276,0.009075907590759076,1214.0,12.730185497470488,0.22405271828665568
m,1,58.0,9.614035087719298,0.6640726329442282,0.0,0.09208819714656291,0.0,0.2438391699092088,0.15517241379310345,0.017241379310344827,0.0,59.0,-8.586206896551724,0.05084745762711865
m,2,74.0,1.452054794520548,0.4055299539170507,0.0,0.2764976958525346,0.0,0.31797235023041476,0.13513513513513514,0.013513513513513514,0.0,74.0,-1.5616438356164384,0.16216216216216217
m,3,91.0,21.696629213483146,0.5224989078200087,0.0,0.09742245522062036,0.0,0.3800786369593709,0.24175824175824176,0.02197802197802198,0.01098901098901099,92.0,13.44943820224719,0.2717391304347826
m,4,89.0,19.71590909090909,0.556663644605621,0.0,0.0815956482320943,0.0,0.3617407071622847,0.1797752808988764,0.011235955056179775,0.0,89.0,15.272727272727273,0.1797752808988764
m,5,89.0,13.714285714285714,0.41848976711362035,0.0,0.17854622441778406,0.0,0.40296400846859565,0.15730337078651685,0.056179775280898875,0.011235955056179775,89.0,9.552941176470588,0.2247191011235955
m,6,116.0,19.741071428571427,0.3154385964912281,0.0,0.09719298245614034,0.0,0.5873684210526315,0.19827586206896552,0.034482758620689655,0.034482758620689655,116.0,19.81981981981982,0.27586206896551724
m,7,121.0,17.03361344537815,0.3591711435149655,0.0,0.1419800460475825,0.0,0.49884881043745205,0.3305785123966942,0.01652892561983471,0.01652892561983471,121.0,18.847457627118644,0.34710743801652894
m,8,116.0,43.30357142857143,0.5264503441494592,0.0,0.09046214355948869,0.0,0.3830875122910521,0.41379310344827586,0.034482758620689655,0.017241379310344827,116.0,31.646017699115045,0.35344827586206895
m,9,107.0,14.462264150943396,0.6928074245939675,0.0,0.05846867749419954,0.0,0.24872389791183294,0.1588785046728972,0.018691588785046728,0.0,107.0,5.537735849056604,0.17757009345794392
m,10,110.0,9.2,0.6055625790139064,0.0,0.022123893805309734,0.0,0.3723135271807838,0.12727272727272726,0.0,0.0,110.0,14.372727272727273,0.10909090909090909
m,11,106.0,13.509615384615385,0.25,0.0,0.06371595330739299,0.0,0.686284046692607,0.22641509433962265,0.018867924528301886,0.009433962264150943,106.0,12.912621359223301,0.2169811320754717
m,12,135.0,10.196969696969697,0.41858407079646015,0.0,0.15309734513274337,0.0,0.4283185840707965,0.1925925925925926,0.022222222222222223,0.0,135.0,6.507575757575758,0.2
d,1,180.0,15.371428571428572,0.44457142857142856,0.0,0.11114285714285714,0.0,0.4442857142857143,0.22777777777777777,0.03333333333333333,0.011111111111111112,182.0,12.156424581005586,0.24175824175824176
d,2,166.0,16.04268292682927,0.6109059926157342,0.0,0.10678784436239705,0.0,0.2823061630218688,0.1566265060240964,0.012048192771084338,0.012048192771084338,166.0,5.219512195121951,0.16265060240963855
d,3,166.0,13.061728395061728,0.35949098621421,0.0,0.12937433722163308,0.0,0.5111346765641569,0.20481927710843373,0.024096385542168676,0.012048192771084338,166.0,15.08641975308642,0.2469879518072289
d,4,183.0,20.585635359116022,0.6199957182616143,0.0,0.07236137871976023,0.0,0.30764290301862557,0.26229508196721313,0.01092896174863388,0.0,184.0,11.860335195530727,0.2554347826086957
