Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819.0,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,80.0,-12.253164556962025,0.2375,0.0,0.3375,0.0,0.425,0.0375,0.0125,0.0,-5.924050632911392,0.0375
m,2,75.0,-7.617647058823529,0.0,0.06060606060606061,0.13257575757575757,0.0,0.8068181818181818,0.09333333333333334,0.09333333333333334,0.013333333333333334,-1.338235294117647,0.12
m,3,79.0,-9.493333333333334,0.07009345794392523,0.0,0.397196261682243,0.0,0.5327102803738317,0.05063291139240506,0.05063291139240506,0.012658227848101266,-2.466666666666667,0.0379746835443038
m,4,78.0,-6.298701298701299,0.04846938775510204,0.0,0.09948979591836735,0.0,0.8520408163265306,0.038461538461538464,0.01282051282051282,0.0,-4.842105263157895,0.02564102564102564
m,5,80.0,-10.525641025641026,0.0,0.0,0.00625,0.0,0.99375,0.025,0.025,0.025,-3.7435897435897436,0.075
m,6,76.0,-6.986486486486487,0.0,0.29916897506925205,0.07479224376731301,0.0,0.6260387811634349,0.07894736842105263,0.02631578947368421,0.013157894736842105,-1.7945205479452055,0.06578947368421052
m,7,62.0,-8.770491803278688,0.0,0.0,0.023255813953488372,0.0,0.9767441860465116,0.03225806451612903,0.016129032258064516,0.03225806451612903,-4.39344262295082,0.04838709677419355
m,8,62.0,-4.112903225806452,0.0,0.3519163763066202,0.04878048780487805,0.0,0.5993031358885017,0.06451612903225806,0.0,0.016129032258064516,-2.5161290322580645,0.08064516129032258
m,9,60.0,-6.733333333333333,0.0,0.7581699346405228,0.24183006535947713,0.0,0.0,0.06666666666666667,0.0,0.05,-6.65,0.016666666666666666
m,10,62.0,-5.290322580645161,0.0,0.7816091954022989,0.10344827586206896,0.0,0.11494252873563218,0.04838709677419355,0.0,0.04838709677419355,-2.7580645161290325,0.08064516129032258
m,11,59.0,-9.344827586206897,0.0,0.8549618320610687,0.1450381679389313,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0,-12.620689655172415,0.01694915254237288
m,12,61.0,-4.901639344262295,0.03125,0.3875,0.159375,0.0,0.421875,0.08196721311475409,0.0,0.01639344262295082,-1.5833333333333333,0.06557377049180328
d,1,130.0,-8.376,0.0,0.3065134099616858,0.2835249042145594,0.0,0.4099616858237548,0.038461538461538464,0.038461538461538464,0.007692307692307693,-4.912,0.038461538461538464
d,2,130.0,-10.728682170542635,0.07653061224489796,0.29081632653061223,0.1836734693877551,0.0,0.4489795918367347,0.03076923076923077,0.007692307692307693,0.0,-6.9296875,0.038461538461538464
d,3,104.0,-4.471153846153846,0.008620689655172414,0.11637931034482758,0.11422413793103449,0.0,0.7607758620689655,0.04807692307692308,0.0,0.009615384615384616,-0.4230769230769231,0.09615384615384616
d,4,103.0,-7.9411764705882355,0.13659793814432988,0.27835051546391754,0.2190721649484536,0.0,0.36597938144329895,0.05825242718446602,0.009708737864077669,0.009708737864077669,-3.6666666666666665,0.04854368932038835
d,5,132.0,-8.217054263565892,0.020242914979757085,0.3319838056680162,0.11538461538461539,0.0,0.5323886639676113,0.06060606060606061,0.022727272727272728,0.030303030303030304,-5.0546875,0.045454545454545456
d,6,132.0,-5.362903225806452,0.0,0.31203007518796994,0.08458646616541353,0.0,0.6033834586466166,0.10606060606060606,0.06060606060606061,0.03787878787878788,-1.8225806451612903,0.09090909090909091
d,7,103.0,-9.343137254901961,0.0,0.04953560371517028,0.07430340557275542,0.0,0.8761609907120743,0.02912621359223301,0.009708737864077669,0.02912621359223301,-5.584158415841584,0.038834951456310676
h,1000-1059,366.0,-5.811634349030471,0.003451251078515962,0.36669542709232095,0.1285591026747196,0.0,0.5012942191544435,0.060109289617486336,0.01366120218579235,0.02185792349726776,-2.5872093023255816,0.04871060171919771
h,1700-1759,364.0,-8.513966480446927,0.05384615384615385,0.15128205128205127,0.14188034188034188,0.0,0.652991452991453,0.04120879120879121,0.016483516483516484,0.019230769230769232,-6.352941176470588,0.0
h,2100-2159,104.0,-12.895833333333334,0.04559270516717325,0.13069908814589665,0.17933130699088146,0.0,0.6443768996960486,0.07692307692307693,0.07692307692307693,0.0,-4.830882352941177,0.05714285714285714
h,,,,,,,,,,,,-9.226190476190476,0.05952380952380952
h,,,,,,,,,,,,-2.831578947368421,0.08653846153846154
