Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,746.0,7.188705234159779,0.13049853372434017,0.17542940930037704,0.3911813992459154,0.0,0.3028906577293674,0.14611260053619302,0.02680965147453083,0.005361930294906166,750.0,6.5850622406639,0.212
m,1,58.0,2.767857142857143,0.5108910891089109,0.12475247524752475,0.2891089108910891,0.0,0.07524752475247524,0.10344827586206896,0.034482758620689655,0.017241379310344827,60.0,9.5,0.2
m,2,55.0,16.942307692307693,0.048013245033112585,0.38162251655629137,0.3402317880794702,0.0,0.23013245033112584,0.16363636363636364,0.05454545454545454,0.0,55.0,9.82,0.3090909090909091
m,3,62.0,3.098360655737705,0.09553158705701079,0.02773497688751926,0.48382126348228044,0.0,0.3929121725731895,0.08064516129032258,0.016129032258064516,0.0,62.0,5.80327868852459,0.22580645161290322
m,4,60.0,-1.0169491525423728,0.048701298701298704,0.0,0.24025974025974026,0.0,0.711038961038961,0.1,0.016666666666666666,0.0,60.0,8.133333333333333,0.21666666666666667
m,5,61.0,6.733333333333333,0.22554347826086957,0.0,0.4673913043478261,0.0,0.3070652173913043,0.16393442622950818,0.01639344262295082,0.0,61.0,8.94915254237288,0.2459016393442623
m,6,60.0,3.76271186440678,0.2495697074010327,0.0,0.29948364888123924,0.0,0.4509466437177281,0.13333333333333333,0.016666666666666666,0.0,60.0,1.9322033898305084,0.11666666666666667
m,7,61.0,12.392857142857142,0.0,0.0,0.8546391752577319,0.0,0.14536082474226805,0.16393442622950818,0.08196721311475409,0.01639344262295082,61.0,13.407407407407407,0.22950819672131148
m,8,62.0,14.870967741935484,0.049959049959049956,0.0,0.6633906633906634,0.0,0.28665028665028663,0.27419354838709675,0.0,0.0,62.0,8.45,0.2903225806451613
m,9,57.0,3.1964285714285716,0.12705882352941175,0.5152941176470588,0.07529411764705882,0.0,0.2823529411764706,0.12280701754385964,0.017543859649122806,0.017543859649122806,57.0,2.491228070175439,0.19298245614035087
m,10,88.0,8.147727272727273,0.08860759493670886,0.502373417721519,0.15585443037974683,0.0,0.25316455696202533,0.17045454545454544,0.0,0.0,88.0,-4.709302325581396,0.14772727272727273
m,11,57.0,8.666666666666666,0.3346055979643766,0.0,0.12086513994910941,0.0,0.544529262086514,0.12280701754385964,0.0,0.017543859649122806,58.0,6.894736842105263,0.1206896551724138
m,12,65.0,7.033333333333333,0.05810055865921788,0.311731843575419,0.3452513966480447,0.0,0.2849162011173184,0.13846153846153847,0.07692307692307693,0.0,66.0,14.096774193548388,0.2727272727272727
d,1,109.0,0.5094339622641509,0.0922722029988466,0.13610149942329874,0.41061130334486734,0.0,0.36101499423298733,0.09174311926605505,0.027522935779816515,0.0,109.0,5.672897196261682,0.21100917431192662
d,2,108.0,13.822429906542055,0.10800568450971104,0.3382283278067267,0.3192799621032686,0.0,0.2344860255802937,0.1574074074074074,0.009259259259259259,0.009259259259259259,109.0,2.7009345794392523,0.1559633027522936
d,3,103.0,9.13265306122449,0.27114967462039047,0.013015184381778741,0.37020968908170643,0.0,0.34562545191612437,0.1650485436893204,0.04854368932038835,0.009708737864077669,104.0,14.3,0.28846153846153844
d,4,109.0,11.009345794392523,0.037527593818984545,0.14514348785871964,0.4955849889624724,0.0,0.3217439293598234,0.1834862385321101,0.01834862385321101,0.0,109.0,12.262135922330097,0.26605504587155965
d,5,110.0,6.317757009345795,0.22857142857142856,0.1907563025210084,0.43781512605042017,0.0,0.14285714285714285,0.14545454545454545,0.02727272727272727,0.0,113.0,4.697247706422019,0.19469026548672566
d,6,98.0,6.760416666666667,0.051159072741806554,0.26778577138289367,0.2270183852917666,0.0,0.4540367705835332,0.16326530612244897,0.02040816326530612,0.0,97.0,3.129032258064516,0.1958762886597938
d,7,109.0,2.742857142857143,0.1702355460385439,0.0,0.5246252676659529,0.0,0.30513918629550324,0.11926605504587157,0.03669724770642202,0.01834862385321101,109.0,3.548076923076923,0.1743119266055046
h,0600-0659,154.0,7.48,0.14398422090729784,0.6198224852071006,0.2361932938856016,0.0,0.0,0.09740259740259741,0.025974025974025976,0.012987012987012988,0.0,0.0,0.0
h,0700-0759,221.0,-2.5794392523364484,0.16382575757575757,0.33049242424242425,0.5056818181818182,0.0,0.0,0.05429864253393665,0.03167420814479638,0.004524886877828055,24.0,-8.347826086956522,0.125
h,1000-1059,25.0,9.72,0.31085043988269795,0.0,0.1436950146627566,0.0,0.5454545454545454,0.28,0.0,0.0,0.0,0.0,0.0
h,1200-1259,3.0,9.666666666666666,0.07936507936507936,0.0,0.2698412698412698,0.0,0.6507936507936508,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
h,1700-1759,335.0,13.266871165644172,0.1130420111354817,0.011641639952758562,0.4474439007929813,0.0,0.42787244811877845,0.21791044776119403,0.026865671641791045,0.0029850746268656717,13.0,-0.6923076923076923,0.15384615384615385
h,1800-1859,4.0,23.5,0.0,0.0,0.03007518796992481,0.0,0.9699248120300752,0.25,0.0,0.0,160.0,12.62,0.23125
h,2200-2259,2.0,-15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,0001-0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-18.0,0.0
h,0800-0859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.333333333333333,0.3333333333333333
h,1300-1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-7.62962962962963,0.09259259259259259
h,1400-1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,5.713310580204778,0.2040133779264214
h,1900-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,9.793296089385475,0.25396825396825395
h,2000-2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.333333333333332,0.3333333333333333
