Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,132625,5.695079684591286,0.3599497890442484,0.02773903475636451,0.28623537935229415,0.0011090189879547946,0.32496677785913813,0.14074269557021676,0.0037851083883129123,0.0025636192271442037,132627,0.9078820611237114,0.15951503087606597
m,1,9749,5.908207566673558,0.36493930959612875,0.053795604420986985,0.3293912481088385,0.0029334657627588436,0.24894037211128692,0.13180839060416452,0.008205969843060826,0.0022566417068417273,9739,-2.9860474802165764,0.13081425197658897
m,2,9205,2.950244964616222,0.40118928102556184,0.041740674955595025,0.30651015522434166,0.0012549231600895822,0.24930496563441193,0.10526887561108093,0.0022813688212927757,0.0044541010320478,9204,-3.540327868852459,0.11592785745328119
m,3,10288,5.31966813079551,0.3659261003820589,0.010192599570837914,0.32030146019783323,0.0013084209975401685,0.30227141885172976,0.13141524105754276,0.0043740279937791605,0.0036936236391912907,10276,0.0604961270712815,0.1483067341377968
m,4,10311,3.118218938362823,0.36235032982148996,0.007925094569668927,0.31084503079375997,0.0007503048113296026,0.31812924000375153,0.11638056444573756,0.002618562700029095,0.002036659877800407,10319,-2.275838599902771,0.13673805601317957
m,5,11500,2.1983111343257598,0.35064998295924826,0.0198484184559456,0.3520457016732395,0.004252073291461772,0.27320382362010487,0.10147826086956521,0.0011304347826086956,0.0023478260869565218,11500,-3.8269247536838433,0.10765217391304348
m,6,12512,7.8818203669577755,0.36347280008995997,0.016348491008329944,0.2307818730699698,0.0003200498239725968,0.3890767860077677,0.17567135549872123,0.002797314578005115,0.002477621483375959,12511,4.622166854203504,0.1960674606346415
m,7,13165,7.94740056492862,0.3873705624385119,0.01180570609127745,0.22640943122509213,0.0011672308282336462,0.37324706941688485,0.16559058108621344,0.005013292821876187,0.00281048233953665,13165,5.492816750725967,0.1901253323205469
m,8,13214,8.339360328192662,0.38134724088310823,0.006789470755189493,0.2455419253794233,0.000373659397533848,0.36594770358474515,0.164976540033298,0.0041622521568033906,0.002951415165733313,13230,4.301855231143552,0.18306878306878308
m,9,10997,2.802039701329448,0.3862383543791057,0.011993448512706716,0.32190345362004896,3.5223049963896374e-05,0.2798295204381747,0.10166409020641994,0.0013640083659179777,0.001454942256979176,11002,-0.4640386016023307,0.1292492274131976
m,10,10885,4.627476273841334,0.2719846039040101,0.035007789691423485,0.3597266407446683,0.0014401110194676827,0.33184085464043045,0.13054662379421222,0.0030316949931097842,0.0014699127239320166,10880,1.0049875311720697,0.15909926470588234
m,11,10171,2.927608930854726,0.4332927226864801,0.03474784220189783,0.29004581567342175,0.00012011599773495547,0.24179350344046535,0.10706911808081801,0.0003932749975420313,0.001081506243240586,10168,-5.521777690185258,0.11713217938630999
m,12,10628,12.684910680349677,0.3022137015416209,0.07015200798454789,0.27061298637887826,0.0005241654639582391,0.3564971386309947,0.23588633797515995,0.010161836657884832,0.0038577342867896123,10633,10.655698617072007,0.2746167591460547
d,1,19437,6.774365337883253,0.3499339656621443,0.05788810181294273,0.2441169408092208,0.0004202185136270861,0.3476407732020651,0.14796522097031434,0.005144826876575603,0.0028296547821165816,19443,2.867354343769438,0.17600164583654787
d,2,18576,5.237095032397408,0.38991653254482167,0.021252386121196242,0.24676423251113525,0.0011079088220982895,0.3409589400007486,0.13522825150732126,0.0031761412575366066,0.0031761412575366066,18839,0.6626782757331339,0.15430755347948405
d,3,19203,4.092708659772276,0.3702482097583074,0.013479466861652665,0.3171251221974074,0.0008663100754246111,0.29828089110720785,0.12274123834817477,0.0031245117950320263,0.0018226318804353487,18939,-0.5018033308581733,0.1398701092982734
d,4,19385,6.1128473120505,0.3490752825083559,0.023632022918987746,0.3005888906573293,0.0020690752825083558,0.3246347286328187,0.14495744132060873,0.0032499355171524374,0.002115037400051586,19367,1.7367327863744937,0.16982495998347705
d,5,19928,7.36043524255705,0.32018606143235223,0.02681316331167963,0.3206939877563023,0.0007271366321811426,0.3315796508674847,0.16589723002810117,0.004014452027298274,0.0027097551184263346,19859,2.2653464343598055,0.18747167531094214
d,6,17299,5.251801069021613,0.4022556685829915,0.022211590497329434,0.24722943349463924,0.00035293840832620923,0.3279503690167136,0.132146366842014,0.0050869992485114745,0.002716920053182265,17633,-0.7829439652710345,0.1383769069358589
d,7,18797,4.883460451224066,0.36084599583231364,0.021520686407558196,0.32091184824282337,0.0023137333422323077,0.2944077361750725,0.13401074639570143,0.0027663988934404425,0.0026067989572804173,18547,-0.16477919263072338,0.14697794791610502
h,0001-0559,4999,2.3536634460547505,0.6201179217284635,0.0091804835582288,0.16184559376360255,0.0018994103913576826,0.2069565905583475,0.07401480296059212,0.00620124024804961,0.0016003200640128026,4431,-3.081803761613415,0.08530805687203792
h,0600-0659,8841,-0.41569073337123363,0.516115676157717,0.015574240397477547,0.4011720491751067,0.0,0.06713803426969871,0.045469969460468274,0.0053161407080646985,0.001470421897975342,9334,-1.0703116575002696,0.08849367902292693
h,0700-0759,10708,3.337364079490064,0.44314432645428437,0.05269485073131637,0.3882989380885594,0.0010685901288986844,0.11479329459694117,0.08899887934254763,0.003828912962271199,0.001307433694434068,10303,-3.9999022673964033,0.11084150247500728
h,0800-0859,9181,3.1150732881207612,0.4383213624815733,0.07420882602013612,0.3790734874384468,0.000878210958818179,0.10751811310102563,0.09312711033656465,0.0043568238753948375,0.0040300620847402244,8602,-2.0076112412177984,0.13148105091839107
h,0900-0959,8579,5.341560416422974,0.38588918190255905,0.03821618515844837,0.40791431560027697,0.00441975927044507,0.16356055806827055,0.1270544352488635,0.0036134747639585034,0.0039631658701480355,7292,2.8053219357507237,0.1764947888096544
h,1000-1059,7983,4.943628374136849,0.39704936772165467,0.025559048367507324,0.25680502964921054,0.0005715510466528542,0.3200150032149746,0.13165476637855442,0.0025053238131028436,0.004509582863585118,5906,1.5286029536581225,0.16136132746359635
h,1100-1159,12144,7.2443397785490005,0.3004447654527484,0.03002166806051851,0.32881281836843307,0.0002756025241389797,0.340445145594161,0.17267786561264822,0.0036231884057971015,0.002223320158102767,8332,-0.2702376643744722,0.14522323571771484
h,1200-1259,5795,8.012108631724615,0.37327891054096757,0.02385072605522534,0.2739635843804078,0.00026333609209239336,0.3286434429313069,0.16824849007765316,0.0024158757549611735,0.003278688524590164,5304,2.063362965765084,0.16817496229260936
h,1300-1359,6638,8.906906453075411,0.30259098350333713,0.03127754690844982,0.27436720816018134,4.7223271628258404e-05,0.39171703815640346,0.18333835492618258,0.00346489906598373,0.0033142512805061767,7254,0.9707350901525659,0.15977391783843398
h,1400-1459,7296,8.499587118084229,0.3565020672439348,0.020282393322412044,0.1955222716280521,0.0006396754817068414,0.4270535923238942,0.18434758771929824,0.004111842105263158,0.0028782894736842104,7509,1.1927759197324415,0.15860966839792248
h,1500-1559,7037,8.014959395925345,0.32874457109706956,0.015679142037347715,0.2620141425861177,0.0010191442324276015,0.3925430000470374,0.17493249964473498,0.0025579081995168395,0.004121074321443797,7220,0.24575563595880878,0.15401662049861495
h,1600-1659,4853,6.259718775847808,0.33959756033988425,0.017515508523171557,0.201793254444039,0.0027889276963978522,0.43830474899650734,0.16464042860086545,0.00370904595095817,0.002266639192252215,6934,2.3716685979142524,0.17464666858955868
h,1700-1759,5179,8.675528818164176,0.27322893079367494,0.02791467661218199,0.22407854927406617,0.00017125568473731282,0.4746065876353396,0.18748793203321104,0.005213361652828732,0.0027032245607260088,11118,0.17829316905236456,0.16153984529591653
h,1800-1859,9143,5.604319701787085,0.3013768555819215,0.015520666629876938,0.3094338060813421,0.0036559792505932343,0.3700126924562662,0.1477633161981844,0.0029530788581428415,0.0025155856939735317,11955,1.8091468036721974,0.19372647427854453
h,1900-1959,5463,5.583226280051385,0.2566246020658223,0.009161074594049882,0.3302796418019834,0.00025192955133637176,0.40368275198680803,0.157056562328391,0.002562694490206846,0.0009152480322167307,8460,7.089784754429777,0.23546099290780143
h,2000-2059,5024,6.360047846889952,0.34404625260383453,0.009033711686434553,0.24399523870254644,0.0,0.4029247970071845,0.15226910828025478,0.0017914012738853504,0.0005971337579617834,5208,9.150019432568985,0.2586405529953917
h,2100-2159,5489,6.313277249451353,0.29950255475274046,0.008463321853827628,0.24815990276183403,0.0009003533887050667,0.44297386724289284,0.17289123701949352,0.00437238112588814,0.0014574603752960467,3219,4.711291836096341,0.19788754271512893
h,2200-2259,3825,8.342555994729908,0.4044415721755478,0.04385758768579989,0.14041478174020328,0.0,0.41128605839844895,0.17673202614379085,0.008104575163398693,0.0010457516339869282,2618,-0.8131741140215717,0.15393430099312452
h,2300-2359,4448,6.736248872858431,0.38844312152193605,0.017600621198395238,0.1306781415814676,0.0014559337388378414,0.46182218195936325,0.15984712230215828,0.002922661870503597,0.002697841726618705,1628,-8.582458307597282,0.10626535626535627
