Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,172358,12.057771057400391,0.28619046308487095,0.012178383690776035,0.16671756714646288,0.000651200615067193,0.534262385462823,0.21155385882871697,0.014255212986922568,0.002343958504972209,172398,9.714826900495076,0.24751447232566504
m,1,13207,13.798577458183523,0.28904323420093253,0.013184321182877162,0.1364600123046885,0.0002288061909870699,0.5610836261205148,0.22624365866585902,0.03172560006057394,0.003483001438631029,13206,14.087304702834262,0.28964107223989094
m,2,12420,7.922963930145259,0.2995448487439334,0.01913646993738527,0.15985616214449166,0.0005951333182454463,0.5208673858559442,0.1529790660225443,0.01392914653784219,0.00249597423510467,12423,2.430103126534621,0.16743137728406987
m,3,14259,17.370117748420448,0.2639169561098832,0.008722766024628986,0.1207886011998737,0.0006551941900852542,0.6059164824755289,0.2582930079248194,0.023634195946419804,0.002033803212006452,14255,18.84300734552787,0.3181339880743599
m,4,13955,8.735538383765437,0.2727225916080405,0.009178504534541686,0.20333026524976988,0.0010041000753075056,0.5137645385323404,0.179648871372268,0.007882479398065209,0.0016481547832318166,13951,3.5011584129742253,0.19941222851408502
m,5,14899,10.900135317997293,0.2680647680647681,0.008871508871508872,0.13017413017413018,0.001507001507001507,0.5913825913825914,0.2082018927444795,0.008188469024766764,0.0021477951540371837,14907,8.359221325374754,0.25270007379083653
m,6,14927,10.883171258779038,0.31886480215955887,0.011693945208341352,0.23169625430894666,0.001352473211684049,0.4363925251114691,0.2066054800026797,0.00830709452669659,0.0030816640986132513,14931,6.193624796968057,0.21606054517446924
m,7,15491,13.204069653688123,0.32818898687644044,0.006390354469438677,0.18908211272166245,0.00031427972800518087,0.47602426620445326,0.22380737202246465,0.010715899554580079,0.003679555871150991,15493,10.329364819781514,0.24443296972826437
m,8,15962,13.890521116950548,0.29212947247657145,0.01095265308577788,0.18412402407950879,0.00036523166429624154,0.5124286186938456,0.246272396942739,0.011214133567222152,0.0031324395439168025,15968,12.66282018767436,0.2905811623246493
m,9,14425,7.000069662138627,0.30235606887308575,0.019532594605283393,0.2370716488087827,0.00017577138002504742,0.4408639163328231,0.15057192374350087,0.005268630849220104,0.001317157712305026,14434,2.0623168178646196,0.1718165442704725
m,10,14801,15.433562071116656,0.2347788136203297,0.008026779929450724,0.13657674033546902,0.00031495212727665397,0.6203027139874739,0.23971353286940073,0.02547125194243632,0.0009458820349976353,14818,19.410119378123266,0.3042920772034013
m,11,13874,7.588350358617692,0.31023796949268384,0.01688465003572649,0.17317251234893907,0.0007067631799683122,0.49899810494268226,0.1667147181778867,0.005117485944932968,0.0017298544039210033,13873,0.03163546655057321,0.17847617674619765
m,12,14138,17.402615229013147,0.2812980621347278,0.019938309579958305,0.14560049899176322,0.0007390888273693565,0.5524240404661813,0.26651577309378977,0.0214316027726694,0.002334134955439242,14139,17.874252806531565,0.32279510573590775
d,1,25503,12.998968376780542,0.2866953129865204,0.010711232640952915,0.17069753222710984,0.0008463685411323788,0.5310495536042845,0.22907108967572443,0.01215543269419284,0.0025095086852527154,25599,11.03897854792022,0.26227587015117776
d,2,24841,8.822781715961867,0.28995949006056904,0.008583875947125518,0.18625953002201798,0.00033692986373929463,0.5148601741065482,0.1759590998752063,0.012157320558753673,0.0022543375870536612,24809,5.468390687016654,0.20835180781168125
d,3,25164,8.847561467150342,0.29662525632064507,0.012438550625016895,0.18328808702737562,0.00113920286692952,0.5065089031600329,0.17437609283102845,0.014544587505960896,0.0020664441265299633,25138,6.16890004453261,0.21266608322062217
d,4,25608,13.038347146766071,0.28753703579941636,0.014705718550201608,0.1744024148455078,0.0005374367885228007,0.5228173940163514,0.22051702592939706,0.015659169009684473,0.0021087160262417996,25581,10.743313802861811,0.25554122200070367
d,5,26186,17.258760317707523,0.24145006986303422,0.012761504933207516,0.15555598350676056,0.00037873681642819085,0.5898537048805695,0.2649507370350569,0.01951424425265409,0.002482242419613534,26115,17.223749119097956,0.3123109324143213
d,6,20890,9.860411012020164,0.3279494288566042,0.011387379394477098,0.12979483198403016,0.0010735277808583785,0.5297948319840302,0.18224030636668262,0.01273336524652944,0.002920057443752992,21042,5.468860051136089,0.20810759433513926
d,7,24166,12.994302949061662,0.30769415342717205,0.013277985897201335,0.16700209052545073,0.0005248808520465854,0.5115008892981293,0.22635107175370356,0.012455516014234875,0.0021517834974757923,24114,10.910231578947368,0.2641618976528158
h,0001-0559,3493,4.340961761297798,0.49097558658687185,0.005129666571672842,0.14548304360216585,0.0,0.35841170323928945,0.11308330947609505,0.012024048096192385,0.0014314342971657602,2251,-3.6744815148782686,0.06219458018658374
h,0600-0659,10406,0.3043267834672345,0.6055242362324906,0.032717067526648776,0.2230865808325743,0.0009847123409074123,0.13768740306737895,0.05131654814530079,0.007303478762252546,0.0022102633096290603,13229,-4.078676696346331,0.08352861138408042
h,0700-0759,9941,2.374188311688312,0.48985589349573344,0.03498211946322983,0.306996423892646,0.0,0.16816556314839076,0.08047480132783422,0.008952821647721557,0.0021124635348556482,16014,0.017141049968374445,0.1568002997377295
h,0800-0859,13028,5.325283429103898,0.4685252216959625,0.03227037136981585,0.27384220272269627,0.00034429173606781617,0.22501791247545758,0.11275713847098556,0.011820693890082898,0.0029935523487872274,11289,10.244516653127539,0.262113561874391
h,0900-0959,11177,7.751546016733357,0.39556839704688646,0.030961308028294228,0.24683042789223456,0.0008407096749255923,0.32579915735765913,0.15218752795920193,0.016283439205511317,0.0019683278160508187,8953,13.355275125056844,0.30369708477605273
h,1000-1059,13051,15.277123469308167,0.2864626776124208,0.003594929052587422,0.1501919409202433,0.00038534517660027996,0.5593651072381483,0.251168492835798,0.017853038081373077,0.0044441039000842845,10893,12.806913996627319,0.2935830349765905
h,1100-1159,10925,15.823660300389394,0.3118247641671045,0.008896553299376442,0.21791416367830793,0.00013133551083803477,0.46123318334437313,0.2596796338672769,0.013272311212814645,0.0032951945080091534,10000,10.769058524173028,0.2797
h,1200-1259,10789,17.17056162834527,0.2546515810470554,0.01090001417001842,0.16695551704217215,0.00046325060222578287,0.5670296371385283,0.28593938270460656,0.016498285290573733,0.003151357864491612,8835,13.704122877930477,0.2803621958121109
h,1300-1359,10974,19.007879124953654,0.2597491245078448,0.008601586767702748,0.17481154660388185,0.0009101161387333557,0.5559276259818372,0.3025332604337525,0.017313650446509933,0.002369236376890833,9757,10.439779120650135,0.24372245567285025
h,1400-1459,9123,17.52046589018303,0.22496391370498967,0.012236830127830011,0.16322058804405778,0.00022757122979492582,0.5993510968933277,0.29069385070700426,0.011947824180642332,0.0023018743834265043,8938,10.09819593514501,0.2464757216379503
h,1500-1559,7893,15.19909793814433,0.21376062677112853,0.018353058843140525,0.1397316219369895,0.00019169861643607267,0.6279629938323054,0.25275560623337134,0.017483846446218167,0.0016470290130495375,9178,10.223512497235125,0.24003050773589016
h,1600-1659,10251,15.329937691622986,0.2614795999567108,0.006537944908105906,0.12716207355347173,0.0003755976140002419,0.6044447839677113,0.24036679348356257,0.013949858550385328,0.002048580626280363,9581,11.573135602261816,0.2635424277215322
