Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1370.0,-1.0815576781778105,0.4647425385372253,0.07794905433475456,0.06854706461134798,0.0045916693998032145,0.3841696731168689,0.08467153284671533,0.006569343065693431,0.004379562043795621,1370.0,-4.157468727005151,0.10583941605839416
m,1,92.0,0.06666666666666667,0.543455497382199,0.17486910994764399,0.1193717277486911,0.0,0.16230366492146597,0.11956521739130435,0.021739130434782608,0.021739130434782608,93.0,-11.5,0.0967741935483871
m,2,87.0,-10.551724137931034,0.0,0.0,0.1116751269035533,0.0,0.8883248730964467,0.022988505747126436,0.0,0.0,87.0,-12.735632183908047,0.08045977011494253
m,3,93.0,5.408602150537634,0.5709844559585492,0.0383419689119171,0.012435233160621761,0.0,0.37823834196891193,0.07526881720430108,0.0,0.010752688172043012,93.0,-6.204301075268817,0.053763440860215055
m,4,90.0,-6.9,0.23809523809523808,0.0,0.0,0.0,0.7619047619047619,0.044444444444444446,0.0,0.0,90.0,-9.811111111111112,0.07777777777777778
m,5,114.0,-2.8771929824561404,0.3659147869674185,0.0,0.11027568922305764,0.0,0.5238095238095238,0.07017543859649122,0.0,0.0,115.0,-0.017391304347826087,0.09565217391304348
m,6,172.0,-3.4825581395348837,0.5077793493635078,0.0,0.07496463932107496,0.0,0.41725601131541723,0.06976744186046512,0.0,0.0,172.0,-1.1403508771929824,0.12209302325581395
m,7,182.0,1.2747252747252746,0.7768065268065268,0.0,0.045454545454545456,0.01282051282051282,0.1649184149184149,0.08241758241758242,0.0,0.0,182.0,-3.9835164835164836,0.09340659340659341
m,8,182.0,-3.281767955801105,0.2839366515837104,0.0,0.0746606334841629,0.0,0.6414027149321267,0.06593406593406594,0.005494505494505495,0.0,182.0,-1.0722222222222222,0.12637362637362637
m,9,97.0,-1.288659793814433,0.16753926701570682,0.4397905759162304,0.13089005235602094,0.05235602094240838,0.2094240837696335,0.12371134020618557,0.0,0.0,96.0,-6.197916666666667,0.07291666666666667
m,10,89.0,0.5,0.3033419023136247,0.05784061696658098,0.014138817480719794,0.0,0.6246786632390745,0.07865168539325842,0.011235955056179775,0.0,89.0,-4.404494382022472,0.056179775280898875
m,11,83.0,-1.1585365853658536,0.13894736842105262,0.1726315789473684,0.06315789473684211,0.0,0.6252631578947369,0.10843373493975904,0.012048192771084338,0.012048192771084338,83.0,0.5121951219512195,0.13253012048192772
m,12,89.0,12.035294117647059,0.44529750479846447,0.13691618682021753,0.09404990403071017,0.0,0.3237364043506078,0.19101123595505617,0.0449438202247191,0.02247191011235955,88.0,0.15476190476190477,0.25
d,1,200.0,-3.4522613065326633,0.33364750235626767,0.061262959472196045,0.1423185673892554,0.0,0.46277097078228085,0.08,0.005,0.0,201.0,-4.810945273631841,0.11442786069651742
d,2,199.0,0.135678391959799,0.6618020304568528,0.10469543147208121,0.05520304568527919,0.0,0.1782994923857868,0.08040201005025126,0.0,0.005025125628140704,199.0,-5.96969696969697,0.08040201005025126
d,3,199.0,-1.6633165829145728,0.3346709470304976,0.10914927768860354,0.10834670947030497,0.0,0.4478330658105939,0.07035175879396985,0.0,0.0,198.0,-2.8934010152284264,0.11616161616161616
d,4,198.0,-2.3010204081632653,0.46273637374860954,0.11457174638487208,0.10901001112347053,0.0,0.3136818687430478,0.06565656565656566,0.010101010101010102,0.005050505050505051,197.0,-5.855670103092783,0.10152284263959391
d,5,199.0,0.2653061224489796,0.4239401496259352,0.026184538653366583,0.05361596009975062,0.026184538653366583,0.470074812967581,0.12060301507537688,0.01507537688442211,0.0,200.0,0.43147208121827413,0.135
