Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,108854,-0.00993218397176488,0.12318334650081761
m,1,8684,5.453587962962963,0.3441588900409816,0.042573939663259765,0.3328148916209944,0.00035797165851972546,0.2800943070162445,0.12356057116536158,0.006218332565637955,0.006103178258866882,8699,0.42727589815137773,0.13507299689619495
m,2,8271,3.952692867540029,0.3161451040411606,0.07968348041290826,0.29523918069621286,0.0059266013220879874,0.3030056335276303,0.1071212670777415,0.0035062265747793494,0.0022971829283037117,8274,-0.7435585804569762,0.11094996374184192
m,3,9530,4.104193004635483,0.34475464720467314,0.03242887360443778,0.3206746326361943,0.0003221875131326432,0.3018196590415622,0.11983210912906611,0.004302203567681007,0.0033578174186778592,9534,0.5671279180310552,0.12785819173484372
m,4,8652,2.3431088443259536,0.4458864072587681,0.06089687663584017,0.20744634444250568,0.0,0.28577037166288605,0.09015256588072122,0.0031206657420249652,0.0020804438280166435,8650,-4.089695985147366,0.08323699421965318
m,5,9044,2.5419940245656742,0.44123375928423125,0.038720863032171066,0.23955992208737345,0.0,0.28048545559622423,0.0969703670942061,0.0008845643520566122,0.003206545776205219,9043,-2.4158262218774245,0.09366360720999668
m,6,9310,6.052597612132946,0.4020926350645297,0.02016637941563641,0.21957740171264944,0.0006785457407683852,0.35748503806641607,0.141890440386681,0.0013963480128893662,0.00397422126745435,9307,1.7594268476621417,0.13409261845922424
m,7,9782,6.298533483745257,0.38470896617460776,0.024180703096584853,0.23528526457050405,0.00020066973524136806,0.355624396423062,0.13862195869965244,0.003271314659578818,0.004498057656920875,9783,2.2052123948286475,0.13584789941735664
m,8,9808,6.992294256652625,0.40496112794834627,0.02336715421443317,0.1936135634910177,0.0017349672771994552,0.37632318706900336,0.1387642740619902,0.007952691680261012,0.0027528548123980424,9807,2.224735272951578,0.13735087182624656
m,9,8866,1.3929135635296772,0.30596816012018707,0.05098257772177664,0.27267440451670744,0.0004603940003392377,0.3699144636409896,0.08154748477329123,0.0005639521768554027,0.0018046469659372885,8867,-3.1919592298980746,0.09112439381978121
m,10,9205,1.9431867653461037,0.3390136530541862,0.06830584464325563,0.33327247276489563,0.0019678250461525977,0.25744020449150995,0.09168929929386203,0.001955458989679522,0.0016295491580662683,9205,-2.632392985513561,0.09516567083107007
m,11,8582,1.6797294145089807,0.36607522764020084,0.06171815164666837,0.31182452557229173,0.0022551272232150454,0.258126967917624,0.08587741785131671,0.0011652295502213937,0.0020974131903985084,8577,-6.540717373524944,0.08464498076250437
m,12,9085,15.125277407900578,0.3253486728388582,0.12259008110623587,0.21721635560780692,0.0,0.334844890447099,0.23247110621904238,0.0089157952669235,0.005943863511282334,9108,11.359117253678109,0.24110671936758893
d,1,16015,5.815026004135597,0.38350236346286143,0.031993667842850064,0.23207799797311793,0.0015904366673324308,0.3508355340538381,0.13399937558538869,0.0039338120512019984,0.0031220730565095223,16028,1.1523008349551134,0.1325804841527327
d,2,15874,4.082932996207332,0.41492523990180763,0.028413300602544076,0.25326489622852044,0.0002231644722160232,0.30317339879491184,0.1145268993322414,0.003653773466045105,0.00333879299483432,15832,-1.1148228121427664,0.11312531581606872
d,3,15944,2.8354310887350533,0.38388988019372927,0.04119518115018453,0.2698356404260271,0.0,0.3050792982300591,0.10367536377320623,0.0037004515805318613,0.003135975915704967,15949,-2.1621911245587495,0.10671515455514452
d,4,16087,5.853001683186834,0.32331537057942306,0.06725737857391353,0.2801550618756523,0.0,0.32927218897101107,0.13271585752470938,0.0031702617019954,0.0031080997078386276,16129,1.3422680412371133,0.13813627627255254
d,5,16347,5.446939025886394,0.3207855717694926,0.06434020578224639,0.2806775947732874,0.003286256406243887,0.3309103712687297,0.12760751208172755,0.0030586651985073715,0.003853918150119288,16351,0.8877688998156116,0.13350865390495995
d,6,13202,3.710126197354417,0.3918331685558596,0.07344860092428666,0.24011909962522704,0.0007357505805531925,0.29386338031407355,0.0974852295106802,0.0038630510528707774,0.003332828359339494,13188,-1.5821453076160708,0.1045647558386412
d,7,15350,6.184356811196128,0.35875367056747337,0.08231473579146838,0.24829671203946133,0.0009981050469398678,0.3096367765546571,0.13596091205211727,0.004169381107491856,0.0033876221498371334,15377,1.1272953015748546,0.13012941405995967
h,0001-0559,2275,2.0947087594486438,0.5052410901467506,0.10855892808312825,0.22203992343450915,0.0,0.16416005833561206,0.07648351648351648,0.011868131868131869,0.0008791208791208791,1718,-6.956088992974239,0.047729918509895226
h,0600-0659,3157,-0.5542820757720471,0.5956059874456784,0.01150812811846129,0.3220666344760985,0.00378239175921455,0.06703685820054724,0.0471967057332911,0.005384859043395629,0.0022172949002217295,14436,-4.511036835874939,0.05396231643114436
h,0700-0759,3616,0.8940194714881781,0.5560610263522885,0.0431622746185853,0.3920110957004161,0.0012205270457697642,0.007545076282940361,0.0586283185840708,0.005807522123893806,0.0019358407079646017,8248,-3.230327468230694,0.06910766246362754
h,0800-0859,9595,3.296788366983994,0.4045945584498566,0.08502607842845893,0.4200038634708828,2.971900679079305e-05,0.09034578064401087,0.09661281917665451,0.0037519541427826993,0.0019801980198019802,5248,-1.9944476354585488,0.08365091463414634
