Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,41261,8.300754818379461,0.2783323240127801,0.014158331071063127,0.19734479086182052,0.00039415707812141083,0.5097703969762148,0.1761954387920797,0.007973631274084486,0.002108528634788299,41263,5.021850711247984,0.18411167389671135
m,1,3152,8.235652452709202,0.32824075598432717,0.01817523295248757,0.17078792268940765,0.0007902275196733726,0.48200586085410424,0.15291878172588833,0.010469543147208122,0.0012690355329949238,3154,3.5985213757634202,0.16391883322764744
m,2,2988,3.9330191854594414,0.28715840924239056,0.021106420795378805,0.16696289713397022,0.0,0.5247722728282603,0.10408299866131192,0.005689424364123159,0.0013386880856760374,2988,0.19252776842813868,0.11847389558232932
m,3,3342,7.825483091787439,0.2506888013113382,0.01475255466815471,0.17870470477452655,0.0,0.5558539392459806,0.1765409934171155,0.008976660682226212,0.0023937761819269898,3338,4.795166163141994,0.18184541641701618
m,4,3281,5.979748389076404,0.22621658948736698,0.01381103257778861,0.23056300268096513,0.0,0.5294093752538793,0.14964949710454128,0.006705272782688205,0.0009143553794574825,3284,1.7967504598405886,0.15316686967113277
m,5,3532,6.131212723658051,0.3298501357331449,0.0090364806068945,0.21587148116470195,0.0,0.44524190249525863,0.14184597961494905,0.0033975084937712344,0.0022650056625141564,3531,2.1381859539380152,0.1500991220617389
m,6,3607,10.738899748673555,0.24639076034648702,0.013375780459514819,0.19913131462698355,0.00012339280866711087,0.5409787517583475,0.22650401996118658,0.007208206265594677,0.0038813418353202105,3610,9.479230554781154,0.2329639889196676
m,7,3670,12.288777499303816,0.24201862873072413,0.007411668399743357,0.17035775127768313,0.0,0.5802119515918494,0.23787465940054495,0.021525885558583105,0.003542234332425068,3673,12.123886414253898,0.25401579090661586
m,8,3711,8.470317159121713,0.29726930833378756,0.007221889137188641,0.23071891862429825,0.0,0.4647898839047256,0.16895715440582054,0.006197790353004581,0.0029641606036108865,3711,4.947911014650027,0.1813527351118297
m,9,3387,4.318625999407758,0.22258096076704822,0.03047647001271891,0.2380882496820272,0.0,0.5088543195382057,0.12282255683495719,0.00354295837023915,0.000590493061706525,3388,1.432800473653049,0.13636363636363635
