Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,557.0,13.398148148148149,0.28731077923397336,0.0,0.18673168749365032,0.0,0.5259575332723763,0.19748653500897667,0.03052064631956912,0.0,557.0,8.834264432029794,0.26750448833034113
m,1,61.0,15.210526315789474,0.10861132660977502,0.0,0.365399534522886,0.0,0.525989138867339,0.2459016393442623,0.06557377049180328,0.0,62.0,10.263157894736842,0.3548387096774194
m,2,58.0,3.509433962264151,0.0,0.0,0.1386986301369863,0.0,0.8613013698630136,0.06896551724137931,0.08620689655172414,0.0,58.0,-4.87037037037037,0.10344827586206896
m,3,62.0,21.89830508474576,0.186819830713422,0.0,0.27388149939540507,0.0,0.5392986698911729,0.25806451612903225,0.04838709677419355,0.0,62.0,20.0,0.4032258064516129
m,4,60.0,2.0508474576271185,0.0,0.0,0.2823343848580442,0.0,0.7176656151419558,0.08333333333333333,0.016666666666666666,0.0,60.0,-4.017241379310345,0.1
m,5,62.0,15.064516129032258,0.46743978590544155,0.0,0.18911685994647637,0.0,0.3434433541480821,0.24193548387096775,0.0,0.0,62.0,9.868852459016393,0.3387096774193548
m,6,60.0,7.237288135593221,0.4949053857350801,0.0,0.050946142649199416,0.0,0.45414847161572053,0.06666666666666667,0.016666666666666666,0.0,60.0,1.0,0.11666666666666667
m,7,62.0,16.741935483870968,0.6048387096774194,0.0,0.04596774193548387,0.0,0.34919354838709676,0.24193548387096775,0.0,0.0,62.0,15.903225806451612,0.27419354838709675
m,8,62.0,18.56451612903226,0.11894647408666101,0.0,0.05692438402718777,0.0,0.8241291418861513,0.3548387096774194,0.0,0.0,62.0,22.967741935483872,0.43548387096774194
m,9,60.0,19.80701754385965,0.46781437125748504,0.0,0.2118263473053892,0.0,0.3203592814371258,0.2,0.05,0.0,60.0,4.719298245614035,0.23333333333333334
m,10,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,9.0,17.22222222222222,0.4444444444444444
d,1,80.0,11.2375,0.14557425018288223,0.0,0.2852962692026335,0.0,0.5691294806144843,0.15,0.0,0.0,80.0,8.7875,0.275
d,2,80.0,9.102564102564102,0.26019417475728157,0.0,0.23398058252427184,0.0,0.5058252427184466,0.2,0.025,0.0,80.0,3.7875,0.25
d,3,80.0,13.512820512820513,0.3911826452064381,0.0,0.099370188943317,0.0,0.509447165850245,0.1875,0.025,0.0,79.0,2.611111111111111,0.20253164556962025
d,4,78.0,22.453333333333333,0.35525634386328325,0.0,0.030554117037804248,0.0,0.6141895390989125,0.24358974358974358,0.038461538461538464,0.0,78.0,18.093333333333334,0.32051282051282054
d,5,79.0,13.053333333333333,0.014419610670511895,0.0,0.25739005046863733,0.0,0.7281903388608507,0.26582278481012656,0.05063291139240506,0.0,80.0,24.6,0.3625
d,6,80.0,9.835443037974683,0.3439282803585982,0.0,0.3822330888345558,0.0,0.27383863080684595,0.15,0.0125,0.0,80.0,-5.842105263157895,0.15
d,7,80.0,15.093333333333334,0.4578804347826087,0.0,0.12228260869565218,0.0,0.41983695652173914,0.1875,0.0625,0.0,80.0,10.025316455696203,0.3125
h,0001-0559,52.0,3.9583333333333335,0.8917748917748918,0.0,0.10822510822510822,0.0,0.0,0.057692307692307696,0.07692307692307693,0.0,0.0,0.0,0.0
h,0600-0659,226.0,4.509090909090909,0.8390284067517497,0.0,0.1609715932482503,0.0,0.0,0.05309734513274336,0.02654867256637168,0.0,0.0,0.0,0.0
h,1200-1259,4.0,31.25,0.0,0.0,0.2962962962962963,0.0,0.7037037037037037,0.5,0.0,0.0,249.0,16.376033057851238,0.3413654618473896
h,1300-1359,108.0,18.69811320754717,0.006092254134029591,0.0,0.2650130548302872,0.0,0.7288946910356832,0.2962962962962963,0.018518518518518517,0.0,0.0,0.0,0.0
h,1400-1459,167.0,24.358024691358025,0.08054879398096924,0.0,0.16552334587298076,0.0,0.7539278601460501,0.3652694610778443,0.029940119760479042,0.0,0.0,0.0,0.0
h,1000-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.75,0.5
h,1100-1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.52,0.4
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.8065843621399177,0.19140625
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.5,0.13636363636363635
