Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,42582.0,6.503353001113718,0.22496044408694346,0.031297050911480204,0.2971893940063584,0.00028875079922096214,0.44626436019599697,0.15245878540228266,0.009182283594006857,0.002794608050349913,42574,0.7605797513995636,0.1409310846995819
m,1,3465.0,4.5784399649430325,0.24064820436183626,0.033484331947882126,0.3483397935833372,0.0,0.3775276701069444,0.12582972582972582,0.012121212121212121,0.0017316017316017316,3463,-2.0682613768961495,0.11752815477909327
m,2,3274.0,4.006758832565284,0.242713738421997,0.054216575335822706,0.2890742447020028,0.0,0.4139954415401775,0.10598656078191815,0.005803298717165547,0.0009163103237629811,3274,-3.7428395441946414,0.09376908979841173
m,3,3573.0,6.820954532617905,0.17664650075622165,0.020555479169531144,0.3465901278702049,0.0,0.45620789220404234,0.1542121466554716,0.009235936188077247,0.0016792611251049538,3572,0.8957627118644068,0.13997760358342665
m,4,3478.0,5.34618730066686,0.20114055398336333,0.032329988851727984,0.27840665466083525,0.0,0.4881228025040734,0.13513513513513514,0.008625646923519264,0.0008625646923519264,3472,-0.9654471544715447,0.11952764976958526
m,5,3643.0,7.069107929515418,0.20906007751937986,0.02446705426356589,0.3291459025470653,0.0,0.4373269656699889,0.16058193796321713,0.0030194894317869887,0.005489980785067252,3649,1.1700137551581844,0.14058646204439573
m,6,3606.0,7.045467224546722,0.19170317824605326,0.026914249947840602,0.26448292649002014,0.0,0.516899645316086,0.15806988352745424,0.005823627287853577,0.0074875207986688855,3606,2.8313286713286714,0.16306156405990016
m,7,3667.0,7.224427054220235,0.26621629700484245,0.021970466909786573,0.250074729479285,0.0,0.46173850660608595,0.15516771202617943,0.024815925824925006,0.004635942187073902,3667,3.2468549063461003,0.15380419961821654
m,8,3777.0,8.729794611896505,0.2890247584541063,0.046447262479871174,0.27792874396135264,0.00017612721417069243,0.3864231078904992,0.1689171299973524,0.007942811755361398,0.004500926661371459,3778,2.3386794974605722,0.15378507146638434
m,9,3511.0,3.481153626499143,0.24185130477597241,0.027277203348104382,0.30379123584441164,0.0,0.42708025603151156,0.11221874109940189,0.003417829678154372,0.002563372258615779,3511,-1.8792808219178083,0.09997151808601538
m,10,3609.0,8.35982092893117,0.19307810833234562,0.02207538224487377,0.3833412350361503,0.0,0.4015052743866303,0.1853699085619285,0.009697977279024661,0.0008312551953449709,3606,2.882534342584805,0.15224625623960067
m,11,3450.0,4.134436701509872,0.21539491298527444,0.06720214190093708,0.3603748326639893,0.0,0.3570281124497992,0.1336231884057971,0.0017391304347826088,0.0011594202898550724,3452,-4.527737438280569,0.10718424101969873
m,12,3529.0,10.759296627270107,0.21687707641196013,0.015096345514950166,0.19019269102990033,0.0024186046511627908,0.5754152823920266,0.2272598469821479,0.01728534995749504,0.0011334655709832814,3524,8.28191027496382,0.24262202043132802
d,1,6406.0,6.8281495444549165,0.2541917392066367,0.030807579209752488,0.28969250842242605,0.0017721173881716033,0.4235360557730132,0.15579144551982516,0.006556353418669997,0.0034342803621604744,6408,0.24988198269079465,0.13420724094881398
d,2,6343.0,4.532878017789073,0.20118983234180637,0.02254289788091843,0.34291263090614094,0.0,0.4333546388711343,0.12612328551158758,0.00740974302380577,0.003941352672237112,6328,-0.6171364867017041,0.12199747155499367
d,3,6419.0,5.326302534235794,0.22114316820903648,0.02965704953728906,0.3079368535655961,0.0,0.44126292868807837,0.13039414238978034,0.010437762891416109,0.002025237575946409,6431,-0.4184765502045955,0.1236199657907013
d,4,6439.0,7.348078431372549,0.21367896092508357,0.03867302387607095,0.2923585612246762,0.0,0.45528945397416926,0.16881503339027798,0.009939431588756018,0.002329554278614692,6442,2.0346557942606243,0.16454517230673704
d,5,6549.0,8.6134817563389,0.1959628383592086,0.026050186734158463,0.32196981388314455,0.00010802802555634433,0.455909132997932,0.17972209497633226,0.012979080775690946,0.002748511223087494,6551,2.914245982694685,0.16486032666768433
d,6,4833.0,4.87406015037594,0.27175920226517297,0.03397759448479626,0.23950510894989535,0.0,0.4547580943001354,0.12621560107593627,0.00931098696461825,0.0010345541071798054,4559,-0.5031000885739593,0.1215178767273525
d,7,5593.0,7.688568856885689,0.23745142487046633,0.03748380829015544,0.26813471502590674,0.0,0.4569300518134715,0.1757554085463973,0.007330591811192562,0.0037546933667083854,5855,1.282957091159745,0.15012809564474808
h,0600-0659,3269.0,1.1797718162195499,0.45654858011207144,0.06857251400892772,0.4525595973026878,0.0,0.02231930857631304,0.05322728663199755,0.007953502600183543,0.0018354236769654328,2499,-5.291515882589465,0.034013605442176874
h,0700-0759,3025.0,0.15249169435215948,0.4426856475087645,0.08573249760968873,0.45755869542122596,0.0,0.014023159460320832,0.051570247933884296,0.005289256198347108,0.003305785123966942,2852,-2.6800705467372135,0.0711781206171108
h,0800-0859,4061.0,4.483263079593355,0.26475389905866825,0.025808468512278995,0.5424988710965994,0.0,0.16693876133245336,0.10046786505786752,0.006894853484363458,0.002216202905688254,3105,-4.111799217731421,0.07793880837359098
h,0900-0959,2331.0,5.019022913964548,0.20686772170797252,0.0373245744998507,0.47261869214690955,0.0,0.2831890116452672,0.10553410553410554,0.007722007722007722,0.002574002574002574,3337,-1.93995171997586,0.10908001198681451
h,1000-1059,3035.0,6.474908607510801,0.23819898329702252,0.01670297748729121,0.3769490366952881,0.0,0.3681490025203981,0.13080724876441516,0.009225700164744647,0.003953871499176277,2918,1.2101073035652474,0.12919808087731321
h,1100-1159,2727.0,7.460540941089293,0.2075059821166198,0.02564963687502624,0.340707778850594,0.0002938583602703497,0.4258427437974896,0.1639163916391639,0.010267693436010267,0.005500550055005501,2975,-1.5754908598510495,0.10521008403361344
h,1200-1259,3400.0,9.066093657379964,0.32154401977562275,0.02059960702288141,0.2132851619446029,0.0,0.444571211256893,0.18,0.007647058823529412,0.003823529411764706,2843,3.3292035398230087,0.1660218079493493
h,1300-1359,3047.0,8.52037098376946,0.23042885062133558,0.03145396216674656,0.2527748073306538,0.0,0.48534237988126405,0.16212668198227764,0.009189366590088613,0.0032819166393173614,2100,3.6801541425818884,0.1657142857142857
h,1400-1459,2361.0,10.240376390076989,0.18240105215568617,0.053799679421314375,0.19378570547860755,0.003740084665652871,0.5662734782787391,0.2071156289707751,0.009741634900465904,0.004659042778483694,2136,4.1819470699432895,0.17883895131086142
h,1500-1559,2387.0,9.146351750316322,0.17527983874426384,0.04498863490157396,0.17926834498434618,0.0,0.600463181369816,0.1989945538332635,0.007121910347716799,0.002932551319648094,2264,5.3812277580071175,0.196113074204947
h,1600-1659,3037.0,9.488063660477454,0.1501507537688442,0.04221105527638191,0.20261306532663317,0.0,0.6050251256281407,0.2107342772472835,0.007573263088574251,0.0036219953901876854,2678,3.9312688821752264,0.17513069454817026
h,1700-1759,2003.0,8.212518929833417,0.2050726879059697,0.015001546551190844,0.19166924425198473,0.0,0.5882565212908547,0.20119820269595606,0.010983524712930605,0.000998502246630055,2508,2.885450160771704,0.20135566188197768
h,1800-1859,2496.0,8.871815608572584,0.2140546181944686,0.0285267002957036,0.29803444077230823,0.0,0.45938424073751954,0.2015224358974359,0.009615384615384616,0.00040064102564102563,3584,3.83970546587369,0.19252232142857142
h,1900-1959,2103.0,7.788691902252037,0.19009521939727103,0.021203494650044175,0.26744870913909885,0.0,0.5212525768135859,0.20684736091298145,0.007608178792201617,0.0009510223490252021,2696,2.325065764750094,0.18991097922848665
h,2000-2059,2158.0,5.752470588235294,0.1028491195226116,0.0034517053764698997,0.20967647575030715,0.0,0.6840226993506113,0.20667284522706209,0.015755329008341055,0.0009267840593141798,2473,-0.35151763740771125,0.16740800646987464
h,2100-2159,1142.0,3.2522522522522523,0.12372604973501834,0.0,0.3004484304932735,0.0,0.5758255197717081,0.14623467600700527,0.0297723292469352,0.0017513134851138354,1494,-0.6775732788002726,0.11646586345381527
h,0001-0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,-4.256880733944954,0.05454545454545454
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.5,0.0
