Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,55570,8.863399298551673,0.29075749512151855,0.04344637510996015,0.21841331848299803,0.0008632214620264855,0.4465195898234968,0.18225661328054707,0.00993341731149901,0.0024113730430088175,55559,3.442655752614825,0.16875753703270396
m,1,4321,6.677411764705882,0.37062519635563934,0.03870562362551053,0.1851712221174992,6.283380458686774e-05,0.4054351240967641,0.1532052765563527,0.016894237445035872,0.0009257116408238834,4320,0.031294117647058826,0.1398148148148148
m,2,4069,5.6591928251121075,0.2816875116669778,0.04666791114429718,0.3206085495613216,0.0008089104598344844,0.35022711716756894,0.12804128778569673,0.013516834603096583,0.001966085033177685,4071,-0.8511221945137157,0.12404814541881602
m,3,4645,7.168833983528391,0.27181579141375667,0.048583294424102426,0.21767871624112256,0.0006635047796918389,0.4612586931413265,0.1595263724434876,0.006673842841765339,0.0015069967707212056,4645,2.3983546222126,0.1642626480086114
m,4,4535,7.27857935627081,0.2584526467883883,0.04240115591750952,0.2111651123078944,0.0,0.4879810849862078,0.16758544652701213,0.006615214994487321,0.0008820286659316428,4531,2.127749389024661,0.15713970425954535
m,5,4644,9.91827027027027,0.2814891711447647,0.06753786028334148,0.19109265591923139,0.0007938446507083537,0.4590864680019541,0.18906115417743324,0.00409130060292851,0.004737295434969853,4645,4.613008483793778,0.1773950484391819
m,6,4721,12.484900406939387,0.29839643496263024,0.01870241061089863,0.16311098635039825,0.004824730692304993,0.5149654373837679,0.24613429358186825,0.011438254607074773,0.005083668714255455,4721,8.933776253750535,0.22241050624867612
m,7,4935,18.411412032251395,0.2493780331343783,0.04828471021364422,0.17091537903720644,0.0,0.531421877614771,0.2934143870314083,0.02006079027355623,0.004052684903748734,4935,13.156781418498548,0.2613981762917933
m,8,4876,10.40082901554404,0.2730706771164301,0.033979382899103294,0.24285109087057827,0.0,0.4500988491138883,0.1985233798195242,0.011074651353568499,0.003486464315012305,4870,7.252386882523869,0.1995893223819302
m,9,4569,5.401621384750219,0.3698073449729079,0.032089102950030104,0.25129440096327516,0.0004515352197471403,0.34635761589403974,0.1363536878966951,0.0013131976362442547,0.001969796454366382,4569,0.8492880613362541,0.137448019260232
m,10,4768,3.9804169298799748,0.32992832161778457,0.04979396793517781,0.2867481560995879,0.0008310537068458049,0.3326985006406039,0.118498322147651,0.003984899328859061,0.0006291946308724832,4766,-2.0946259220231824,0.11141418380193034
m,11,4657,6.011194833153929,0.306512291626127,0.04809625737821885,0.2501459427904262,0.0,0.39524550820522797,0.14837878462529525,0.002576766158471119,0.0012883830792355595,4660,-1.2442485486992045,0.12381974248927038
m,12,4830,11.813186813186814,0.2948069422444774,0.04784289680309301,0.2422972765826989,0.001090048200568869,0.41396283616916185,0.22960662525879919,0.020703933747412008,0.002070393374741201,4826,4.74719932361023,0.19063406547865727
d,1,8249,8.406013199706674,0.32030765577382286,0.024208762648583754,0.21524030660035093,0.0007387960263328012,0.43950447895090966,0.17832464541156504,0.008364650260637653,0.0021820826766880833,8227,3.0647102161100195,0.16567400024310197
d,2,8228,7.655113288426209,0.2726318865218084,0.0417308611804707,0.2286298677150295,0.0011023747542899644,0.45590500982840143,0.1656538648517258,0.007778317938745746,0.003767622751579971,8228,2.8184158901422265,0.16127856101118132
d,3,8341,9.32286995515695,0.263362608372135,0.06714844586748442,0.22333960924023946,0.0,0.44614933652014116,0.18822683131519002,0.010909962834192544,0.002637573432442153,8346,3.644546888268834,0.16930265995686555
