Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,1112.0,4.1410488245931285,0.44198704103671704,0.0021598272138228943,0.1381425485961123,0.029460043196544276,0.3882505399568035,0.1474820143884892,0.00539568345323741,0.0035971223021582736,1112.0,5.30379746835443,0.20323741007194246
m,1,98.0,10.46938775510204,0.44212523719165087,0.0,0.0961416824794434,0.031625553447185324,0.43010752688172044,0.20408163265306123,0.0,0.0,98.0,12.0,0.2857142857142857
m,2,94.0,15.893617021276595,0.75054704595186,0.0,0.04901531728665208,0.002188183807439825,0.19824945295404814,0.11702127659574468,0.0,0.0,94.0,2.5106382978723403,0.20212765957446807
m,3,106.0,9.60952380952381,0.32746196957566054,0.0,0.12489991993594876,0.1969575660528423,0.3506805444355484,0.2169811320754717,0.009433962264150943,0.0,106.0,5.085714285714285,0.24528301886792453
m,4,104.0,-0.0673076923076923,0.7902777777777777,0.0,0.07083333333333333,0.0,0.1388888888888889,0.10576923076923077,0.0,0.009615384615384616,104.0,-4.298076923076923,0.10576923076923077
m,5,101.0,0.8316831683168316,0.6592797783933518,0.0,0.23684210526315788,0.0,0.1038781163434903,0.10891089108910891,0.0,0.009900990099009901,101.0,3.128712871287129,0.15841584158415842
m,6,98.0,4.938144329896907,0.42152159013022616,0.00822481151473612,0.3036326250856751,0.0,0.26662097326936257,0.17346938775510204,0.01020408163265306,0.0,98.0,8.762886597938145,0.2653061224489796
m,7,103.0,6.883495145631068,0.17625899280575538,0.0044964028776978415,0.11690647482014388,0.017985611510791366,0.6843525179856115,0.21359223300970873,0.0,0.0,103.0,10.941747572815533,0.27184466019417475
m,8,92.0,5.144444444444445,0.24632352941176472,0.00980392156862745,0.20955882352941177,0.024509803921568627,0.5098039215686274,0.1956521739130435,0.021739130434782608,0.021739130434782608,91.0,12.887640449438202,0.2857142857142857
m,9,60.0,-1.05,0.04904632152588556,0.0,0.14713896457765668,0.0,0.8038147138964578,0.11666666666666667,0.0,0.0,60.0,2.1333333333333333,0.13333333333333333
m,10,66.0,-1.453125,0.30201342281879195,0.0,0.05592841163310962,0.0,0.6420581655480985,0.09090909090909091,0.030303030303030304,0.0,66.0,0.3125,0.09090909090909091
m,11,86.0,-4.046511627906977,0.11194029850746269,0.0,0.14427860696517414,0.0,0.7437810945273632,0.08139534883720931,0.0,0.0,86.0,0.7674418604651163,0.1511627906976744
m,12,104.0,-1.6634615384615385,0.09156626506024096,0.0,0.18313253012048192,0.0,0.7253012048192771,0.10576923076923077,0.0,0.0,105.0,6.79047619047619,0.18095238095238095
d,1,148.0,0.8843537414965986,0.38697318007662834,0.0,0.20977011494252873,0.004789272030651341,0.39846743295019155,0.10810810810810811,0.006756756756756757,0.0,143.0,5.007042253521127,0.1888111888111888
