Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2161.0,8.863530507685143,0.47818222090962786,0.01764619019492026,0.08357944477259303,0.0,0.42059214412285884,0.14437760296159186,0.006478482184173994,0.0023137436372049976,2160.0,5.936567164179104,0.1597222222222222
m,1,162.0,5.725,0.375,0.13636363636363635,0.2196969696969697,0.0,0.2689393939393939,0.12962962962962962,0.012345679012345678,0.0,162.0,1.7125,0.1111111111111111
m,2,153.0,12.72549019607843,0.4218253968253968,0.004761904761904762,0.1599206349206349,0.0,0.41349206349206347,0.20261437908496732,0.0,0.006535947712418301,153.0,10.611842105263158,0.2222222222222222
m,3,169.0,6.171597633136095,0.5817034700315458,0.0,0.03785488958990536,0.0,0.3804416403785489,0.1301775147928994,0.0,0.005917159763313609,169.0,4.4674556213017755,0.15976331360946747
m,4,166.0,5.180722891566265,0.3580327868852459,0.0,0.0006557377049180328,0.0,0.641311475409836,0.10240963855421686,0.0,0.006024096385542169,166.0,6.644578313253012,0.10240963855421686
m,5,176.0,1.4829545454545454,0.5734639358860196,0.0,0.163846838824577,0.0,0.26268922528940336,0.09659090909090909,0.0,0.0,176.0,0.5511363636363636,0.11363636363636363
m,6,202.0,12.74,0.5287485907553551,0.0,0.12063134160090191,0.0,0.3506200676437429,0.16831683168316833,0.009900990099009901,0.0,202.0,8.425,0.15841584158415842
m,7,194.0,22.821052631578947,0.501648804616653,0.0,0.05873866446826051,0.0,0.43961253091508656,0.23711340206185566,0.020618556701030927,0.005154639175257732,194.0,19.642105263157895,0.27319587628865977
m,8,191.0,16.18918918918919,0.608860075634792,0.0,0.046191247974068074,0.0,0.3449486763911399,0.16230366492146597,0.031413612565445025,0.0,191.0,8.286486486486487,0.16753926701570682
m,9,188.0,12.957446808510639,0.5198807157057654,0.0,0.03479125248508946,0.0,0.44532803180914515,0.16489361702127658,0.0,0.0,188.0,7.550802139037433,0.1702127659574468
m,10,186.0,2.978494623655914,0.24680851063829787,0.2127659574468085,0.0,0.0,0.5404255319148936,0.10215053763440861,0.0,0.005376344086021506,186.0,-0.6451612903225806,0.12365591397849462
