Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,13990.0,4.629768786127167,0.3109096253017092,0.04201216633860898,0.24952572655129723,0.0006590842291831809,0.39689339757920145,0.11736954967834168,0.011150822015725518,0.0035739814152966403,13990,4.057863179946543,0.17248034310221586
m,1,1199.0,1.7491610738255035,0.23270800515537735,0.00014320492624946297,0.27566948303021627,0.0011456394099957038,0.49033366747816126,0.09341117597998332,0.005838198498748957,0.0016680567139282735,1200,0.0,0.135
m,2,1147.0,0.0881057268722467,0.5239345586750151,0.020601898606342154,0.19228438699252676,0.0,0.26317915572611594,0.07236268526591107,0.010462074978204011,0.0017436791630340018,1147,-3.4335971855760774,0.0967741935483871
m,3,1219.0,4.26198347107438,0.2517603837126237,0.06898663128890703,0.21685886314930095,0.0,0.4623941218491683,0.13043478260869565,0.007383100902378999,0.003281378178835111,1220,3.8922056384742953,0.18442622950819673
m,4,1185.0,3.9362068965517243,0.356810115350488,0.03271960958296362,0.2421251109139308,0.00022182786157941438,0.36812333629103816,0.11392405063291139,0.02109704641350211,0.0033755274261603376,1183,2.8870689655172415,0.17328825021132713
m,5,1144.0,5.390158172231986,0.3009118541033435,0.07535897704643119,0.25940677077874436,0.0,0.364322398071481,0.1284965034965035,0.006118881118881119,0.006118881118881119,1146,4.839050131926121,0.1806282722513089
m,6,1087.0,10.721082089552239,0.2703450283884117,0.04913378948900859,0.1613772019216771,0.004658611151550444,0.5144853690493522,0.17387304507819687,0.01655933762649494,0.005519779208831647,1083,14.270018621973929,0.2742382271468144
m,7,1158.0,7.950310559006211,0.2319420783645656,0.05706984667802385,0.2950596252129472,0.0,0.41592844974446336,0.15284974093264247,0.027633851468048358,0.009499136442141624,1160,12.303808680248007,0.24310344827586206
m,8,1197.0,7.950847457627119,0.31104481955762514,0.0715221187427241,0.3192665890570431,0.0,0.2981664726426077,0.12949039264828738,0.015037593984962405,0.006683375104427736,1197,8.78595600676819,0.20634920634920634
m,9,1163.0,1.0336496980155305,0.304396482813749,0.014388489208633094,0.262669864108713,0.0,0.4185451638689049,0.0825451418744626,0.0034393809114359416,0.004299226139294927,1164,-0.5685936151855048,0.11941580756013746
m,10,1150.0,2.0313588850174216,0.3485537861553461,0.010887227819304518,0.2972050698732532,0.0,0.3433539161520962,0.1,0.0017391304347826088,0.0,1148,-1.040174672489083,0.1297909407665505
m,11,1150.0,3.6445993031358883,0.2879205076020591,0.017837902549982042,0.35651861606608404,0.0,0.33772297378187477,0.09652173913043478,0.0017391304347826088,0.0,1152,-1.1209747606614446,0.1284722222222222
m,12,1191.0,7.2459436379163105,0.41389652586853287,0.024160626510039158,0.153045072065317,0.0,0.40889777555611095,0.13685978169605373,0.016792611251049538,0.0008396305625524769,1190,8.590443686006825,0.20252100840336135
d,1,2115.0,5.25311004784689,0.40633806561386715,0.04594034136225873,0.22555431488275643,0.0,0.3221672781411177,0.11962174940898346,0.012293144208037825,0.0037825059101654845,2112,3.4154727793696273,0.15672348484848486
d,2,2058.0,2.482640586797066,0.28416101172115976,0.0445712523133868,0.2851634793337446,0.00015422578655151142,0.38595003084515733,0.10884353741496598,0.006802721088435374,0.003401360544217687,2063,2.729268292682927,0.16335433834222007
d,3,2090.0,3.1910982099661345,0.25983208130799823,0.04448372367064369,0.3150684931506849,0.0,0.3806157018706732,0.10191387559808612,0.011961722488038277,0.0028708133971291866,2088,2.5157537566650507,0.15421455938697318
d,4,2112.0,5.856527977044476,0.2607841053973651,0.031502337441563964,0.2339566510837229,0.00042498937526561835,0.47333191670208247,0.13494318181818182,0.009943181818181818,0.003787878787878788,2108,5.613723608445298,0.20872865275142316
d,5,2154.0,4.972769953051643,0.21179450924944032,0.043478260869565216,0.2492046659597031,0.0,0.4955225639212914,0.12720519962859797,0.01160631383472609,0.00510677808727948,2156,6.256446319737459,0.18923933209647495
d,6,1536.0,4.927440633245382,0.3898118200529256,0.049617759482505144,0.18604822111143782,0.004704498676859747,0.3698177006762717,0.10416666666666667,0.013671875,0.00390625,1527,3.834990059642147,0.16306483300589392
d,7,1925.0,5.847448711204629,0.3564661568314119,0.037952288551535214,0.2644104554274626,0.0,0.3411710991895902,0.12103896103896104,0.012467532467532468,0.002077922077922078,1936,3.8769633507853403,0.1683884297520661
h,0001-0559,635.0,-0.15055467511885895,0.70481242895036,0.03145130731337628,0.26373626373626374,0.0,0.0,0.04251968503937008,0.006299212598425197,0.0015748031496062992,30,-7.2,0.03333333333333333
h,0600-0659,2142.0,0.851764705882353,0.6421104536489152,0.01854043392504931,0.2702169625246548,0.0,0.06913214990138067,0.04295051353874883,0.007936507936507936,0.0028011204481792717,144,-4.811188811188811,0.0763888888888889
h,0700-0759,1087.0,2.3,0.6966914674687351,0.022795630837422826,0.280512901693842,0.0,0.0,0.062557497700092,0.01655933762649494,0.0036798528058877645,545,-5.651933701657459,0.06788990825688074
h,0800-0859,904.0,2.976536312849162,0.5390435403283369,0.027980014275517488,0.39428979300499645,0.0,0.03868665239114918,0.09292035398230089,0.00995575221238938,0.0,729,-3.130853994490358,0.08641975308641975
h,0900-0959,663.0,-0.34190620272314676,0.5501587301587302,0.0,0.2923809523809524,0.0,0.15746031746031747,0.06334841628959276,0.0030165912518853697,0.0030165912518853697,1221,-1.6490066225165563,0.09991809991809991
h,1000-1059,967.0,1.2100313479623825,0.2500990883868411,0.0,0.30261593341260407,0.0,0.4472849782005549,0.09720785935884178,0.010341261633919338,0.005170630816959669,978,-1.7927835051546392,0.1083844580777096
h,1100-1159,890.0,2.408418657565415,0.17302001740644038,0.019147084421235857,0.2938207136640557,0.01114012184508268,0.5028720626631854,0.1,0.01348314606741573,0.0044943820224719105,342,-2.026470588235294,0.0847953216374269
h,1200-1259,628.0,6.464856230031949,0.20904977375565612,0.02751131221719457,0.27167420814479637,0.0,0.49176470588235294,0.13535031847133758,0.0031847133757961785,0.0031847133757961785,587,2.7577319587628866,0.1635434412265758
h,1300-1359,572.0,2.1943462897526502,0.3792353124028598,0.036990985390115014,0.13957102890892137,0.0,0.4442026732981038,0.09265734265734266,0.01048951048951049,0.005244755244755245,1342,2.878490566037736,0.1512667660208644
h,1400-1459,885.0,7.681506849315069,0.17905987817492242,0.10424089185151132,0.20687277324445466,0.00022985863693828295,0.5095965980921733,0.15028248587570622,0.010169491525423728,0.0,1196,3.5341196293176074,0.16137123745819398
h,1500-1559,980.0,12.817805383022774,0.27774005160939835,0.0279098193671058,0.22158087735977183,0.0,0.472769251663724,0.21122448979591837,0.017346938775510204,0.007142857142857143,739,3.3151432469304227,0.17050067658998647
h,1600-1659,736.0,12.21751025991792,0.13760806916426513,0.12076729106628242,0.22829610951008644,0.0,0.513328530259366,0.20380434782608695,0.006793478260869565,0.004076086956521739,1140,4.327723649247122,0.18157894736842106
h,1700-1759,936.0,3.1396103896103895,0.2107349801768832,0.056877096675815794,0.3299786520280573,0.001219884111009454,0.4011893870082342,0.1111111111111111,0.013888888888888888,0.004273504273504274,393,10.586387434554974,0.21882951653944022
h,1800-1859,1197.0,7.4211423699914745,0.20803608036080362,0.022550225502255022,0.17302173021730216,0.0,0.5963919639196392,0.17042606516290726,0.020050125313283207,0.004177109440267335,691,14.504398826979472,0.3024602026049204
h,1900-1959,382.0,14.288359788359788,0.11041465766634523,0.03953712632594021,0.2658309225329476,0.0,0.5842172934747669,0.2931937172774869,0.010471204188481676,0.002617801047120419,1022,10.195825049701789,0.2446183953033268
h,2000-2059,259.0,10.24031007751938,0.054155697630688227,0.018427980443775856,0.09665287702143663,0.0,0.8307634449040993,0.24324324324324326,0.003861003861003861,0.003861003861003861,1332,11.85171102661597,0.2627627627627628
h,2100-2159,127.0,9.733870967741936,0.05271084337349398,0.09262048192771084,0.13328313253012047,0.0,0.7213855421686747,0.2755905511811024,0.023622047244094488,0.015748031496062992,979,5.983505154639175,0.19816138917262513
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,7.603942652329749,0.22614840989399293
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6.0,0.14285714285714285
