Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,2225.0,9.205422794117647,0.2660251719596078,0.028355041709351676,0.2073759695594907,0.0,0.49824381677154983,0.16134831460674157,0.02292134831460674,0.002696629213483146,2223.0,6.196304849884527,0.18353576248313092
m,1,95.0,8.808510638297872,0.14166085136078158,0.044661549197487785,0.24145150034891835,0.0,0.5722260990928123,0.18947368421052632,0.010526315789473684,0.0,94.0,12.838709677419354,0.2553191489361702
m,2,145.0,14.569343065693431,0.3020285499624343,0.0,0.21562734785875282,0.0,0.4823441021788129,0.20689655172413793,0.05517241379310345,0.0,146.0,8.316176470588236,0.2328767123287671
m,3,134.0,7.8046875,0.621536523929471,0.07997481108312343,0.1309823677581864,0.0,0.16750629722921914,0.11194029850746269,0.04477611940298507,0.007462686567164179,134.0,1.8976377952755905,0.16417910447761194
m,4,129.0,2.953125,0.20708955223880596,0.0,0.2966417910447761,0.0,0.4962686567164179,0.13953488372093023,0.015503875968992248,0.0,129.0,2.296875,0.15503875968992248
m,5,139.0,4.731884057971015,0.4223300970873786,0.0,0.15372168284789645,0.0,0.42394822006472493,0.10071942446043165,0.007194244604316547,0.0,139.0,0.6131386861313869,0.11510791366906475
m,6,243.0,4.537190082644628,0.34858188472095153,0.0054894784995425435,0.2433668801463861,0.0,0.4025617566331198,0.12757201646090535,0.00411522633744856,0.0,244.0,1.3526970954356847,0.14754098360655737
m,7,426.0,11.62378640776699,0.21811134601832277,0.05056377730796335,0.2868217054263566,0.0,0.4445031712473573,0.20422535211267606,0.035211267605633804,0.004694835680751174,425.0,10.69437652811736,0.2023529411764706
m,8,352.0,13.713450292397662,0.2862484420440382,0.0018695471541337765,0.27897798088907355,0.0,0.43290402991275445,0.20738636363636365,0.028409090909090908,0.002840909090909091,352.0,9.576023391812866,0.25
m,9,182.0,5.615384615384615,0.5613515115589804,0.06935388263189093,0.05097806757557795,0.0,0.31831653823355066,0.07142857142857142,0.0,0.005494505494505495,181.0,-3.861878453038674,0.06077348066298342
m,10,145.0,-1.7847222222222223,0.0673469387755102,0.22040816326530613,0.11836734693877551,0.0,0.5938775510204082,0.020689655172413793,0.006896551724137931,0.0,145.0,-3.8333333333333335,0.041379310344827586
m,11,106.0,17.547169811320753,0.035845588235294115,0.0,0.029411764705882353,0.0,0.9347426470588235,0.16037735849056603,0.0,0.0,106.0,10.057692307692308,0.14150943396226415
m,12,129.0,16.056910569105693,0.04195501730103806,0.022058823529411766,0.13884083044982698,0.0,0.7971453287197232,0.31007751937984496,0.046511627906976744,0.007751937984496124,128.0,21.959349593495936,0.390625
d,1,301.0,6.754208754208754,0.3118172790466733,0.020523005627275735,0.13902681231380337,0.0,0.5286329030122476,0.14950166112956811,0.013289036544850499,0.0033222591362126247,300.0,8.23728813559322,0.21666666666666667
d,2,313.0,6.016339869281046,0.21930946291560102,0.08759590792838874,0.19309462915601022,0.0,0.5,0.14376996805111822,0.022364217252396165,0.003194888178913738,312.0,4.364238410596027,0.16666666666666666
d,3,294.0,7.320422535211268,0.18071161048689138,0.04431960049937578,0.22815230961298377,0.0,0.5468164794007491,0.14285714285714285,0.034013605442176874,0.003401360544217687,295.0,3.4049295774647885,0.1423728813559322
d,4,302.0,10.136518771331058,0.22621231979030143,0.047706422018348627,0.2516382699868938,0.0,0.4744429882044561,0.15562913907284767,0.029801324503311258,0.0033112582781456954,305.0,5.774410774410774,0.19344262295081968
d,5,314.0,8.0,0.2542372881355932,0.0,0.18730249928181558,0.0,0.5584602125825913,0.1464968152866242,0.028662420382165606,0.0031847133757961785,328.0,8.164556962025317,0.1798780487804878
d,6,330.0,12.702453987730062,0.341550779603877,0.0037926675094816687,0.1710914454277286,0.0,0.4835651074589128,0.19090909090909092,0.015151515151515152,0.0030303030303030303,356.0,7.620396600566572,0.17696629213483145
d,7,371.0,12.476712328767123,0.2854977261243052,0.016338217955196226,0.25080006737409466,0.0,0.4473639885464039,0.19137466307277629,0.018867924528301886,0.0,327.0,5.3930817610062896,0.20795107033639143
h,0001-0559,210.0,-0.12682926829268293,0.7548918640576725,0.0020597322348094747,0.243048403707518,0.0,0.0,0.03333333333333333,0.023809523809523808,0.0,0.0,0.0,0.0
