Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,4210.0,7.06453934740883,0.35490625760896033,0.02247382517652788,0.19654248843438032,0.0012904796688580473,0.42478694911127346,0.12945368171021376,0.010213776722090262,0.005225653206650831,4208.0,2.731730769230769,0.1449619771863118
m,1,360.0,2.7983193277310923,0.3525802959220498,0.07470227354745579,0.28004330566582464,0.0,0.2926741248646698,0.09166666666666666,0.008333333333333333,0.0,359.0,-0.2711864406779661,0.10863509749303621
m,2,331.0,7.948170731707317,0.22292768959435627,0.0,0.09559082892416226,0.0,0.6814814814814815,0.13595166163141995,0.00906344410876133,0.006042296072507553,331.0,2.510703363914373,0.16012084592145015
m,3,397.0,7.012658227848101,0.4604448520981426,0.009172208209126348,0.1992662233432699,0.0,0.33111671634946116,0.13350125944584382,0.005037783375314861,0.010075566750629723,397.0,4.631043256997455,0.16876574307304787
m,4,388.0,3.2,0.3450271247739602,0.006148282097649186,0.16817359855334538,0.0,0.48065099457504523,0.1056701030927835,0.020618556701030927,0.0,388.0,-0.868766404199475,0.12371134020618557
m,5,365.0,2.757575757575758,0.11355849241311797,0.22956436612824277,0.2599118942731278,0.0,0.3969652471855115,0.10410958904109589,0.005479452054794521,0.005479452054794521,364.0,0.9613259668508287,0.13186813186813187
m,6,385.0,13.689473684210526,0.3996998499249625,0.01950975487743872,0.2019343004835751,0.0,0.3788560947140237,0.16363636363636364,0.015584415584415584,0.012987012987012988,385.0,4.902374670184696,0.15844155844155844
m,7,417.0,12.602439024390243,0.2769060072911713,0.0,0.2686638135996196,0.0,0.4544301791092091,0.19424460431654678,0.016786570743405275,0.002398081534772182,417.0,7.302439024390244,0.19664268585131894
m,8,383.0,14.747340425531915,0.35371682874567334,0.0006593044338223175,0.1989451129058843,0.008735783748145706,0.4379429701664744,0.19843342036553524,0.018276762402088774,0.013054830287206266,383.0,9.888297872340425,0.21671018276762402
m,9,305.0,4.128712871287129,0.45426829268292684,0.020833333333333332,0.18191056910569106,0.0,0.3429878048780488,0.08524590163934426,0.006557377049180328,0.0,305.0,-1.4257425742574257,0.07540983606557378
m,10,286.0,4.213286713286713,0.6018759770713914,0.011464304325169358,0.02553413236060448,0.0,0.3611255862428348,0.07342657342657342,0.0,0.0,286.0,-3.5543859649122806,0.06643356643356643
m,11,285.0,3.6514084507042255,0.3050367855121675,0.003395585738539898,0.15676287492925864,0.0,0.534804753820034,0.10175438596491228,0.0035087719298245615,0.007017543859649123,285.0,0.02464788732394366,0.11929824561403508
m,12,308.0,4.722222222222222,0.39462081128747795,0.0,0.16005291005291006,0.0,0.445326278659612,0.1266233766233766,0.006493506493506494,0.003246753246753247,308.0,5.457516339869281,0.17207792207792208
d,1,616.0,9.567656765676567,0.3645480017696505,0.0,0.16325025807403037,0.0,0.4722017401563191,0.13636363636363635,0.016233766233766232,0.003246753246753247,618.0,4.970394736842105,0.15372168284789645
d,2,597.0,7.881154499151104,0.35962145110410093,0.0,0.20867507886435332,0.0,0.43170347003154574,0.11892797319932999,0.01340033500837521,0.006700167504187605,597.0,4.050761421319797,0.1407035175879397
d,3,604.0,9.373333333333333,0.5190109013560223,0.0007976601967561818,0.20579633076309492,0.0,0.27439510768412656,0.1423841059602649,0.006622516556291391,0.0,603.0,1.862876254180602,0.13764510779436154
d,4,610.0,5.914191419141914,0.17438843587842848,0.018902891030392884,0.26667902149740547,0.0,0.5400296515937731,0.12950819672131147,0.00819672131147541,0.003278688524590164,610.0,4.141196013289036,0.15737704918032788
d,5,636.0,5.165605095541402,0.13561320754716982,0.09492924528301887,0.1814072327044025,0.0,0.5880503144654088,0.12264150943396226,0.012578616352201259,0.006289308176100629,635.0,3.5964912280701755,0.15905511811023623
d,6,566.0,6.149200710479573,0.41602497398543187,0.060561914672216444,0.17065556711758584,0.0,0.35275754422476585,0.13604240282685512,0.00530035335689046,0.01060070671378092,553.0,-1.4280510018214936,0.11211573236889692
d,7,581.0,5.366319444444445,0.44569871545348383,0.007979758660957572,0.17750097314130012,0.010315297781237836,0.3585052549630206,0.12048192771084337,0.008605851979345954,0.0068846815834767644,592.0,1.4871794871794872,0.15033783783783783
h,0001-0559,332.0,1.9274924471299093,0.9315673289183223,0.0,0.029433406916850625,0.03899926416482708,0.0,0.045180722891566265,0.0030120481927710845,0.0,0.0,0.0,0.0
h,0600-0659,368.0,1.182825484764543,0.5774770842426887,0.09035355739851593,0.3321693583587953,0.0,0.0,0.04891304347826087,0.019021739130434784,0.010869565217391304,0.0,0.0,0.0
h,0700-0759,442.0,5.8099547511312215,0.8397019947128094,0.0038452295121365054,0.15645277577505406,0.0,0.0,0.08823529411764706,0.0,0.004524886877828055,216.0,2.8333333333333335,0.125
h,0800-0859,93.0,3.032258064516129,0.2601880877742947,0.0,0.15047021943573669,0.0,0.5893416927899686,0.0967741935483871,0.0,0.0,286.0,-0.36619718309859156,0.11188811188811189
h,0900-0959,469.0,5.834763948497854,0.3024136299100805,0.0,0.10553715097018457,0.0,0.592049219119735,0.1257995735607676,0.006396588486140725,0.0021321961620469083,102.0,0.43137254901960786,0.09803921568627451
h,1000-1059,15.0,1.1333333333333333,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.06666666666666667,0.0,0.0,394.0,-0.9820051413881749,0.09137055837563451
h,1100-1159,391.0,5.4447300771208225,0.25052192066805845,0.026791927627000695,0.3928322894919972,0.0,0.3298538622129436,0.09718670076726342,0.005115089514066497,0.005115089514066497,112.0,0.9642857142857143,0.09821428571428571
h,1200-1259,201.0,7.994949494949495,0.1923728813559322,0.0,0.15338983050847457,0.0,0.6542372881355932,0.16417910447761194,0.014925373134328358,0.004975124378109453,406.0,-0.43424317617866004,0.11822660098522167
h,1300-1359,5.0,2.6,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.2,545.0,4.483208955223881,0.1577981651376147
h,1400-1459,435.0,8.806004618937644,0.45401662049861496,0.006094182825484765,0.3155124653739612,0.0,0.22437673130193905,0.12183908045977011,0.004597701149425287,0.006896551724137931,48.0,-4.291666666666667,0.0625
h,1500-1559,548.0,11.466542750929367,0.16435760805210184,0.05482534043812907,0.257312018946122,0.0,0.5235050325636471,0.19160583941605838,0.020072992700729927,0.009124087591240875,243.0,2.2892561983471076,0.1728395061728395
h,1600-1659,239.0,5.945378151260504,0.20572916666666666,0.0125,0.171875,0.0,0.6098958333333333,0.17154811715481172,0.0041841004184100415,0.0,410.0,10.18,0.23414634146341465
h,1700-1759,252.0,14.0398406374502,0.2630418809698751,0.017879010531471957,0.14156257653686016,0.0,0.5775165319617928,0.19047619047619047,0.003968253968253968,0.0,279.0,1.7805755395683454,0.13978494623655913
h,1800-1859,250.0,8.727642276422765,0.3347124534546959,0.01696317749275962,0.06495655771617707,0.0,0.5833678113363674,0.196,0.016,0.004,13.0,-4.615384615384615,0.07692307692307693
h,1900-1959,164.0,12.602564102564102,0.21803342401865528,0.0,0.0769529731830548,0.0,0.70501360279829,0.2073170731707317,0.04878048780487805,0.012195121951219513,452.0,4.4519015659955254,0.16371681415929204
h,2000-2059,6.0,7.666666666666667,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,318.0,3.707792207792208,0.14779874213836477
h,2100-2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.5,0.2857142857142857
h,2200-2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,1.5232558139534884,0.1391304347826087
h,2300-2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.5,0.0
