Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,Count2,ArrDelay,15minArrDelay
y,2016,728.0,-1.39221140472879,0.337024468655117,0.03589926772637971,0.07590641185926059,0.0,0.5511698517592427,0.11813186813186813,0.012362637362637362,0.008241758241758242,728.0,-3.2701949860724233,0.13324175824175824
m,1,62.0,-8.816666666666666,0.0,0.0,0.21428571428571427,0.0,0.7857142857142857,0.03225806451612903,0.03225806451612903,0.03225806451612903,62.0,-10.05,0.04838709677419355
m,2,58.0,-6.896551724137931,0.10112359550561797,0.0,0.00749063670411985,0.0,0.8913857677902621,0.06896551724137931,0.0,0.0,58.0,-7.379310344827586,0.08620689655172414
m,3,62.0,-5.049180327868853,0.0,0.0,0.09022556390977443,0.0,0.9097744360902256,0.0967741935483871,0.016129032258064516,0.0,62.0,-2.4262295081967213,0.14516129032258066
m,4,60.0,-7.35,0.7426470588235294,0.0,0.022058823529411766,0.0,0.23529411764705882,0.03333333333333333,0.0,0.0,60.0,-10.2,0.05
m,5,62.0,-6.129032258064516,0.04417670682730924,0.0,0.1686746987951807,0.0,0.7871485943775101,0.08064516129032258,0.0,0.0,62.0,-5.919354838709677,0.11290322580645161
m,6,60.0,-5.220338983050848,0.19047619047619047,0.0,0.13333333333333333,0.0,0.6761904761904762,0.06666666666666667,0.016666666666666666,0.0,60.0,-5.271186440677966,0.13333333333333333
m,7,62.0,-4.354838709677419,0.13584905660377358,0.0,0.19622641509433963,0.0,0.6679245283018868,0.11290322580645161,0.0,0.0,62.0,-4.419354838709677,0.12903225806451613
m,8,62.0,7.344262295081967,0.4315217391304348,0.07717391304347826,0.04021739130434782,0.0,0.45108695652173914,0.1935483870967742,0.016129032258064516,0.0,62.0,2.3278688524590163,0.1774193548387097
m,9,60.0,-6.526315789473684,0.15853658536585366,0.054878048780487805,0.15853658536585366,0.0,0.6280487804878049,0.03333333333333333,0.05,0.0,60.0,-3.473684210526316,0.08333333333333333
m,10,62.0,12.516129032258064,0.6337907375643225,0.0548885077186964,0.03773584905660377,0.0,0.27358490566037735,0.20967741935483872,0.0,0.03225806451612903,62.0,-0.016129032258064516,0.1774193548387097
m,11,58.0,1.8620689655172413,0.520336605890603,0.0,0.004207573632538569,0.0,0.47545582047685836,0.13793103448275862,0.0,0.0,58.0,-1.2586206896551724,0.15517241379310345
m,12,60.0,11.440677966101696,0.1364082433758587,0.05593719332679097,0.11383709519136408,0.0,0.6938174681059862,0.35,0.016666666666666666,0.03333333333333333,60.0,9.051724137931034,0.3
d,1,104.0,-4.53921568627451,0.3178036605657238,0.0,0.11980033277870217,0.0,0.562396006655574,0.07692307692307693,0.019230769230769232,0.019230769230769232,104.0,-5.176470588235294,0.125
d,2,104.0,-1.6568627450980393,0.41422594142259417,0.02789400278940028,0.022315202231520222,0.0,0.5355648535564853,0.1346153846153846,0.019230769230769232,0.0,104.0,-3.019607843137255,0.11538461538461539
d,3,104.0,3.0097087378640777,0.7361769352290679,0.04028436018957346,0.09873617693522907,0.0,0.12480252764612954,0.10576923076923077,0.009615384615384616,0.0,104.0,-6.679611650485437,0.09615384615384616
d,4,102.0,-5.2772277227722775,0.05341246290801187,0.050445103857566766,0.14540059347181009,0.0,0.7507418397626113,0.08823529411764706,0.00980392156862745,0.0196078431372549,102.0,-5.415841584158416,0.09803921568627451
d,5,106.0,-0.1792452830188679,0.43757431629013077,0.0,0.04994054696789536,0.0,0.5124851367419738,0.1320754716981132,0.0,0.0,106.0,-2.0285714285714285,0.19811320754716982
d,6,106.0,-0.3047619047619048,0.03925619834710744,0.05268595041322314,0.07231404958677685,0.0,0.8357438016528925,0.14150943396226415,0.009433962264150943,0.009433962264150943,106.0,0.18095238095238095,0.1509433962264151
d,7,102.0,-0.95,0.04948216340621404,0.0713463751438435,0.05868814729574223,0.0,0.8204833141542003,0.14705882352941177,0.0196078431372549,0.00980392156862745,102.0,-0.83,0.14705882352941177
h,1100-1159,364.0,0.7787114845938375,0.2041576171269004,0.05336642879304995,0.09183990071362085,0.0,0.6506360533664288,0.1620879120879121,0.019230769230769232,0.01098901098901099,0.0,0.0,0.0
h,1600-1659,265.0,-4.143939393939394,0.48567946374162096,0.017672151127361365,0.061547836684948204,0.0,0.4351005484460695,0.07169811320754717,0.0037735849056603774,0.007547169811320755,99.0,-6.224489795918367,0.1111111111111111
h,1700-1759,99.0,-1.8877551020408163,0.5877551020408164,0.0,0.0380952380952381,0.0,0.3741496598639456,0.08080808080808081,0.010101010101010102,0.0,0.0,0.0,0.0
h,0900-0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,1.3426966292134832,0.17032967032967034
h,1500-1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,-8.393939393939394,0.09056603773584905
