Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819.0,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,60.0,-19.5,0.012084592145015106,0.0,0.06042296072507553,0.0,0.9274924471299094,0.05,0.0,0.03333333333333333,-8.933333333333334,0.05
m,2,58.0,-29.862068965517242,,,,,,0.0,0.0,0.0,-18.362068965517242,0.017241379310344827
m,3,62.0,-16.79032258064516,0.0,0.0,0.03903903903903904,0.0,0.960960960960961,0.04838709677419355,0.0,0.0,-4.967741935483871,0.0967741935483871
m,4,60.0,-9.35,0.04304635761589404,0.0,0.059602649006622516,0.0,0.8973509933774835,0.08333333333333333,0.0,0.0,-3.25,0.1
m,5,61.0,-11.0,0.581151832460733,0.015706806282722512,0.14136125654450263,0.0,0.2617801047120419,0.04918032786885246,0.01639344262295082,0.0,-4.616666666666666,0.04918032786885246
m,6,60.0,-8.76271186440678,0.0,0.0,0.18831168831168832,0.0,0.8116883116883117,0.05,0.016666666666666666,0.0,-1.0338983050847457,0.15
m,7,62.0,-7.4655172413793105,0.03664921465968586,0.0,0.07329842931937172,0.0,0.8900523560209425,0.06451612903225806,0.06451612903225806,0.0,-3.8793103448275863,0.11475409836065574
m,8,62.0,1.5964912280701755,0.05182341650671785,0.011516314779270634,0.15355086372360843,0.0,0.783109404990403,0.1935483870967742,0.08064516129032258,0.03225806451612903,6.315789473684211,0.20967741935483872
m,9,60.0,-8.083333333333334,0.04081632653061224,0.0,0.10204081632653061,0.1836734693877551,0.673469387755102,0.03333333333333333,0.0,0.0,-4.983333333333333,0.08333333333333333
m,10,62.0,-14.887096774193548,0.019138755980861243,0.0,0.08133971291866028,0.0,0.8995215311004785,0.06451612903225806,0.0,0.0,-8.129032258064516,0.0967741935483871
m,11,58.0,-19.36842105263158,0.0,0.18518518518518517,0.26455026455026454,0.0,0.5502645502645502,0.05172413793103448,0.017241379310344827,0.0,-10.333333333333334,0.08620689655172414
m,12,60.0,-14.377358490566039,0.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.11666666666666667,0.0,-9.50943396226415,0.08333333333333333
d,1,103.0,-13.71,0.0,0.0,0.006944444444444444,0.0,0.9930555555555556,0.038834951456310676,0.02912621359223301,0.009708737864077669,-5.77,0.07766990291262135
d,2,104.0,-14.495145631067961,0.01652892561983471,0.0,0.04132231404958678,0.0,0.9421487603305785,0.057692307692307696,0.009615384615384616,0.0,-8.077669902912621,0.0673076923076923
d,3,104.0,-15.267326732673267,0.43023255813953487,0.0,0.05813953488372093,0.0,0.5116279069767442,0.038461538461538464,0.028846153846153848,0.009615384615384616,-7.366336633663367,0.0970873786407767
d,4,102.0,-12.323232323232324,0.020289855072463767,0.0927536231884058,0.06376811594202898,0.0,0.8231884057971014,0.06862745098039216,0.029411764705882353,0.00980392156862745,-4.434343434343434,0.10784313725490197
d,5,104.0,-13.653465346534654,0.0034602076124567475,0.12110726643598616,0.1695501730103806,0.0,0.7058823529411765,0.057692307692307696,0.028846153846153848,0.0,-7.207920792079208,0.07692307692307693
d,6,106.0,-9.553398058252426,0.02557200538358008,0.0,0.15343203230148048,0.0,0.8209959623149394,0.08490566037735849,0.02830188679245283,0.0,-1.0970873786407767,0.1509433962264151
d,7,102.0,-13.212121212121213,0.065,0.0,0.155,0.045,0.735,0.0784313725490196,0.029411764705882353,0.00980392156862745,-7.777777777777778,0.08823529411764706
h,1100-1159,363.0,-10.601694915254237,0.09313392250169952,0.03942895989123046,0.11896668932698844,0.0,0.7484704282800816,0.06336088154269973,0.024793388429752067,0.008264462809917356,-3.2937853107344632,0.11019283746556474
h,1800-1859,362.0,-15.75,0.03081232492997199,0.008403361344537815,0.096171802054155,0.01680672268907563,0.8478057889822596,0.058011049723756904,0.027624309392265192,0.0027624309392265192,-12.073170731707316,0.04780876494023904
h,,,,,,,,,,,,-0.6320754716981132,0.15454545454545454
