Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABQ,326,6356,5696,1087,0,517,7,3701
ANC,1934,13199,14126,5636,104,2747,5,3736
ATL,5454,86675,77847,38574,7689,3547,19,23362
AUS,79,2114,2031,97,0,389,0,1467
BDL,108,3195,3221,499,0,330,0,2297
BOS,308,7364,6973,2963,103,758,0,2695
BWI,186,2200,1998,501,0,43,0,1160
BZN,1,10,0,,,,,
CLE,1,0,0,,,,,
CLT,9,138,85,10,0,7,0,45
CVG,1,0,0,,,,,
DCA,4,74,78,16,0,6,0,44
DEN,4071,79885,69454,26612,2171,10467,0,25910
DFW,1057,18197,17013,3581,2560,5387,0,4158
EUG,2,27,22,0,0,0,0,22
EWR,188,3755,2907,1083,88,180,0,1437
FAI,270,689,551,90,101,103,0,165
FAR,1,68,,,,,,
FLL,700,13089,12073,3734,515,2120,0,4911
GRB,1,57,,,,,,
HNL,619,5873,4611,1303,14,786,0,2001
HYS,1,35,,,,,,
IAH,665,6452,5278,2056,165,708,0,1997
IND,1,0,0,,,,,
JFK,1083,19768,18874,7660,672,2200,88,6899
JMS,329,2847,2938,1967,101,351,0,290
KOA,349,2782,2452,831,0,429,0,970
LAS,4522,60405,53477,14768,400,12833,115,21090
LAX,7956,119108,112112,40950,1722,22216,1223,35533
LGA,1,6,0,,,,,
LIH,290,1988,1540,695,41,170,7,482
LWS,1,55,60,43,0,5,0,12
MCO,416,5594,4547,1819,0,275,0,1970
MDW,62,787,586,120,0,56,0,317
MIA,13,260,183,72,0,0,0,111
MSP,1,26,,,,,,
MSY,2,0,0,,,,,
OAK,157,5644,4213,1889,0,56,3,2066
OGG,1159,12658,10745,4625,28,1189,0,4065
OME,1,0,2,,,,,
ONT,13,309,368,44,0,53,0,252
ORD,188,3442,2497,1186,96,254,0,802
PDX,1664,22619,17490,3604,559,3648,14,8493
PHL,14,256,207,31,0,18,0,153
PHX,2466,26347,25079,8490,398,3486,0,9732
PPG,121,7256,7272,2183,119,2264,6,2546
PSP,81,1323,1419,450,0,290,0,548
RNO,301,6049,4510,901,0,245,0,2947
SAN,114,136,76,0,0,6,0,54
SAT,58,1397,1419,226,0,343,0,749
SEA,4482,42072,35992,12106,544,4054,45,14299
SFO,5515,78760,65607,24312,211,5750,8,29690
SJC,171,2667,1731,290,0,113,0,1157
SJU,3,331,325,203,0,21,0,101
SLC,1469,25124,20837,6245,124,1617,0,11450
SMF,636,14996,11357,2843,23,470,0,7370
STL,2,0,0,,,,,
SYR,1,51,,,,,,
TPA,19,210,173,56,0,6,0,76
TUS,19,16,0,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
