Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,168,765,867,291,0,325,0,84
ABQ,1548,16323,16184,5588,476,1647,8,6800
ABR,60,1011,1162,978,0,40,0,21
ABY,85,827,817,370,0,148,0,239
ACT,145,2206,2163,1048,0,121,0,902
ACV,116,2110,2162,565,0,569,24,877
ACY,317,3383,3390,674,0,869,0,1563
ADK,8,4,4,,,,,
ADQ,31,108,148,0,0,33,0,102
AEX,216,1456,1536,596,9,73,0,687
AGS,239,1511,1441,483,0,181,0,602
ALB,790,6042,6081,2314,222,1403,0,1449
AMA,225,1781,1964,392,154,543,0,664
ANC,1162,4048,6056,1827,41,1372,0,1010
APN,51,1498,1119,261,0,43,0,768
ASE,216,1643,1617,211,173,272,0,741
ATL,32185,237813,218755,95420,4923,38255,22,49758
ATW,322,1536,1875,630,111,448,0,508
AUS,3855,43676,40695,14900,1779,6740,41,13280
AVL,272,1886,1894,743,5,361,0,546
AVP,68,336,711,50,0,401,0,185
AZO,208,1041,1503,161,0,469,0,635
BDL,1708,14437,14709,4378,398,3377,10,5022
BET,81,150,184,0,0,12,44,74
BFL,226,1535,1717,495,0,376,0,729
BGM,85,1708,1748,1094,36,121,0,400
BGR,30,382,348,312,0,18,0,16
BHM,1043,7855,7955,2818,257,1299,0,2664
BIL,249,900,999,657,0,192,0,40
BIS,255,2105,2076,1076,0,182,0,678
BJI,60,500,626,405,0,118,0,35
BLI,88,795,751,183,0,62,0,443
BMI,135,649,785,219,18,181,0,200
BNA,4054,38386,37167,9583,1326,6013,0,16033
BOI,1100,10146,10198,3673,107,2152,0,3276
BOS,9893,109267,111104,32828,3890,30331,52,36108
BPT,59,1596,2030,824,0,408,0,692
BQK,85,498,561,159,0,93,0,264
BQN,111,988,974,29,0,80,0,787
BRD,51,36,133,0,0,64,0,0
BRO,174,1517,1661,686,0,261,0,649
BRW,78,352,384,10,0,26,0,326
BTM,55,196,166,0,0,7,0,127
BTR,583,6059,7080,2447,0,1358,0,2728
BTV,285,2367,2564,458,0,969,0,827
BUF,1515,12218,12755,3920,333,2401,0,5096
BUR,1827,16176,16190,2467,373,3142,0,8141
BWI,7871,72247,67135,22402,1884,13027,620,20559
BZN,250,1663,1627,725,199,61,0,519
CAE,389,3519,3559,1675,0,710,0,931
CAK,449,4219,4839,943,535,1443,0,1368
CDC,51,55,78,0,0,0,0,25
CDV,60,316,335,69,0,2,0,231
CHA,367,3519,3691,1644,20,343,0,1222
CHO,205,2260,2227,502,0,232,0,1318
CHS,1345,12632,13116,4352,216,3459,0,3787
CID,431,2576,2727,897,54,510,0,996
CIU,55,1103,1182,915,0,83,0,127
CLE,2790,22584,22705,6737,138,6926,11,6601
CLL,47,419,338,0,0,0,0,325
CLT,9033,64186,70276,21134,2638,18578,281,17727
CMH,1798,12014,12564,2981,583,2851,6,4628
CMX,60,329,478,21,0,266,11,93
COD,60,268,295,119,0,0,0,131
COS,637,6946,8170,3481,506,1814,0,1740
CPR,117,850,984,34,0,165,0,709
CRP,294,2242,2437,417,202,678,0,929
CRW,222,2456,2745,465,26,688,0,1316
CSG,115,627,590,179,0,10,0,306
CVG,1358,14852,14659,4891,415,3432,0,4966
CWA,56,258,476,62,0,213,0,119
DAB,180,1265,1234,306,157,280,0,422
DAL,5636,67931,72532,14633,5837,15075,135,28843
DAY,518,4380,4630,1075,348,1200,0,1638
DCA,6602,55062,59451,12636,1522,18222,24,21526
DEN,18038,165318,163050,42673,6727,38564,60,57975
DFW,16147,182532,195319,58677,14300,40772,120,65023
DHN,115,484,469,87,0,38,0,222
DLH,202,1320,1656,611,0,437,0,425
DRO,176,1720,2340,1085,0,465,0,432
DSM,633,5560,5318,2202,187,1082,0,1481
DTW,10447,86922,83941,33633,1405,18830,97,22217
DVL,47,396,344,7,85,19,0,196
EAU,55,898,842,668,0,9,0,154
ECP,405,3111,3333,696,257,652,0,1498
EGE,71,455,543,133,0,202,0,149
EKO,51,203,271,0,0,24,0,187
ELM,151,832,918,349,0,181,0,286
ELP,886,9455,8978,2549,686,1099,0,3902
ERI,55,266,335,47,0,239,0,0
ESC,51,395,448,0,0,56,0,330
EUG,291,4216,4398,1662,0,1727,0,759
EVV,251,1538,2140,532,0,676,0,640
EWN,59,1330,1372,983,0,38,0,330
EWR,9733,110384,91486,28196,914,14217,26,40621
EYW,177,1177,1163,305,37,48,0,664
FAI,171,1003,1379,749,101,248,0,80
FAR,281,2252,2191,1116,0,200,0,712
FAT,659,5357,5566,1817,84,1453,0,1770
FAY,140,2175,2052,1351,0,23,0,469
FCA,172,342,442,0,25,41,0,260
FLG,151,408,520,50,18,102,0,222
FLL,7249,88793,87497,27502,1295,20619,402,30637
FNT,318,2542,2776,893,458,562,0,587
FSD,331,1328,1307,107,10,370,0,579
FSM,90,747,908,638,0,226,0,38
FWA,341,3273,3307,1458,0,307,0,1169
GCC,85,267,271,0,0,34,0,216
GEG,785,5454,5545,1667,61,729,0,2344
GFK,142,396,350,124,0,11,0,148
GGG,30,83,91,16,0,9,0,44
GJT,237,319,522,7,0,158,0,155
GNV,197,1551,1549,842,0,110,0,423
GPT,254,3697,3871,1635,262,525,0,1245
GRB,320,1492,1822,446,0,320,0,704
GRK,235,1699,1851,607,89,143,0,806
GRR,746,4796,5426,1199,0,1379,0,2378
GSO,540,5387,5178,2242,0,1572,0,1104
GSP,651,6286,6377,2183,0,1491,0,1906
GTF,119,1350,1436,827,0,194,0,380
GTR,85,882,861,383,0,38,0,380
GUC,5,0,7,,,,,
GUM,30,79,48,26,0,0,0,0
HDN,39,542,652,26,335,238,0,0
HIB,81,1127,1256,985,0,154,0,63
HLN,141,843,953,708,0,51,0,58
HNL,3828,15684,16613,6340,89,731,0,5436
HOB,47,139,148,16,18,100,0,0
HOU,4357,46915,49505,12404,3476,9735,0,17995
HPN,589,6731,6587,3149,200,1233,0,1631
HRL,246,2526,2587,760,74,396,0,1135
HSV,326,2052,2122,853,0,477,0,596
HYS,51,103,116,4,0,43,0,46
IAD,2763,24929,23389,7883,114,6618,0,7310
IAG,34,632,568,82,0,103,0,351
IAH,11174,112881,108982,25347,13879,26776,22,33844
ICT,726,8736,8989,2870,1858,1260,0,2563
IDA,199,1319,1439,813,0,149,0,323
ILM,175,491,579,30,0,58,0,371
IMT,56,392,413,85,0,37,0,264
IND,2319,19160,18701,4450,857,3339,15,7664
INL,51,1147,771,662,15,0,0,67
ISN,144,712,705,387,0,53,0,199
ISP,431,2585,2488,815,205,633,0,507
ITH,85,520,563,41,0,124,0,301
ITO,503,1992,2198,1306,8,0,0,431
JAC,158,1755,1641,1229,7,173,0,152
JAN,414,2307,2654,1159,69,560,0,649
JAX,1559,11104,10819,2186,290,2598,0,4554
JFK,8206,106840,99753,38344,2078,20784,283,31492
JLN,60,1160,857,629,0,56,0,132
JMS,72,411,478,183,0,32,0,176
JNU,351,924,1140,196,0,164,0,492
KOA,977,3026,3467,747,0,463,74,1032
KTN,180,1091,1160,416,0,34,0,558
LAN,286,2246,2482,503,0,750,0,995
LAR,51,143,171,0,0,15,0,96
LAS,12520,162736,165245,35571,4528,30913,178,79364
