Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,182,1867,2161,445,19,403,0,1074
ABI,27,918,1023,37,0,85,0,835
ABQ,1648,26086,24957,5862,3291,3871,33,10018
ABR,61,1490,1442,563,31,110,13,629
ABY,73,898,876,452,0,30,0,324
ACT,100,2198,2434,1805,0,174,0,291
ACV,109,1308,1403,137,0,357,0,781
ACY,323,3962,3947,776,0,1341,0,1379
ADK,9,159,133,47,39,7,25,0
ADQ,30,225,310,21,0,67,28,170
AEX,260,4369,4764,2038,0,985,0,1421
AGS,205,2636,2692,1142,55,262,0,1050
ALB,772,7793,8392,3103,188,2369,0,2091
AMA,249,1865,1876,623,0,372,0,611
ANC,1253,10494,11924,4122,778,2500,0,2967
APN,53,1461,1390,207,153,65,0,857
ASE,562,19241,19170,4600,429,3359,20,10188
ATL,31107,366784,339536,143854,11888,52606,227,95070
ATW,251,4387,4900,1548,0,958,0,2122
AUS,4035,45601,43875,9723,856,8253,6,19986
AVL,256,5423,5166,586,0,1611,12,2728
AVP,90,1874,2411,365,29,1569,1,311
AZO,138,2679,3410,454,70,1641,0,1150
BDL,1907,25002,27948,7628,953,6987,65,10192
BET,81,676,784,2,94,75,0,495
BFL,177,2405,2423,1073,0,450,0,678
BGM,56,1727,2056,708,200,362,0,715
BHM,1029,10378,10163,2940,25,1820,0,4302
BIL,300,5950,7038,2812,323,1164,0,2375
BIS,159,2827,2852,1210,18,282,0,1222
BJI,61,1387,1666,497,0,194,21,779
BLI,73,2046,2050,508,609,275,0,557
BMI,119,1348,1515,591,9,244,0,515
BNA,4508,56945,61170,13824,1909,14730,89,24744
BOI,1389,26600,30701,10583,498,7355,16,10400
BOS,10186,133251,159518,41234,7902,52606,607,44498
BPT,45,1243,1272,910,0,47,0,256
BQK,84,1716,1781,960,0,169,0,596
BQN,162,3134,3164,303,35,412,0,2292
BRD,53,1087,1332,877,21,243,7,104
BRO,79,2743,2743,181,428,1138,0,877
BRW,79,781,828,101,50,75,21,476
BTM,55,1534,1485,902,152,48,0,352
BTR,542,10992,10881,6943,467,937,0,1918
BTV,350,7009,8131,2431,292,2934,0,2155
BUF,1446,24864,26812,6249,1828,5403,148,11742
BUR,2001,32483,32210,6291,611,5022,0,17750
BWI,8440,110627,111267,36278,8244,21439,86,34395
BZN,401,8547,9168,1658,424,1939,0,4703
CAE,314,5149,5429,1759,0,1573,0,1732
CAK,423,5796,6025,1619,135,2279,0,1592
CDC,53,534,636,3,0,124,0,421
CDV,60,84,82,3,0,6,0,51
CHA,388,8172,8758,3033,112,1884,0,3200
CHO,200,4743,5402,2389,68,868,0,1820
CHS,1016,14023,14074,3758,428,3024,0,5816
CID,305,7488,8262,2505,876,1293,0,3274
CIU,56,2441,2464,714,830,144,0,676
CLE,2632,40814,44734,11905,2117,12564,22,15224
CLL,123,450,519,2,0,49,0,329
CLT,11097,116571,131647,37710,1114,33227,242,43637
CMH,2072,25417,29746,6635,1023,9560,0,10193
CMX,61,1391,1566,639,323,263,53,212
COD,61,873,1005,374,230,164,0,133
COS,819,19597,19850,10483,1359,2936,0,4177
CPR,92,1843,1967,653,686,144,0,432
CRP,233,2652,2476,330,918,216,0,810
CRW,183,1937,1932,718,0,351,0,719
CSG,72,946,996,506,0,102,0,262
CVG,1121,18960,21268,7237,493,5323,0,7010
CWA,57,620,936,34,0,313,0,508
DAB,160,2046,2076,407,0,186,0,1303
DAL,5818,69044,63845,19098,994,8124,35,26557
DAY,431,7385,7605,2391,1444,1520,0,1738
DCA,6539,74689,89382,20182,5710,25820,6,29198
DEN,18470,345975,320378,91253,28637,56682,42,122253
DFW,20195,272233,281408,101654,3185,45836,119,104105
DHN,115,2897,2882,2013,0,124,0,594
DLH,192,4663,5179,481,654,971,0,2837
DRO,114,1388,1605,672,0,252,0,505
DSM,637,16797,15686,6896,1024,2192,515,4472
DTW,9956,194605,228298,89233,14955,58546,163,54419
DVL,52,766,743,19,497,23,0,148
EAU,56,1363,1397,754,0,406,0,197
ECP,308,3348,3269,698,682,307,0,1318
EGE,284,6813,5489,1219,884,681,0,2479
EKO,53,330,612,80,170,203,11,33
ELM,101,1560,1606,837,0,133,0,523
ELP,995,13073,12216,2084,163,2726,0,6142
ERI,69,1401,1662,418,0,618,0,522
ESC,53,1648,1464,55,0,81,0,1301
EUG,277,7646,8107,2659,871,1808,0,2460
EVV,205,4481,4484,1184,0,1739,0,1295
EWN,57,976,986,595,0,36,0,296
EWR,10246,225303,241067,67876,17242,49888,34,92440
EYW,145,1040,880,199,0,5,0,640
FAI,173,1247,1367,398,162,420,0,223
FAR,281,6004,6833,1481,2218,1339,0,1492
FAT,796,14605,15183,4582,450,3283,33,5709
FAY,130,2357,2325,1315,0,65,0,844
FCA,172,2660,3302,454,532,866,0,1260
FLG,105,487,773,105,24,208,0,238
FLL,8062,123781,120468,36903,539,25734,1395,45590
FNT,284,2250,2680,813,36,617,0,822
FSD,318,6339,6511,2145,325,1405,0,2230
FSM,88,1256,1327,296,0,116,0,778
FWA,350,9228,9708,3518,436,2305,0,3048
GCC,86,694,970,478,0,258,0,121
GCK,62,688,845,491,0,160,0,139
GEG,865,11436,12589,2827,521,2678,18,5330
GFK,160,4882,5292,2163,218,625,0,2154
GGG,45,1241,1335,57,0,128,0,1084
GJT,179,1437,1605,105,109,200,0,1024
GNV,189,1826,1681,106,0,151,0,1313
GPT,247,3184,3472,1267,480,462,0,1002
GRB,285,3153,3652,299,7,866,0,2214
GRI,57,775,1058,332,0,269,0,378
GRK,124,768,774,155,0,105,0,407
GRR,742,14201,17524,4990,328,5554,0,5698
GSO,401,5136,4965,754,0,1716,0,2136
GSP,507,7536,7514,1726,504,1948,0,2791
GTF,123,1833,2231,980,185,412,0,473
GTR,73,1062,1125,624,0,149,0,307
GUC,39,1793,1607,69,0,15,0,1470
GUM,31,789,777,71,0,80,0,600
HDN,155,4884,4390,1269,0,411,0,2521
HIB,84,840,1320,161,42,456,0,546
HLN,127,2072,2208,1174,144,359,0,347
HNL,4269,40336,40978,19473,344,4086,25,11148
HOB,52,1500,1475,124,0,1200,0,124
HOU,4656,47350,44606,13698,869,4782,129,17503
HPN,586,9029,9932,3500,132,1783,8,3777
HRL,222,1855,1761,101,0,152,0,1265
HSV,289,3490,3239,331,158,824,0,1657
HYS,52,505,659,1,20,126,0,422
IAD,2907,42057,48897,13507,4814,13660,41,13197
IAG,62,966,908,301,22,320,15,198
IAH,11485,168566,149425,56050,4643,25171,12,51875
ICT,605,7767,7250,2138,162,1369,0,3066
IDA,189,7196,7669,2162,1535,742,0,3006
ILM,216,2165,2181,416,0,203,0,1399
IMT,57,1338,866,287,0,178,0,308
IND,2204,29933,30604,9418,949,7600,0,9789
INL,53,789,1114,266,0,311,0,482
ISN,85,3405,3371,2594,63,234,0,390
ISP,414,2936,2654,718,143,428,0,886
ITH,83,2709,3028,1089,28,422,0,1398
ITO,491,2895,3465,425,359,90,13,1577
JAC,309,16711,18045,5538,1563,3599,0,7044
JAN,418,6229,6162,2220,0,1040,0,2495
JAX,1681,18844,18229,4314,99,4287,0,7724
JFK,9086,162336,196285,57092,26476,60180,932,39550
JMS,83,736,674,88,12,25,0,482
JNU,318,3738,3756,1258,306,616,8,1215
KOA,1211,13023,13285,2273,172,1641,0,7554
KTN,179,2677,2662,425,72,201,0,1833
LAN,186,2935,3771,1023,20,960,0,1534
LAR,53,785,769,466,0,42,0,173
LAS,12682,226403,204045,52777,2357,35582,75,98844
LAW,122,3835,4081,2064,0,326,0,1582
LAX,19976,444222,398843,104240,7024,64230,630,201136
LBB,421,5113,4965,1258,116,742,0,2360
LBE,93,388,570,1,23,350,0,136
LCH,134,3367,3193,672,454,95,0,1901
LEX,442,7836,8424,3028,144,2048,0,2665
LFT,306,4040,4053,1515,0,186,0,2021
LGA,8239,114557,116596,34967,6185,25612,59,41677
LGB,1142,15047,14978,4072,287,2765,0,6707
LIH,1063,6298,7384,1230,316,1252,0,3054
LIT,665,6206,6264,1058,193,1559,0,2644
LNK,231,5388,5696,1834,1310,646,0,1679
LRD,154,4511,4436,1650,0,177,0,2487
LSE,60,879,1104,271,0,274,0,493
LWS,61,1392,1594,669,249,200,35,383
MAF,484,3789,3745,442,7,546,32,2309
MBS,176,3489,3659,479,0,394,0,2595
MCI,3704,50986,54171,15297,2287,10433,317,20979
MCO,11936,169307,165008,47149,2182,30284,180,72160
MDT,213,3268,3629,961,7,606,0,1763
MDW,7158,110408,106187,32680,4800,17875,30,41663
MEI,84,1041,1145,363,0,64,0,592
MEM,1149,11996,11711,3170,197,2268,0,4742
MFE,191,4134,3972,1282,115,282,0,2137
MFR,245,7404,7246,3147,120,1017,0,2696
MGM,198,2541,2488,383,0,259,0,1679
MHT,536,6264,7007,1290,879,2372,20,1943
MIA,8225,108532,112045,43621,693,22210,109,34372
MKE,2527,37518,43328,12177,1746,11622,0,14803
MKG,56,667,518,0,0,14,0,478
MLB,127,1054,1105,221,0,105,0,669
MLI,188,5156,5505,2386,0,629,0,2329
MLU,255,2709,2918,530,0,781,0,1439
MMH,16,1101,1046,964,0,9,0,56
MOB,439,4912,5090,730,0,967,0,3028
MOT,59,1231,1654,273,154,469,0,689
MQT,56,3192,3272,2450,406,172,0,188
MRY,244,3534,4309,507,0,1816,0,1745
MSN,545,8730,10004,2513,424,2600,0,3882
MSO,203,3020,2918,442,23,611,0,1619
MSP,10318,185835,208373,65923,12344,55889,55,62043
MSY,3726,40129,40496,7122,1022,8724,32,19455
MTJ,132,2588,2376,689,9,378,0,1228
MYR,272,4101,3859,294,1,1206,0,2165
OAJ,98,1346,1508,792,0,221,0,379
OAK,4228,68761,67259,17023,907,12216,90,31179
OGG,2232,21687,24302,5944,709,3681,0,10450
OKC,1246,15432,15302,2656,530,2463,0,8410
OMA,1699,20067,21543,6682,610,5318,0,6932
OME,60,733,853,285,129,108,0,235
ONT,1849,28610,27959,6671,1206,5015,50,12735
ORD,21465,420624,435609,129526,52595,87800,105,139447
ORF,854,9060,8942,1616,44,1872,0,4561
ORH,61,853,888,493,0,181,0,165
OTH,17,396,417,0,0,56,0,319
OTZ,60,537,587,9,34,36,0,444
PAH,56,1130,1107,276,515,22,0,249
PBG,62,675,771,102,17,328,0,222
PBI,2523,37641,37128,7798,29,6948,0,19643
PDX,5089,91497,89279,24198,6750,18962,33,33654
PGD,41,688,622,21,18,73,0,498
PHF,88,1472,581,123,0,113,0,246
PHL,7375,91726,110336,33124,2940,32187,218,33025
PHX,17019,227474,212321,62901,3644,39415,339,85948
PIA,210,5072,5180,2066,0,526,0,2360
PIB,53,572,619,530,0,60,0,0
PIH,83,1954,2114,239,79,222,0,1490
PIT,2319,20607,25127,5527,699,7613,11,8860
PLN,79,2040,2033,555,0,197,0,1228
PNS,497,5831,5344,1763,71,404,0,2767
PPG,11,3041,2976,1961,0,0,0,1015
PSC,311,4498,4636,2129,134,721,0,1431
PSE,87,842,825,79,0,106,0,559
PSG,60,858,857,22,40,82,0,658
PSP,906,15834,15771,4242,448,3100,0,7142
PVD,1213,12960,13749,3289,345,3778,0,4851
PWM,472,9452,9938,2183,726,3000,0,3497
RAP,257,4594,4414,2314,63,334,0,1482
RDD,90,823,859,37,0,332,0,405
RDM,272,5559,5912,1090,1827,1250,0,1529
RDU,3012,40488,42739,13636,392,9163,45,14816
RHI,87,1326,1418,444,90,153,0,607
RIC,1279,17908,18486,6848,6,4148,17,5899
RKS,56,246,290,3,0,51,0,197
RNO,1252,19436,18993,3008,276,4264,0,10237
ROA,174,2156,2197,377,44,420,0,1194
ROC,595,7839,8788,1185,194,2939,0,3821
ROW,53,860,885,17,0,36,0,771
RST,61,1634,1707,635,0,399,0,630
RSW,3212,41609,42934,9142,69,10981,0,19529
SAF,135,2145,2390,946,0,346,0,968
SAN,6984,104437,97933,17021,2082,20102,450,50278
SAT,2808,29883,28573,7276,167,4031,0,13991
SAV,581,9842,10414,2553,334,3004,0,3831
SBA,464,9494,10412,1681,0,2847,0,5450
SBN,406,10481,11634,4886,606,2595,0,3143
SBP,271,5489,6190,1091,101,2488,0,2331
SCC,61,303,401,10,124,51,0,135
SCE,65,655,988,52,279,309,0,255
SDF,764,13072,13027,5301,262,2458,0,4161
SEA,10953,159992,155981,42937,10316,38222,85,50928
SFO,14975,284781,259202,70196,4848,35259,176,134876
SGF,175,2961,2970,1276,16,374,0,1217
SGU,193,1875,2225,426,151,361,0,947
SHV,474,8641,8770,3324,0,790,0,4193
SIT,89,1671,1651,696,214,147,0,506
SJC,3865,65562,64419,17115,2024,9900,55,30384
SJT,111,2187,2406,1472,0,191,0,630
SJU,2793,33008,32487,8876,0,3500,42,17352
SLC,9288,158993,155179,46847,17973,31295,0,48823
SMF,3668,67373,64465,20066,1405,8362,13,29326
SNA,3803,50509,45355,9344,568,7291,91,23602
SPI,123,3958,4053,1489,0,315,0,2149
SPS,69,1139,1186,562,0,84,0,489
SRQ,308,4907,4533,614,255,443,0,2931
STL,5087,69106,68296,18366,2851,14695,128,25290
STT,585,11987,11331,4962,80,446,102,5250
STX,135,706,685,40,0,90,0,384
SUN,120,2696,2862,449,18,394,0,1927
SWF,62,1109,1047,211,3,56,0,742
SYR,473,8458,10302,2822,41,2711,12,4132
TLH,170,2301,2273,865,0,161,0,1136
TPA,6447,79930,77854,19130,886,13032,5,38204
TRI,185,1718,1691,492,0,168,0,856
TTN,198,3308,2909,535,359,455,0,1387
TUL,1375,14735,15694,6434,353,2301,0,5376
TUS,1514,22328,21640,6254,483,5092,0,8267
TVC,129,2372,2443,97,51,321,0,1843
TWF,122,3842,4001,824,1189,451,12,1307
TXK,56,758,946,121,0,93,0,572
TYR,17,468,501,18,0,30,0,414
TYS,612,11582,11729,5897,9,1510,0,3665
VLD,86,1157,1296,498,0,112,0,531
VPS,308,2444,2543,895,0,363,0,1010
WRG,60,1121,1052,139,57,116,0,707
XNA,416,9298,9114,3664,12,1603,0,3538
YAK,60,69,59,0,23,0,0,0
YUM,118,650,638,25,0,134,0,355
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
