Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,239,5775,6193,1642,517,1357,0,2403
ABI,23,321,325,79,0,26,0,182
ABQ,1658,26640,25660,6352,786,2982,0,13546
ABR,62,545,529,0,20,61,0,399
ABY,86,981,956,257,0,114,0,528
ACK,158,4611,4736,1630,367,1254,14,1346
ACT,112,1384,1568,189,0,221,0,1036
ACV,121,1653,1631,345,0,274,0,963
ACY,341,6641,6259,287,67,5131,0,527
ADK,9,42,25,,,,,
ADQ,56,217,233,0,0,5,67,98
AEX,236,4261,4438,1460,6,624,0,2175
AGS,227,5369,4900,1722,15,971,0,2072
AKN,31,317,351,89,0,40,144,57
ALB,795,16193,15595,4347,1510,2984,4,6113
AMA,263,2450,2471,987,40,238,0,870
ANC,2112,14623,14129,5542,329,1106,0,5102
APN,62,356,264,56,39,7,13,78
ASE,435,4426,4675,1244,111,1209,0,1771
ATL,33941,639593,616884,201434,46457,130072,82,209126
ATW,230,1307,1402,117,0,532,0,607
AUS,4131,66333,65419,17123,2487,13354,0,27798
AVL,358,7156,6841,1587,2,1786,0,3254
AVP,165,2477,2564,785,0,746,0,843
AZO,153,921,1022,143,27,388,0,389
BDL,1773,19886,20839,4502,904,4906,9,9168
BET,80,103,133,6,0,1,0,63
BFL,229,2618,2586,1351,2,235,0,849
BGM,99,1138,1132,491,0,6,0,557
BGR,123,1718,1482,383,127,389,0,488
BHM,1050,18116,17261,3738,420,4136,0,8056
BIL,337,2198,2136,219,0,756,0,926
BIS,212,2944,2983,1292,153,328,0,1081
BJI,62,1297,1284,610,49,102,0,477
BMI,159,1727,2156,369,156,467,0,996
BNA,4623,90821,88235,22023,3384,10564,30,46971
BOI,1344,14596,14481,6180,296,2231,0,4708
BOS,11145,207967,207281,57501,3707,64449,394,69490
BPT,62,1793,2111,1124,0,245,0,566
BQK,91,1789,1855,495,0,181,0,1149
BQN,208,4003,3477,210,37,382,0,2696
BRD,62,602,673,35,322,107,0,149
BRO,207,2630,2853,847,83,268,0,1548
BRW,80,467,463,0,0,5,15,376
BTM,57,1129,1063,885,37,1,0,131
BTR,617,16219,16544,8826,1146,1865,0,4186
BTV,395,9074,8255,2233,110,4230,0,1452
BUF,1611,24148,23367,5912,658,5875,0,9602
BUR,1919,25046,25609,4289,599,3785,0,14828
BWI,8851,188164,184065,55465,14954,34431,727,68846
BZN,567,6248,6280,2293,26,1873,0,1678
CAE,371,9047,8694,3787,0,1878,0,2803
CAK,404,6207,5824,594,186,3011,0,1842
CDC,52,92,63,0,0,0,0,25
CDV,61,413,469,100,0,57,0,237
CHA,333,5627,5803,1592,40,1206,0,2710
CHO,204,5479,5295,2153,99,1289,17,1593
CHS,1417,31791,31184,6126,672,10471,0,12923
CID,315,3743,4306,510,22,1724,0,1677
CIU,61,366,245,39,26,4,0,165
CLE,3102,57571,55758,17099,1488,15943,14,18765
CLL,89,1144,1148,18,0,110,0,974
CLT,9381,174570,181212,49216,17250,44869,708,58512
CMH,2095,32056,31766,7209,1610,7247,27,13957
CMX,62,1057,1131,324,108,504,0,118
COD,120,1316,1367,420,304,164,3,308
COS,738,10068,10402,4394,538,1612,0,3048
CPR,135,908,941,141,38,402,0,285
CRP,257,2381,2238,168,55,296,0,1580
CRW,231,6368,6103,1204,514,1074,0,3171
CSG,107,1883,1901,396,0,136,0,1284
CVG,1351,21203,22281,4402,921,8130,0,7523
CWA,83,1238,1168,453,0,292,0,384
DAB,184,2486,2344,1006,0,557,0,709
DAL,5816,114037,112956,35105,4574,16112,0,49618
DAY,604,9596,9437,4019,437,1918,0,2751
DCA,6743,129273,139849,28919,10370,38418,289,55707
DEN,20919,342751,338767,98655,13143,69702,24,132698
DFW,17291,378362,384570,119423,17062,62261,93,165809
DHN,115,3795,3691,1626,0,178,0,1762
DLG,31,289,302,227,14,14,13,0
DLH,235,5392,5835,1760,148,1142,12,2590
DRO,218,3976,4231,1346,145,686,0,1729
DSM,773,11810,12035,4235,257,3175,0,3670
DTW,10371,149391,149736,48608,6587,43254,136,41310
DVL,53,167,157,52,0,24,0,9
EAU,57,788,883,393,0,151,0,306
ECP,452,6332,6064,2403,80,1052,0,2185
EGE,107,827,870,526,9,93,0,145
EKO,56,501,491,0,0,1,0,462
ELM,148,842,745,185,0,89,0,410
ELP,969,15846,16060,5437,605,2040,37,6804
ERI,55,1318,1311,344,16,485,0,422
ESC,52,638,562,74,0,0,0,468
EUG,308,2821,2891,948,0,829,0,932
EVV,247,7568,7319,3141,0,986,0,3028
EWN,60,1450,1519,427,0,203,0,849
EWR,10183,272660,266190,76506,22222,55162,70,102511
EYW,127,1341,1199,169,40,696,0,237
FAI,310,2894,2409,997,0,159,0,980
FAR,350,5450,5872,2196,0,1543,0,1804
FAT,774,9653,9807,4611,89,2019,0,2534
FAY,143,3430,3083,846,0,218,0,1975
FCA,309,2620,2428,706,0,498,0,996
FLG,177,3404,3137,1645,153,59,0,1030
FLL,6766,129990,124787,31573,3224,43633,208,39575
FNT,375,3867,3791,1138,303,445,0,1604
FSD,329,2671,3005,226,67,1551,0,810
FSM,68,1305,1351,837,0,118,0,352
FWA,343,4766,4674,1949,306,1044,0,1169
GCC,87,878,824,393,0,5,0,364
GCK,62,3861,4070,3066,0,196,0,754
GEG,897,7841,7564,2460,107,1142,0,2841
