Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,244,3108,3220,1257,15,862,0,756
ABI,4,154,234,142,0,74,0,0
ABQ,1648,28333,28011,6255,511,4798,39,14533
ABR,60,125,138,15,0,0,0,66
ABY,86,989,967,480,0,41,0,410
ACK,113,1639,1460,310,273,91,25,696
ACT,71,605,676,122,0,90,0,351
ACV,120,1038,875,0,0,61,0,755
ACY,330,4226,3800,1162,0,978,135,1140
ADK,9,92,88,49,0,6,15,0
ADQ,56,126,160,0,0,17,29,51
AEX,262,3146,3487,869,257,443,0,1690
AGS,227,3442,3318,1067,0,476,0,1623
AKN,26,91,108,0,0,16,0,81
ALB,813,8761,8975,2446,380,2182,0,3312
AMA,252,3836,3893,742,152,808,0,2020
ANC,1959,9782,11248,3219,131,1644,16,3873
APN,52,364,325,0,0,24,0,272
ASE,291,2344,2125,732,78,364,0,730
ATL,33279,492635,471081,160711,43604,79943,66,154867
ATW,261,2439,2565,1611,8,355,0,446
AUS,3908,54789,53274,14197,2866,8554,0,23024
AVL,337,6607,6846,2689,85,1335,0,2474
AVP,110,643,746,15,0,484,0,171
AZO,134,1482,1506,420,376,494,0,118
BDL,1768,17924,18215,5524,1114,4023,13,6057
BET,82,84,167,25,0,41,0,34
BFL,227,854,893,95,38,144,0,467
BGM,86,380,373,179,0,0,0,126
BGR,81,1646,1492,1146,0,101,0,203
BHM,1042,18696,17746,5829,898,2746,45,7330
BIL,298,1308,1318,444,0,174,0,563
BIS,233,2720,2518,404,227,316,0,1384
BJI,60,163,189,0,0,19,0,132
BLI,12,1,14,,,,,
BMI,140,1649,1908,736,0,356,0,681
BNA,4631,74466,71693,17556,1763,10054,55,36404
BOI,1290,11832,12283,5284,477,2025,0,3274
BOS,10866,127353,127775,34567,1119,38828,162,41729
BPT,60,684,757,226,0,231,0,212
BQK,86,1058,1092,375,0,142,0,516
BQN,186,2633,2202,206,2,131,0,1663
BRD,52,311,357,54,3,52,0,194
BRO,258,4458,4321,1565,572,833,0,1202
BRW,76,462,476,37,0,12,0,376
BTM,56,32,54,0,0,34,0,0
BTR,633,13307,13719,8309,445,1773,0,2631
BTV,381,5416,4989,1794,48,1222,0,1661
BUF,1523,13638,12842,2394,441,3826,47,4978
BUR,1903,21640,21354,3881,836,2415,0,11519
BWI,8583,135835,135415,37312,10485,27380,114,49979
BZN,367,2404,2307,472,38,306,0,1272
CAE,357,6850,7112,2649,0,1576,0,2553
CAK,423,5060,4696,518,173,2030,0,1682
CDC,52,184,159,0,0,0,0,103
CDV,60,214,318,13,20,108,22,115
CHA,387,8107,7756,4048,145,502,0,2757
CHO,202,1862,2003,632,65,603,0,583
CHS,1348,22010,21743,4891,474,6663,14,8542
CID,403,3023,3017,1040,95,664,0,927
CIU,56,116,41,7,0,6,0,21
CLE,3068,37907,35516,10627,300,8736,0,12896
CLL,124,1658,1737,630,0,406,0,578
CLT,9203,149468,162890,46391,18038,39294,421,47979
CMH,2065,23314,23153,5945,865,4678,0,9744
CMX,66,953,972,600,0,54,0,283
COD,120,609,704,94,0,67,0,399
COS,702,12875,12697,5537,690,2221,0,3476
CPR,153,1736,1813,1179,0,280,0,283
CRP,230,2690,2485,507,41,614,0,1081
CRW,236,5410,5576,2026,175,980,0,2231
CSG,107,1233,1440,321,0,279,0,733
CVG,1502,17661,18141,5151,318,4465,0,7004
CWA,97,484,690,11,51,203,0,302
DAB,179,2302,2108,1038,83,366,0,549
DAL,5718,117784,117724,30248,5437,13597,4283,55858
DAY,602,4961,5057,701,23,1883,0,1965
DCA,6680,104314,122692,20366,11923,36506,67,47170
DEN,19708,296933,285490,77937,13268,49015,96,124626
DFW,16671,358404,357059,106050,28643,45509,134,157432
DHN,116,1747,1680,655,0,118,0,854
DLG,26,94,126,22,0,25,20,46
DLH,174,2728,2037,490,536,364,0,543
DRO,182,1764,1895,609,0,504,0,485
DSM,614,7541,7442,3128,31,1822,0,1938
DTW,10802,111739,106484,41759,2148,22854,15,30893
DVL,48,1187,1089,347,18,12,0,666
EAU,56,674,694,524,0,102,0,36
ECP,455,5114,4890,800,89,846,0,2808
EGE,65,302,368,217,0,47,0,0
EKO,56,72,111,6,0,40,0,13
ELM,146,1054,1039,272,0,192,0,500
ELP,983,15810,15792,4528,903,2203,0,7063
ERI,56,325,507,189,0,217,0,72
ESC,52,1409,1341,961,200,0,0,165
EUG,313,3650,3685,1004,0,1055,0,1411
EVV,208,1891,2062,744,0,609,0,599
EWN,60,662,874,355,0,197,0,268
EWR,9705,176411,172333,51570,3720,38017,0,69792
EYW,121,3380,3281,385,1991,242,0,588
FAI,279,2465,2437,1115,53,237,0,697
FAR,411,3801,4358,727,16,1768,0,1540
FAT,765,11047,11665,6198,0,1656,0,2864
FAY,142,898,1108,404,0,404,0,210
FCA,185,1576,1592,609,187,57,0,642
FLG,170,1106,934,91,267,46,0,406
FLL,6551,103837,109695,26359,4126,35680,345,36464
FNT,299,1722,1693,596,8,256,0,668
FSD,365,3417,3966,1519,318,933,0,939
FSM,90,1325,1334,566,0,100,0,568
