Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,166,1471,1588,332,0,570,0,534
ABQ,1489,13814,13609,3340,337,2067,0,6215
ABR,62,1538,1718,834,0,146,0,643
ABY,89,760,757,357,0,50,0,256
ACT,149,2217,2148,478,0,85,0,1443
ACV,95,2241,2191,595,0,265,114,1147
ACY,310,9213,9727,21,0,8950,5,305
ADK,9,97,91,0,0,1,24,61
ADQ,31,220,223,8,35,4,0,137
AEX,219,2285,2355,690,13,199,0,1305
AGS,235,2309,2092,930,0,86,0,867
ALB,835,7155,6772,1916,213,1871,0,2056
AMA,255,1885,2035,106,54,855,0,731
ANC,1227,5465,7401,2339,113,1624,0,1538
APN,54,286,367,159,2,72,0,74
ASE,721,15314,16334,3800,1390,3753,27,6514
ATL,32894,289446,271680,102592,17145,57690,203,63680
ATW,288,2552,2998,489,487,1046,0,744
AUS,3952,42176,40680,8185,1783,8590,283,17767
AVL,268,2318,2634,819,8,538,0,995
AVP,121,923,1091,349,0,228,0,322
AZO,213,3807,4357,1846,1013,480,0,832
BDL,1622,13953,14606,4200,429,3459,0,5228
BET,85,352,392,19,33,24,0,259
BFL,237,2640,2649,601,0,572,0,1274
BGM,89,655,616,0,0,40,0,458
BGR,1,0,0,,,,,
BHM,1081,12443,12954,4159,471,3164,0,4118
BIL,302,913,1223,52,19,358,0,600
BIS,227,3134,3424,2323,34,447,0,412
BJI,62,413,536,298,0,67,0,71
BLI,104,934,1025,401,197,54,0,233
BMI,93,939,969,429,0,133,0,342
BNA,4207,37283,35887,8569,1559,6389,84,14801
BOI,1166,12511,13778,3737,237,3816,0,4502
BOS,9927,96583,96713,30541,1508,33632,235,22009
BPT,62,1974,2096,648,0,233,0,1189
BQK,89,607,590,29,0,58,0,455
BQN,115,951,837,13,0,232,28,419
BRD,54,126,241,0,0,97,0,98
BRO,204,1545,1552,258,70,534,0,589
BRW,79,363,374,174,2,30,0,123
BTM,58,453,466,246,0,48,0,159
BTR,592,8520,9472,4241,10,1590,0,2970
BTV,334,4367,5034,1597,167,1625,0,1348
BUF,1621,17120,17010,6338,785,3586,0,5041
BUR,1833,18556,18943,1884,997,4144,0,9680
BWI,7839,74738,70486,24171,1507,16579,22,18908
BZN,371,3452,3785,993,0,1111,0,1296
CAE,457,5474,5331,2568,283,1017,0,1172
CAK,538,3940,3987,392,100,1598,0,1301
CDC,54,1213,1269,1025,0,55,0,121
CDV,62,341,366,0,6,10,0,298
CHA,391,8655,8892,4427,16,808,0,3321
CHO,207,2492,2287,932,9,335,0,877
