Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,226,1541,1347,376,0,378,0,400
ABQ,1692,17195,15910,3491,976,2578,14,6834
ABR,62,11,22,,,,,
ABY,86,1456,1479,541,0,93,0,748
ACK,67,993,920,42,420,72,0,365
ACT,121,1114,1099,263,0,86,0,636
ACV,124,2786,2697,590,0,751,0,1294
ACY,341,4704,4741,671,201,1417,0,2218
ADK,9,4,2,,,,,
ADQ,51,584,661,522,0,53,19,28
AEX,236,1936,2083,396,0,373,0,1109
AGS,233,2152,2313,1124,0,267,0,684
ALB,888,6483,6572,1263,26,1843,0,2684
AMA,259,2797,2670,836,407,500,0,686
ANC,1466,6918,7542,3191,153,1154,0,1575
APN,53,795,762,478,173,11,0,73
ASE,119,1210,1488,0,25,798,0,545
ATL,33387,281904,271685,108053,7731,52809,204,64259
ATW,271,1274,1590,523,117,266,0,446
AUS,3882,51342,51099,13112,5000,8466,11,20372
AVL,265,2338,2198,797,0,337,0,882
AVP,167,2123,2080,1367,0,335,0,265
AZO,143,732,816,525,0,68,0,165
BDL,1800,14383,15440,5454,287,4070,0,3740
BET,82,90,178,0,0,57,0,30
BFF,1,40,,,,,,
BFL,234,1917,1983,285,0,340,0,1180
BGM,85,204,330,0,0,115,0,128
BGR,36,55,57,55,0,2,0,0
BHM,1086,12089,12033,4261,74,2519,0,4104
BIL,247,1143,1254,536,0,228,0,392
BIS,198,1454,1722,527,3,486,0,548
BJI,62,178,164,0,0,0,0,107
BLI,88,191,246,125,0,7,0,32
BMI,145,1316,1518,632,0,316,0,471
BNA,4272,48579,48491,9978,1933,7692,94,23236
BOI,1181,9622,10147,3306,186,2486,0,3198
BOS,10653,90452,89727,23706,846,27648,152,25546
BPT,62,1332,1708,693,0,337,0,545
BQK,86,345,467,45,0,160,0,200
BQN,170,1731,1522,340,31,142,0,837
BRD,53,58,119,0,0,34,0,25
BRO,200,957,952,30,142,191,0,516
BRW,80,441,433,1,16,2,0,404
BTM,58,1443,1453,1281,0,0,0,141
BTR,603,9298,9998,4112,127,2574,0,2405
BTV,358,3023,3106,1320,0,1078,0,453
BUF,1596,11692,11506,4381,117,2239,0,3721
BUR,1887,15379,15342,1402,560,3873,0,7566
BWI,8347,79538,75344,22953,4129,13585,270,24337
BZN,244,3649,3694,1894,0,660,0,937
CAE,374,6121,6335,3287,38,994,0,1633
CAK,400,5489,5844,1836,0,1988,0,1650
CDC,53,92,126,4,0,62,0,23
CDV,61,259,303,35,35,13,20,121
CHA,389,3532,3635,1284,13,302,0,1441
CHO,205,5522,5639,4159,30,496,0,717
CHS,1385,12742,11731,1911,50,3758,0,4807
CID,438,2980,3049,221,391,1065,0,1025
CIU,57,337,264,150,0,3,0,81
CLE,2899,25430,24529,5407,429,7033,8,9203
CLL,121,645,757,359,0,267,0,53
CLT,9524,111658,121659,34629,15907,26622,413,32974
CMH,1929,16593,17647,4335,970,4109,0,6349
CMX,62,1941,2034,1037,114,381,0,428
COD,88,120,169,49,0,37,0,0
COS,694,8359,8975,3513,548,1950,0,2269
CPR,162,1215,1368,269,347,368,0,301
CRP,263,2555,2555,399,204,746,0,931
CRW,236,2914,2934,1215,4,389,0,1019
CSG,117,823,839,321,0,45,0,367
CVG,1471,15822,17377,4566,718,4585,0,5946
CWA,58,347,432,245,0,75,0,66
DAB,179,1781,1740,974,63,173,0,362
DAL,5767,74710,77603,15198,6922,14073,176,32379
DAY,521,4046,4096,713,140,1934,0,905
DCA,6841,64166,74447,13416,3888,23810,28,26080
DEN,19060,232701,217166,53348,11417,38789,50,94473
DFW,16544,223368,232610,63243,25255,44411,126,82254
DHN,118,689,688,236,0,48,0,332
DLH,232,2253,2334,484,672,418,0,660
DRO,241,3253,4090,2013,0,897,0,777
DSM,682,9990,9481,3920,80,2250,0,2476
DTW,11138,94283,90359,38638,2243,16682,84,23711
DVL,48,345,297,0,0,261,0,0
EAU,58,768,710,99,0,335,0,266
ECP,411,2761,2734,672,15,453,0,1265
EGE,31,526,513,467,0,0,0,0
EKO,53,41,108,17,0,28,0,7
ELM,150,752,720,220,0,110,0,296
ELP,916,9741,9130,2513,396,1026,18,4233
ERI,57,725,705,90,24,529,0,3
ESC,53,56,92,19,0,24,0,0
EUG,316,5621,5781,667,0,2570,7,2223
EVV,258,2972,3669,1199,63,1144,0,948
EWN,60,345,390,178,0,49,0,134
EWR,9499,108471,99701,32604,1328,20159,47,36448
EYW,158,1792,1787,52,944,79,0,514
FAI,220,663,828,213,0,173,0,231
FAR,373,3014,3328,1144,0,1127,0,845
FAT,705,10282,10443,3475,0,2630,0,3846
FAY,144,1058,1126,372,0,54,0,504
FCA,181,890,990,274,64,194,0,385
FLG,159,387,427,29,92,30,0,91
FLL,6838,93850,94574,24774,9242,23263,184,30108
FNT,333,1110,1383,100,239,500,0,325
FSD,370,2974,3171,924,0,1027,0,875
FSM,89,727,727,277,0,122,0,322
FWA,380,2937,3041,1619,115,616,0,492
GCC,88,546,523,273,0,150,0,90
GEG,787,3279,3236,915,0,396,0,1159
GFK,84,198,178,0,0,0,0,131
GGG,53,53,159,0,0,64,0,50
GJT,325,2263,2732,1013,0,849,0,538
GNV,200,2306,2450,973,0,174,0,1072
GPT,265,1462,1626,599,39,348,0,380
GRB,328,2804,2982,1104,299,764,0,628
GRK,139,1317,1403,696,0,300,0,288
GRR,827,5202,5391,743,256,1600,0,2194
GSO,558,5000,5176,1226,78,1889,0,1542
GSP,688,6338,6202,1431,45,1648,0,2293
GTF,117,273,265,174,0,16,0,21
GTR,89,664,785,327,0,83,0,237
GUM,31,552,518,35,0,55,0,408
HDN,31,111,164,66,0,30,0,0
HIB,84,1183,1167,0,0,0,0,1086
HLN,146,205,295,51,0,26,0,103
HNL,3999,17723,18628,7502,112,993,16,5105
HOB,57,452,428,220,0,170,0,26
HOU,4433,58800,59524,13593,4666,8975,42,26365
HPN,606,7473,8708,2998,23,2120,23,2744
HRL,260,2861,2856,453,67,510,0,1607
HSV,348,2705,2651,1377,16,371,0,582
HYA,15,84,90,0,0,68,0,0
HYS,53,602,673,7,102,148,0,403
IAD,2919,27120,25813,7213,559,7853,17,7695
IAG,26,232,174,101,0,0,0,44
IAH,11840,164523,159346,44315,15829,31484,223,57710
ICT,619,7953,8152,2228,189,2735,0,2642
IDA,206,1111,1273,388,0,478,0,314
ILM,179,1330,1491,923,0,107,0,307
IMT,57,962,930,425,285,10,0,200
IND,2450,19993,21454,5677,1073,5743,0,6470
INL,53,930,101,0,0,0,0,90
ISN,149,1839,1931,1182,436,192,0,70
ISP,445,2981,3121,703,0,664,0,1273
ITH,86,769,719,395,0,23,0,220
ITO,516,1894,2158,303,19,0,0,1168
JAC,185,904,1062,110,33,430,0,385
JAN,437,4838,4636,2521,103,826,0,889
JAX,1599,17690,17158,5421,1238,3578,0,5550
JFK,8356,79930,75178,30880,736,19350,356,16174
JLN,62,319,459,176,0,183,0,91
JMS,75,568,667,471,2,102,0,41
JNU,391,1438,1638,821,18,138,0,232
KOA,994,3313,3193,740,53,170,0,1148
KTN,215,1481,1622,899,0,118,26,407
LAN,171,3056,3105,1852,0,557,0,623
LAR,53,709,658,249,0,402,0,0
LAS,12944,132498,123704,32106,2884,23180,303,50250
LAW,65,760,855,732,0,101,0,2
LAX,17692,208864,191237,58479,2566,38557,180,71661
LBB,379,4281,4268,1391,170,1095,0,1315
LBE,85,567,660,28,7,136,0,421
LCH,105,1016,1071,518,288,77,0,136
LEX,411,4349,4724,920,0,1489,0,1917
LFT,251,3325,3195,899,0,1204,0,815
LGA,8032,95878,102844,28632,1091,27711,27,37190
LGB,858,9320,9210,3588,0,1677,0,3070
LIH,975,3391,3693,766,77,195,0,1749
LIT,743,7484,7621,2155,544,1297,0,3103
LNK,295,1539,1790,536,37,449,0,603
LRD,201,974,1330,167,0,720,0,370
LSE,87,309,280,0,0,1,0,237
LWS,59,127,155,12,0,4,0,104
MAF,503,3807,3817,674,206,872,0,1603
MBS,95,1350,1342,0,0,408,0,893
MCI,3902,45105,45074,9719,5189,9019,134,16617
MCO,10550,114539,113484,32310,6884,22842,78,40799
MDT,253,3437,3266,1458,20,379,0,1108
MDW,7546,80337,74157,18334,4596,11331,36,30128
MEI,84,1586,1686,1177,0,118,0,317
MEM,1170,12527,11960,2315,968,2980,6,4554
MFE,198,2703,2508,740,0,629,0,1021
MFR,266,3627,3628,605,0,1484,0,1314
MGM,208,1597,1536,345,0,135,0,815
MHT,669,3440,3451,521,54,1669,27,637
MIA,6114,97251,108631,35381,10451,23651,110,31312
MKE,2766,22271,22195,6044,920,4482,0,8507
MKG,58,1324,1293,95,0,423,0,742
MLB,143,867,640,164,13,5,0,358
MLI,264,2273,2576,1046,0,441,0,904
MLU,279,4264,4508,1628,0,998,0,1688
MOB,391,4048,4796,2000,0,1442,0,926
MOT,202,721,827,113,20,156,0,475
MQT,57,68,162,0,0,53,0,31
MRY,212,796,1250,372,0,345,0,277
MSN,586,3705,4029,832,16,1332,0,1534
MSO,239,1076,1160,455,0,190,0,373
MSP,11005,74067,76625,25613,2811,19638,5,18471
MSY,3942,43711,42433,10284,2278,7534,0,18308
MTJ,31,0,0,,,,,
MVY,31,204,199,2,0,10,0,141
MYR,604,5156,5145,1121,50,1713,18,1652
OAJ,117,1041,1317,91,0,165,0,835
OAK,4035,34868,34764,8475,310,5189,0,14041
