Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,367,7032,6977,2953,91,1015,0,2575
ABI,25,284,337,12,0,37,0,241
ABQ,2798,29390,29066,6042,1060,4546,121,13895
ABR,107,1397,1486,426,20,102,0,827
ABY,149,1497,1497,708,0,164,0,520
ACK,91,2614,2487,202,442,863,0,897
ACT,209,3075,3292,1126,0,379,0,1550
ACV,201,3326,3228,502,0,769,0,1804
ACY,525,8471,8719,1880,0,4755,0,1550
ADQ,78,347,456,201,0,84,3,107
AEX,435,6796,7109,2872,0,1515,0,2389
AGS,395,6330,6342,3634,194,586,0,1591
AKN,9,61,69,15,0,7,46,0
ALB,1354,15333,15085,6402,543,2439,0,4582
AMA,450,3229,3514,603,416,795,0,1328
ANC,2517,12921,14725,5733,363,2496,0,3451
APN,104,1784,1625,666,136,34,0,764
ASE,655,7630,8423,1387,147,2319,27,3954
ATL,57055,635779,584336,252177,15214,91461,176,172775
ATW,518,4574,5040,1226,288,1402,0,1682
AUS,6894,72618,70976,18119,2604,14226,102,28311
AVL,482,6715,6587,2037,34,1311,0,2771
AVP,251,5058,5424,2955,535,508,1,1147
AZO,309,3755,4215,1238,24,1160,0,1514
BDL,3011,30158,31300,9893,819,7520,13,10709
BET,155,247,380,22,20,60,0,189
BFL,394,4586,4627,2273,0,593,0,1501
BGM,131,2389,2510,957,116,259,0,1041
BGR,84,1357,1289,335,84,207,0,589
BHM,1861,20134,19547,6973,351,3913,0,6777
BIL,503,3715,3611,1472,0,502,0,1382
BIS,343,5492,5558,2501,1180,575,0,1074
BJI,104,1152,1228,248,12,125,0,765
BLI,71,1308,1393,438,522,105,0,292
BMI,227,2453,2735,1302,40,345,0,785
BNA,7715,84538,82405,24135,2562,13195,59,34027
BOI,2172,22213,23211,8960,530,4812,0,6950
BOS,18420,242703,256823,69756,10184,78970,303,80515
BPT,79,2519,2895,1344,0,374,0,1012
BQK,153,1954,1995,1035,0,186,0,642
BQN,284,4096,3515,388,49,279,0,2499
BRD,104,1401,1627,809,325,229,0,200
BRO,310,3262,3266,1216,130,395,0,1407
BRW,156,506,479,74,14,13,0,276
BTM,104,895,877,576,61,67,0,116
BTR,1045,16010,16638,8893,86,2695,0,4058
BTV,592,9570,10316,3712,243,3799,0,2052
BUF,2648,27892,27137,7240,555,7194,18,9925
BUR,3380,30905,32532,3806,992,7539,0,16034
BWI,14153,152795,143517,44453,5584,29486,98,50009
BZN,574,5150,5236,1980,0,831,0,1999
CAE,690,10369,10433,3914,242,1485,0,4115
CAK,789,9897,9662,3840,92,2631,0,2347
CDC,104,541,596,15,0,88,0,415
CDV,103,412,327,149,0,3,0,151
CHA,708,10467,10712,4101,1,1644,0,4248
CHO,355,6588,6888,2686,52,1159,0,2744
CHS,2168,33199,31950,11579,542,9012,0,8775
CID,647,7222,7390,1388,261,1152,0,4073
CIU,103,3510,3404,680,978,99,0,1579
CLE,5154,61002,58063,17888,897,16567,33,17862
CLL,172,1988,1969,591,0,525,0,760
CLT,16527,204920,215674,64900,16356,47436,356,68059
CMH,3452,31543,31948,8815,945,6815,13,11976
CMX,104,2721,2779,1215,54,309,0,1138
COD,127,2158,2227,1333,184,144,0,460
COS,1240,15850,17702,7338,1139,3839,0,4198
CPR,214,3346,3399,1799,0,512,0,944
CRP,447,3025,3278,730,0,969,0,1319
CRW,382,6437,6247,2427,307,755,0,2522
CSG,186,1704,1703,269,0,179,0,1114
CVG,2444,32987,33392,9890,579,7656,0,13160
CWA,119,1852,2120,1078,0,487,0,438
DAB,290,4858,4940,2421,311,645,0,1404
DAL,10298,119126,121932,28610,7674,22363,81,49074
DAY,974,11304,11042,4216,13,2559,0,3500
DCA,11779,137793,153144,33519,11107,38532,60,58750
DEN,33456,406711,389636,107957,13826,72412,269,160445
DFW,29390,427953,451050,134154,23960,86575,341,171828
DHN,202,2839,2669,1275,0,176,0,998
DLG,12,48,56,0,0,3,0,34
DLH,369,5911,5989,569,601,753,0,3799
DRO,298,4523,5279,1888,45,1336,0,1629
DSM,1165,12154,12929,3634,531,2853,0,4909
DTW,18561,235915,227060,90991,4943,46242,123,69441
DVL,104,1607,1618,458,643,164,0,269
EAU,104,1268,1306,479,0,325,0,431
ECP,640,5175,5145,2242,145,828,0,1504
EGE,240,3634,3811,1311,172,584,0,1570
EKO,104,709,812,17,11,74,0,635
ELM,274,4182,3805,1748,0,201,0,1697
ELP,1714,18104,18003,5173,789,2675,98,7376
ENV,1,157,,,,,,
ERI,114,1866,2045,417,884,322,0,305
ESC,104,1700,1514,51,200,50,0,1156
EUG,517,8822,9003,2466,410,2811,0,2774
EVV,421,8588,8953,2874,0,2295,0,3376
EWN,103,1540,1768,954,0,208,0,532
EWR,17500,281450,261912,80524,17005,44522,53,103151
EYW,249,4072,3712,370,1995,53,0,1211
FAI,365,2274,2432,1042,0,308,0,762
FAR,603,8013,8237,3387,1411,1171,0,1755
FAT,1209,14360,15187,5144,209,3671,0,5052
FAY,256,3476,3336,1169,0,278,0,1724
FCA,337,1864,2092,863,0,432,0,571
FLG,261,2642,2861,1253,66,313,0,918
FLL,11978,161288,153082,44179,2472,45715,790,47971
FNT,574,3837,3982,1440,110,624,0,1380
FSD,653,6444,7200,1758,249,1851,0,2744
FSM,164,2511,2429,1351,0,80,0,884
FWA,628,12956,12695,4912,394,1887,0,5049
GCC,156,1396,1388,842,19,151,0,262
GCK,60,1113,1237,487,0,104,0,606
GEG,1484,11861,11891,3831,221,1559,0,4504
GFK,220,2212,2620,305,114,379,0,1617
GGG,57,2072,2259,633,0,210,0,1335
GJT,434,3152,3735,1399,57,845,0,1005
GNV,341,5718,5526,3140,0,289,0,1837
GPT,464,4910,5240,1644,101,961,0,2163
GRB,558,6499,6302,2505,48,882,0,2511
GRI,48,477,559,252,0,107,0,138
GRK,315,3890,4157,1857,0,900,0,1176
GRR,1364,12842,13073,3735,75,2748,0,5553
GSO,914,14415,14165,5228,995,2650,0,4671
GSP,1085,10314,10332,4058,59,2335,0,2941
GST,12,56,65,18,0,0,30,0
GTF,268,1048,1183,204,34,351,0,399
GTR,149,2155,2203,824,0,165,0,1033
GUC,30,247,232,46,0,52,0,83
GUM,52,201,141,66,0,29,0,0
HDN,127,1072,1187,242,0,307,0,506
HIB,155,999,1008,233,102,120,0,421
HLN,245,1363,1468,929,0,141,0,210
HNL,6708,36264,36711,13895,140,3091,44,12437
HOB,101,1497,1248,452,264,234,0,249
HOU,8090,80456,78136,23003,4224,12287,79,28659
HPN,1071,19700,19860,8360,285,4306,29,5714
HRL,438,2883,3226,362,0,886,0,1660
HSV,623,6058,6065,2750,116,823,0,1975
HYA,17,47,30,,,,,
HYS,104,1554,1614,37,42,347,0,1150
IAD,5070,65170,62775,18414,6400,14171,29,20192
IAG,97,836,771,155,13,375,0,190
IAH,20623,237444,221128,62449,13351,48554,31,78718
ICT,1176,12395,12196,5694,282,1890,17,3507
IDA,363,3217,3582,421,651,678,0,1534
ILM,382,5722,6280,3342,111,857,0,1736
IMT,104,2432,2284,627,185,49,0,1375
IND,3992,45346,43846,13178,2868,7840,0,16377
INL,103,1010,1219,703,0,238,0,210
ISN,247,1925,2185,1569,0,330,0,174
ISP,675,4920,4703,1543,151,689,0,1773
ITH,134,3079,2989,1537,0,157,0,1156
ITO,879,3084,3795,1431,68,103,0,1075
JAC,531,7031,7430,1925,313,2043,0,2701
JAN,798,8547,8408,2465,305,1514,0,3646
JAX,2789,29827,29061,8218,1769,4948,0,11710
JFK,14498,227255,222910,74378,21663,50552,1142,61457
JLN,63,867,756,317,0,13,0,412
