Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,196,3399,3059,1816,0,19,0,1095
ABI,25,111,118,0,0,0,0,71
ABQ,1605,11738,11708,3075,137,2452,122,4248
ABR,65,630,713,532,0,97,15,28
ABY,79,837,778,181,0,2,0,537
ACT,102,2240,2298,902,0,45,0,1207
ACV,119,1765,1729,29,162,653,0,795
ACY,282,2098,2019,269,20,734,0,878
ADK,8,69,89,6,23,38,22,0
ADQ,34,98,125,15,0,16,35,42
AEX,262,3637,3792,1537,141,636,0,1219
AGS,208,1787,1467,386,9,102,0,883
ALB,774,6324,4547,1568,0,745,0,1908
AMA,266,996,1121,230,0,287,0,441
ANC,1115,3471,5565,1610,69,1861,0,564
APN,53,405,258,5,0,48,0,185
ASE,124,1305,1344,426,4,184,0,651
ATL,30965,191755,173395,66327,3354,35008,263,41622
ATW,298,3446,3477,869,247,834,0,1275
AUS,3842,35170,34197,9177,1075,6509,48,13115
AVL,262,4008,4092,1999,2,893,8,1045
AVP,151,2200,2203,1358,393,95,0,159
AZO,175,2106,2147,504,379,311,0,830
BDL,1857,12290,8856,3851,114,1511,0,2490
BET,78,116,271,48,9,70,0,24
BFL,202,1775,2188,642,0,692,0,700
BGM,54,1526,1658,1120,185,169,0,109
BGR,30,525,433,58,0,101,0,260
BHM,1017,6594,6187,1680,45,1454,0,2230
BIL,277,946,1151,106,0,234,0,639
BIS,149,2782,3047,836,1227,343,0,517
BJI,59,627,687,100,0,77,0,459
BLI,60,436,309,277,0,0,0,0
BMI,132,1551,1571,816,0,96,0,485
BNA,4350,36343,35337,9550,1762,7974,0,11621
BOI,1196,8328,8778,2585,55,2463,0,2618
BOS,9748,79861,62101,18120,366,18114,65,19756
BPT,1,0,0,,,,,
BQK,81,1234,1198,1018,0,72,0,83
BQN,144,1362,1241,305,44,187,0,565
BRD,51,332,498,305,0,134,0,4
BRO,62,424,426,9,0,27,0,350
BRW,76,346,374,34,40,46,0,222
BTM,55,310,353,140,24,38,0,116
BTR,534,8846,8326,4964,21,636,0,2294
BTV,231,2109,1981,337,0,567,0,883
BUF,1452,10240,8884,2010,161,2695,18,3146
BUR,1874,15635,16224,2737,104,3610,0,7432
BWI,8132,53503,40158,16518,423,4796,20,12031
BZN,212,667,631,80,0,82,0,343
CAE,334,3197,3075,1706,1,431,0,688
CAK,411,2973,2694,408,6,1190,0,842
CDC,52,382,478,18,0,105,0,308
CDV,58,190,227,44,0,19,0,145
CHA,430,6788,7348,1958,197,1812,0,2927
CHO,222,2973,2736,1768,2,112,0,690
CHS,1177,13211,12677,5241,0,2963,17,3439
CID,413,4712,4810,851,295,1113,0,2178
CIU,55,1671,1508,349,23,32,0,1087
CLE,2624,28461,25590,9040,18,6763,0,7932
CLL,105,1051,1192,289,0,267,0,567
CLT,9068,47639,51117,12441,200,15291,231,13648
CMH,1932,13444,11477,3517,0,2519,0,4334
CMX,59,2451,2408,1289,222,69,0,825
COD,58,578,639,373,0,52,0,185
COS,728,4229,4761,1548,112,1442,0,1072
CPR,92,36,60,0,0,13,0,23
CRP,259,2460,2638,979,230,479,0,728
CRW,202,2988,2612,815,407,353,0,918
CSG,101,1110,1098,363,0,106,0,548
CVG,1125,6608,6714,2109,167,1853,0,1942
CWA,76,1634,1642,1011,0,135,0,450
