Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,202,2649,2423,469,0,116,0,1557
ABI,29,130,160,1,0,15,0,91
ABQ,1704,13158,14488,3487,127,4068,0,4669
ABR,69,184,144,88,0,8,0,4
ABY,88,1170,1097,503,0,10,0,535
ACK,34,825,919,101,12,485,24,275
ACT,110,601,826,368,0,139,0,138
ACV,126,2483,2427,225,281,607,0,1225
ACY,248,2476,2551,1146,0,1210,0,121
ADK,9,88,69,33,25,4,0,0
ADQ,57,389,435,42,8,20,0,307
AEX,250,1835,1796,912,0,147,0,572
AGS,228,2595,2188,1031,0,79,0,916
ALB,778,3462,3331,638,23,1104,0,967
AMA,308,883,1016,269,109,245,0,202
ANC,1196,3816,5639,1982,392,1238,20,560
APN,52,532,482,0,139,54,0,278
ASE,200,1086,1341,89,20,385,0,681
ATL,32769,172143,147970,69994,824,25905,216,27852
ATW,377,2849,3410,897,0,679,0,1367
AUS,4037,28299,30050,8116,206,8129,0,8607
AVL,350,4034,3923,1243,0,780,0,1541
AVP,177,1300,1695,336,296,615,0,199
AZO,198,2793,2766,953,61,1429,0,222
BDL,1729,10903,10519,4606,124,2134,0,2339
BET,83,87,141,20,0,21,0,43
BFL,234,3962,3890,1563,137,883,14,1216
BGM,56,771,828,565,0,85,0,120
BGR,60,600,825,238,0,507,0,0
BHM,1069,8762,8198,4104,0,1164,0,2175
BIL,288,551,808,93,0,236,0,336
BIS,168,544,499,51,0,146,0,190
BJI,62,459,523,363,0,57,0,36
BMI,145,923,918,353,40,56,0,373
BNA,4598,35163,34705,10511,721,6307,0,12741
BOI,1272,11634,11482,3897,68,3628,0,2626
BOS,10473,103588,99994,28242,2055,26846,307,32724
BQK,88,1028,1106,413,0,82,0,563
BQN,146,1100,968,117,17,156,0,455
BRD,52,43,107,0,0,54,0,4
BRO,140,1346,1267,1044,0,11,0,195
BRW,80,144,159,0,0,17,0,75
BTM,57,194,220,167,0,26,0,0
BTR,521,5618,5175,3462,0,168,0,1265
BTV,357,3569,3767,746,0,1580,0,1172
BUF,1507,12485,12671,2324,252,4333,0,4463
BUR,1929,19416,20732,2127,545,6519,0,9025
BWI,8226,47750,44743,16963,794,11208,32,8917
BZN,313,1811,2000,461,0,587,0,707
CAE,284,2134,2088,1075,41,181,0,625
CAK,468,4619,4838,2149,0,1235,0,1033
CDC,52,13,40,,,,,
CDV,62,238,246,94,0,17,7,106
CHA,461,5735,5922,2216,74,1624,0,1526
CHO,224,2619,2744,1322,0,373,0,858
CHS,1268,9701,9808,3063,96,2390,0,3416
CID,359,3077,3296,953,0,423,0,1505
CIU,57,1293,1207,334,723,17,0,121
CLE,2938,31733,31906,10174,710,7939,25,10059
CLL,135,530,530,38,0,56,0,389
CLT,9469,57545,57180,19111,213,13758,210,14595
CMH,1934,12293,12439,3663,157,2258,0,4326
CMX,62,625,697,54,28,243,0,338
COD,64,447,438,122,0,0,0,283
COS,736,7353,7957,3306,136,1101,0,2608
CPR,156,466,487,18,0,291,0,132
CRP,231,450,534,131,0,160,0,106
CRW,219,2535,2533,981,385,394,0,627
CSG,109,1041,987,348,0,16,0,534
CVG,1230,11578,11335,3427,175,2335,19,4539
CWA,88,787,874,46,0,514,0,208
DAB,150,1312,1135,643,0,42,0,413
DAL,5815,43861,46297,13373,670,11320,14,11168
DAY,575,4017,4078,675,37,1758,0,1267
DCA,6574,47076,53232,14858,209,15815,0,16320
DEN,19405,155255,155849,39049,1631,40966,0,51651
DFW,16279,115487,122902,47893,1420,30050,65,25924
DHN,119,837,766,266,0,65,0,352
DLH,261,1957,2272,799,0,416,0,869
DRO,142,1282,1706,170,0,910,0,409
DSM,637,2823,3555,1197,0,1195,0,384
DTW,11223,79159,78617,33677,767,17723,56,16960
DVL,53,743,821,61,448,103,0,183
EAU,57,493,476,378,0,38,0,22
ECP,366,2489,2260,1280,68,101,0,704
EGE,40,44,50,0,0,32,0,0
EKO,52,519,565,517,0,9,0,0
ELM,150,1412,1367,914,0,81,0,297
ELP,978,6875,6845,1100,24,1510,0,3019
ERI,57,675,732,115,0,237,0,336
ESC,52,300,353,20,0,43,0,193
EUG,279,4800,5071,1070,0,1857,0,1852
EVV,243,2044,1950,514,0,452,0,792
EWN,62,412,420,335,0,16,0,28
EWR,10016,134118,131699,45246,4489,25339,29,45695
EYW,124,928,766,627,8,4,0,89
FAI,179,654,766,193,0,81,18,338
FAR,313,3130,3353,1795,266,427,0,593
FAT,739,8403,8277,2901,0,2390,124,2358
