Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,168,1525,1458,605,101,215,0,402
ABI,26,351,395,20,0,79,0,262
ABQ,1612,11992,12286,2638,567,2101,425,4898
ABR,60,279,248,14,0,8,0,194
ABY,84,885,898,366,0,43,0,399
ACK,93,984,896,285,72,187,13,240
ACT,106,1344,1505,547,0,219,0,631
ACV,120,1429,1385,352,0,218,0,774
ACY,260,2458,2370,36,0,2012,0,164
ADK,9,3,8,,,,,
ADQ,56,244,300,217,0,13,0,0
AEX,242,2921,2845,1154,5,852,0,703
AGS,240,4101,3842,1620,0,271,0,1883
ALB,740,5048,5092,1863,44,1280,0,1296
AMA,257,1006,1181,277,76,475,0,227
ANC,1395,6155,6362,2557,119,1242,0,1055
APN,52,629,537,391,0,19,0,114
ASE,270,2451,2647,89,189,868,0,1282
ATL,31503,227255,208477,89179,6987,39941,304,46267
ATW,309,3459,3479,1349,189,625,0,1045
AUS,3842,31028,32211,8112,736,6197,14,13005
AVL,309,3210,3357,1236,0,1169,77,637
AVP,168,1337,1539,997,0,225,0,136
AZO,137,1117,1069,108,136,427,0,333
BDL,1590,8936,8941,3174,94,2098,0,2569
BET,81,133,175,27,0,14,0,93
BFL,223,1989,1968,428,0,530,0,900
BGM,56,778,820,703,0,61,0,18
BGR,119,1736,1835,495,24,348,0,832
BHM,1025,9190,9523,2918,69,2462,0,3444
BIL,243,1773,1914,714,438,105,0,422
BIS,203,2246,2301,1565,0,248,0,396
BJI,60,344,351,64,0,26,0,223
BMI,135,1990,2085,1390,0,132,0,462
BNA,4423,37238,37724,10002,624,6779,0,15793
BOI,1230,7619,7518,2651,247,1994,0,1711
BOS,10084,113451,108002,25787,729,31288,103,41172
BQK,83,1292,1165,581,0,19,0,538
BQN,139,2173,1911,69,63,221,0,1479
BRD,52,415,414,19,75,4,0,293
BRO,152,825,956,375,0,277,0,213
BRW,77,183,204,0,0,2,60,98
BTM,56,0,19,,,,,
BTR,519,6807,6460,3558,59,601,0,1876
BTV,374,3487,4075,318,350,2041,0,1059
BUF,1548,11598,12084,3126,76,3508,0,4246
BUR,1882,12355,13327,2041,403,2978,0,5686
BWI,7833,58455,56227,15219,2556,16099,224,15712
BZN,436,2430,2578,486,0,605,0,1266
CAE,342,3645,3499,806,204,604,0,1662
CAK,395,4375,4856,1800,323,1693,0,701
CDC,52,433,423,0,63,28,0,290
CDV,60,359,400,246,0,62,33,0
CHA,411,5317,5489,2625,0,1017,0,1433
CHO,200,2369,2184,307,605,195,0,914
CHS,1211,12555,12449,2896,139,3382,0,5003
CID,416,6504,6645,2192,658,1037,0,2273
CIU,55,413,295,80,0,0,0,186
CLE,2902,31240,32266,7416,769,12138,0,9254
CLL,130,1016,1125,204,0,570,0,294
CLT,9183,90683,91651,30274,7507,19626,319,25366
CMH,1911,12235,13504,3137,247,3396,0,4740
CMX,60,465,519,15,0,339,0,128
COD,106,816,800,285,34,20,0,419
COS,738,4970,5551,1260,127,1567,0,1856
CPR,111,121,139,47,23,4,0,9
CRP,220,1161,1287,379,0,372,0,424
CRW,213,3792,3604,1637,0,440,0,1413
CSG,99,814,783,337,0,9,0,321
CVG,1093,11292,11030,3195,331,2521,0,4274
CWA,58,533,583,6,0,325,0,166
DAB,145,651,711,65,0,316,0,321
DAL,5656,49369,51308,14150,1525,9953,28,17567
DAY,597,5610,5749,1684,299,2097,0,1207
DCA,6395,55170,62889,14297,1076,18288,3,23029
DEN,19268,167276,161553,50387,1327,33463,153,56810
DFW,16089,160333,180680,66956,4665,46604,112,43375
DHN,112,2353,2099,934,0,85,0,1003
DLH,173,2601,2805,553,101,517,0,1560
DRO,164,697,1052,295,0,210,0,263
DSM,600,3305,3481,1267,31,793,0,1048
