iata_code,type,name,lat,lon,elevation_ft,iso_region,municipality,icao_code,home_link,wikipedia_link
OCA,small_airport,Ocean Reef Club Airport,25.325399398804002,-80.274803161621,8.0,US-FL,Key Largo,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport
PQS,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,US-AK,Pilot Station,,,https://en.wikipedia.org/wiki/Pilot_Station_Airport
CSE,small_airport,Buckhorn Ranch Airport,38.851898193400004,-106.93281999999999,8980.0,US-CO,Crested Butte,0CO2,,
JCY,small_airport,LBJ Ranch Airport,30.251800537100006,-98.6224975586,1515.0,US-TX,Johnson City,0TE7,,
PMX,small_airport,Metropolitan Airport,42.223300933800004,-72.31140136719998,418.0,US-MA,Palmer,13MA,,http://en.wikipedia.org/wiki/Metropolitan_Airport
NUP,small_airport,Nunapitchuk Airport,60.905591,-162.44045400000002,12.0,US-AK,Nunapitchuk,PPIT,,http://en.wikipedia.org/wiki/Nunapitchuk_Airport
ICY,small_airport,Icy Bay Airport,59.96900177,-141.662002563,50.0,US-AK,Icy Bay,19AK,,http://en.wikipedia.org/wiki/Icy_Bay_Airport
KKK,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,US-AK,Kalakaket Creek,1KC,,
MHS,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,US-CA,Dunsmuir,KMHS,,http://en.wikipedia.org/wiki/Dunsmuir_Municipal-Mott_Airport
LVD,small_airport,Lime Village Airport,61.3591003418,-155.440002441,552.0,US-AK,Lime Village,2AK,,
HGZ,small_airport,Hog River Airport,66.21610260000001,-155.6690063,534.0,US-AK,Hogatza,2AK6,,
OTN,small_airport,Ed-Air Airport,38.851398468,-87.49970245360001,426.0,US-IN,Oaktown,I20,http://www.edairinc.com/index.html,http://en.wikipedia.org/wiki/Ed-Air_Airport
TLF,small_airport,Telida Airport,63.393901824951,-153.26899719238,650.0,US-AK,Telida,2K5,,https://en.wikipedia.org/wiki/Telida_Airport
BZT,small_airport,Eagle Air Park,28.982200622559,-95.579696655273,15.0,US-TX,Brazoria,2TE0,,
BYW,small_airport,Blakely Island Airport,48.578998565700005,-122.82599639899999,66.0,US-WA,Blakely Island,38WA,,
DRF,small_airport,Drift River Airport,60.5889015198,-152.162002563,30.0,US-AK,Kenai,3AK5,,
BDF,small_airport,Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,808.0,US-IL,Bradford,3IS8,,
VRS,small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,1030.0,US-MO,Versailles,3VS,,
ATT,small_airport,Atmautluak Airport,60.866699,-162.272995,17.0,US-AK,Atmautluak,,,http://en.wikipedia.org/wiki/Atmautluak_Airport
LIV,small_airport,Livengood Camp Airport,65.467,-148.6534,425.0,US-AK,Livengood,4AK,,
PDB,small_airport,Pedro Bay Airport,59.789600372299994,-154.12399292,45.0,US-AK,Pedro Bay,4K0,,
KOZ,small_airport,Ouzinkie Airport,57.925362,-152.496715,55.0,US-AK,Ouzinkie,,,http://en.wikipedia.org/wiki/Ouzinkie_Airport
TNK,small_airport,Tununak Airport,60.575500488281,-165.27200317383,14.0,US-AK,Tununak,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport
NNK,small_airport,Naknek Airport,58.732898712158004,-157.02000427246,70.0,US-AK,Naknek,5NK,,https://en.wikipedia.org/wiki/Naknek_Airport
BCS,small_airport,Southern Seaplane Airport,29.866100311300002,-90.02220153809999,,US-LA,Belle Chasse,65LA,http://southernseaplane.com/cms/?page_id=460,http://en.wikipedia.org/wiki/Southern_Seaplane_Airport
BWL,small_airport,Earl Henry Airport,36.7958984375,-97.31700134280001,1054.0,US-OK,Blackwell,6OK6,,http://en.wikipedia.org/wiki/Earl_Henry_Airport
CWS,small_airport,Center Island Airport,48.4901008606,-122.83200073200001,115.0,US-WA,Center Island,78WA,,http://en.wikipedia.org/wiki/Center_Island_Airport
TEK,small_airport,Tatitlek Airport,60.871449,-146.690297,62.0,US-AK,Tatitlek,PAKA,,http://en.wikipedia.org/wiki/Tatitlek_Airport
DUF,small_airport,Pine Island Airport,36.2535018921,-75.7884979248,16.0,US-NC,Corolla,7NC2,,http://en.wikipedia.org/wiki/Pine_Island_Airport
SSW,small_airport,Stuart Island Airpark,48.672901153564,-123.17600250244,10.0,US-WA,Stuart Island,7WA5,,
FOB,small_airport,Fort Bragg Airport,39.4743003845,-123.79599762,71.0,US-CA,Fort Bragg,82CL,,
AXB,small_airport,Maxson Airfield,44.312002,-75.90034,340.0,US-NY,Alexandria Bay,89NY,http://www.maxsonairfield.com/,http://en.wikipedia.org/wiki/Maxson_Airfield
REE,small_airport,Reese Airpark,33.590301513671996,-102.03700256348,3338.0,US-TX,Lubbock,8XS8,http://reesetechnologycenter.com/index.php/facilities/airfield-pad-site-development,https://en.wikipedia.org/wiki/Reese_Air_Force_Base
WDN,small_airport,Waldronaire Airport,48.7117996216,-123.017997742,140.0,US-WA,East Sound,90WA,,
CHU,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244.0,US-AK,Chuathbaluk,PACH,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport
UGS,small_airport,Ugashik Airport,57.5279006958,-157.399002075,25.0,US-AK,Ugashik,9A8,,https://en.wikipedia.org/wiki/Ugashik_Airport
KLL,small_airport,Levelock Airport,59.1281013489,-156.85899353,39.0,US-AK,Levelock,9Z8,,http://en.wikipedia.org/wiki/Levelock_Airport
WTL,small_airport,Tuntutuliak Airport,60.335300445600005,-162.667007446,16.0,US-AK,Tuntutuliak,A61,,http://en.wikipedia.org/wiki/Tuntutuliak_Airport
TWA,small_airport,Twin Hills Airport,59.07559967040999,-160.27299499512,82.0,US-AK,Twin Hills,A63,,https://en.wikipedia.org/wiki/Twin_Hills_Airport
KCQ,small_airport,Chignik Lake Airport,56.25500106810001,-158.774993896,50.0,US-AK,Chignik Lake,A79,,http://en.wikipedia.org/wiki/Chignik_Lake_Airport
CEX,small_airport,Chena Hot Springs Airport,65.0518035889,-146.04699707,1195.0,US-AK,Chena Hot Springs,AK13,,
