type,name,lat,lon,iata_code
small_airport,Apalachicola Regional Airport,29.728,-85.027,AAF
closed,Andrau Airpark,29.722,-95.588,AAP
medium_airport,Lehigh Valley International Airport,40.652,-75.441,ABE
medium_airport,Abilene Regional Airport,32.411,-99.682,ABI
medium_airport,Ambler Airport,67.106,-157.857,ABL
large_airport,Albuquerque International Sunport Airport,35.040,-106.609,ABQ
medium_airport,Aberdeen Regional Airport,45.449,-98.422,ABR
medium_airport,Southwest Georgia Regional Airport,31.535,-84.195,ABY
small_airport,Antrim County Airport,44.989,-85.198,ACB
medium_airport,Nantucket Memorial Airport,41.253,-70.060,ACK
medium_airport,Waco Regional Airport,31.611,-97.230,ACT
medium_airport,Arcata Airport,40.978,-124.109,ACV
medium_airport,Atlantic City International Airport,39.458,-74.577,ACY
small_airport,Lenawee County Airport,41.868,-84.077,ADG
medium_airport,Adak Airport,51.878,-176.646,ADK
small_airport,Ardmore Municipal Airport,34.303,-97.020,ADM
medium_airport,Kodiak Airport,57.750,-152.494,ADQ
small_airport,Robert F Swinnie Airport,33.452,-79.526,ADR
small_airport,Addison Airport,32.969,-96.836,ADS
small_airport,Ada Regional Airport,34.804,-96.671,ADT
large_airport,Andrews Air Force Base,38.811,-76.867,ADW
small_airport,Albert Lea Municipal Airport,43.681,-93.367,AEL
small_airport,Allakaket Airport,66.552,-152.622,AET
medium_airport,Alexandria International Airport,31.327,-92.550,AEX
small_airport,USAF Academy Airfield,38.970,-104.813,AFF
small_airport,Jaffrey Airport Silver Ranch Airport,42.805,-72.003,AFN
small_airport,Afton Municipal Airport,42.711,-110.942,AFO
large_airport,Fort Worth Alliance Airport,32.988,-97.319,AFW
medium_airport,Allegheny County Airport,40.354,-79.930,AGC
seaplane_base,Angoon Seaplane Base,57.504,-134.585,AGN
small_airport,Magnolia Municipal Airport,33.228,-93.217,AGO
large_airport,Augusta Regional At Bush Field,33.370,-81.965,AGS
small_airport,Amedee Army Air Field,40.266,-120.153,AHC
small_airport,Ardmore Downtown Executive Airport,34.147,-97.123,AHD
small_airport,Arapahoe Municipal Airport,40.340,-99.907,AHF
small_airport,Amery Municipal Airport,45.281,-92.375,AHH
small_airport,Ashland Municipal Sumner Parker Field,42.190,-122.661,AHM
medium_airport,Athens Ben Epps Airport,33.949,-83.326,AHN
closed,Amchitka Army Airfield,51.378,179.259,AHT
closed,Amchitka Army Airfield,51.378,179.259,AHT
small_airport,Alliance Municipal Airport,42.053,-102.804,AIA
small_airport,Anderson Municipal Darlington Field,40.109,-85.613,AID
small_airport,Aiken Municipal Airport,33.649,-81.685,AIK
medium_airport,Wainwright Airport,70.638,-159.995,AIN
small_airport,Atlantic Municipal Airport,41.407,-95.047,AIO
small_airport,George Downer Airport,33.106,-88.198,AIV
closed,Atlantic City Municipal Bader Field,39.360,-74.456,AIY
small_airport,Lee C Fine Memorial Airport,38.096,-92.549,AIZ
small_airport,Atka Airport,52.220,-174.206,AKB
medium_airport,Akron Fulton International Airport,41.037,-81.467,AKC
small_airport,Akiak Airport,60.903,-161.231,AKI
small_airport,Akhiok Airport,56.939,-154.183,AKK
medium_airport,King Salmon Airport,58.677,-156.649,AKN
small_airport,Colorado Plains Regional Airport,40.176,-103.222,AKO
medium_airport,Anaktuvuk Pass Airport,68.134,-151.743,AKP
medium_airport,Albany International Airport,42.748,-73.802,ALB
small_airport,Alpine Casparis Municipal Airport,30.384,-103.684,ALE
medium_airport,Alice International Airport,27.741,-98.027,ALI
medium_airport,Alamogordo White Sands Regional Airport,32.840,-105.991,ALM
medium_airport,St Louis Regional Airport,38.890,-90.046,ALN
medium_airport,Waterloo Regional Airport,42.557,-92.400,ALO
medium_airport,San Luis Valley Regional Bergman Field,37.435,-105.867,ALS
medium_airport,Walla Walla Regional Airport,46.095,-118.288,ALW
small_airport,Thomas C Russell Field,32.915,-85.963,ALX
seaplane_base,Alitak Seaplane Base,56.900,-154.248,ALZ
large_airport,Rick Husband Amarillo International Airport,35.219,-101.706,AMA
small_airport,Animas Air Park,37.203,-107.869,AMK
small_airport,Gratiot Community Airport,43.322,-84.688,AMN
small_airport,Ames Municipal Airport,41.992,-93.622,AMW
medium_airport,Anniston Metropolitan Airport,33.588,-85.858,ANB
large_airport,Ted Stevens Anchorage International Airport,61.174,-149.996,ANC
medium_airport,Anderson Regional Airport,34.495,-82.709,AND
medium_airport,Aniak Airport,61.582,-159.543,ANI
medium_airport,Annette Island Airport,55.042,-131.572,ANN
small_airport,Lee Airport,38.943,-76.568,ANP
small_airport,Tri State Steuben County Airport,41.640,-85.084,ANQ
medium_airport,Anvik Airport,62.647,-160.191,ANV
small_airport,Ainsworth Municipal Airport,42.579,-99.993,ANW
small_airport,Anthony Municipal Airport,37.159,-98.080,ANY
small_airport,Lima Allen County Airport,40.707,-84.027,AOH
medium_airport,Altoona Blair County Airport,40.296,-78.320,AOO
seaplane_base,Amook Bay Seaplane Base,57.472,-153.815,AOS
medium_airport,Centennial Airport,39.570,-104.849,APA
small_airport,Napa County Airport,38.213,-122.281,APC
medium_airport,Naples Municipal Airport,26.153,-81.775,APF
medium_airport,Phillips Army Air Field,39.466,-76.169,APG
small_airport,A P Hill AAF (Fort A P Hill) Airport,38.069,-77.318,APH
medium_airport,Alpena County Regional Airport,45.078,-83.560,APN
small_airport,Marion County Brown Field,35.061,-85.585,APT
small_airport,Apple Valley Airport,34.575,-117.186,APV
small_airport,Girdwood Airport,60.966,-149.126,AQY
medium_airport,Acadiana Regional Airport,30.038,-91.884,ARA
small_airport,Ann Arbor Municipal Airport,42.223,-83.746,ARB
medium_airport,Arctic Village Airport,68.115,-145.579,ARC
small_airport,Walnut Ridge Regional Airport,36.125,-90.925,ARG
medium_airport,Watertown International Airport,43.992,-76.022,ART
small_airport,Lakeland-Noble F. Lee Memorial field,45.928,-89.731,ARV
closed,Asbury Park Neptune Air Terminal,40.219,-74.091,ARX
medium_airport,Aspen-Pitkin Co/Sardy Field,39.223,-106.869,ASE
small_airport,Boire Field,42.782,-71.515,ASH
small_airport,Harrison County Airport,32.521,-94.308,ASL
small_airport,Talladega Municipal Airport,33.570,-86.051,ASN
small_airport,Austin Airport,39.468,-117.195,ASQ
medium_airport,Astoria Regional Airport,46.158,-123.879,AST
small_airport,John F Kennedy Memorial Airport,46.549,-90.919,ASX
small_airport,Ashley Municipal Airport,46.024,-99.353,ASY
small_airport,Antlers Municipal Airport,34.193,-95.650,ATE
medium_airport,Atqasuk Edward Burnell Sr Memorial Airport,70.467,-157.436,ATK
large_airport,Hartsfield Jackson Atlanta International Airport,33.637,-84.428,ATL
small_airport,Ohio University Snyder Field,39.211,-82.231,ATO
small_airport,Artesia Municipal Airport,32.853,-104.468,ATS
small_airport,Atmautluak Airport,60.867,-162.273,ATT
closed,Casco Cove Coast Guard Station,52.828,173.180,ATU
small_airport,Appleton International Airport,44.258,-88.519,ATW
medium_airport,Watertown Regional Airport,44.914,-97.155,ATY
medium_airport,Augusta State Airport,44.321,-69.797,AUG
small_airport,Alakanuk Airport,62.680,-164.660,AUK
small_airport,Austin Municipal Airport,43.665,-92.933,AUM
small_airport,Auburn Municipal Airport,38.955,-121.082,AUN
small_airport,Auburn Opelika Robert G. Pitts Airport,32.615,-85.434,AUO
large_airport,Austin Bergstrom International Airport,30.194,-97.670,AUS
closed,Austin Robert Mueller Municipal,30.299,-97.700,AUS
medium_airport,Wausau Downtown Airport,44.926,-89.627,AUW
small_airport,Aurora Municipal Airport,41.772,-88.476,AUZ
large_airport,Asheville Regional Airport,35.436,-82.542,AVL
small_airport,Avon Park Executive Airport,27.591,-81.528,AVO
medium_airport,Wilkes Barre Scranton International Airport,41.339,-75.723,AVP
small_airport,Marana Regional Airport,32.410,-111.218,AVW
small_airport,Catalina Airport,33.405,-118.416,AVX
small_airport,West Memphis Municipal Airport,35.135,-90.234,AWM
small_airport,Maxson Airfield,44.312,-75.900,AXB
small_airport,Algona Municipal Airport,43.078,-94.272,AXG
medium_airport,Chandler Field,45.866,-95.395,AXN
small_airport,Altus Quartz Mountain Regional Airport,34.698,-99.339,AXS
small_airport,Neil Armstrong Airport,40.493,-84.299,AXV
small_airport,Angel Fire Airport,36.422,-105.290,AXX
closed,Ft Devens Moore Army Air Field,42.570,-71.603,AYE
small_airport,Waycross Ware County Airport,31.249,-82.396,AYS
closed,Zahn's Airport,40.710,-73.400,AYZ
medium_airport,Phoenix-Mesa-Gateway Airport,33.308,-111.655,AZA
medium_airport,Kalamazoo Battle Creek International Airport,42.235,-85.552,AZO
large_airport,Beale Air Force Base,39.136,-121.437,BAB
large_airport,Barksdale Air Force Base,32.502,-93.663,BAD
medium_airport,Westfield-Barnes Regional Airport,42.158,-72.716,BAF
small_airport,Battle Mountain Airport,40.599,-116.874,BAM
small_airport,Benson Municipal Airport,45.332,-95.651,BBB
small_airport,Bay City Municipal Airport,28.973,-95.864,BBC
medium_airport,Curtis Field,31.179,-99.324,BBD
small_airport,Broken Bow Municipal Airport,41.437,-99.642,BBW
small_airport,Wings Field,40.138,-75.265,BBX
small_airport,Virginia Tech Montgomery Executive Airport,37.208,-80.408,BCB
small_airport,Bear Creek 3 Airport,63.573,-156.149,BCC
medium_airport,Bryce Canyon Airport,37.706,-112.145,BCE
closed,Baca Grande Airfield,37.965,-105.777,BCJ
small_airport,Southern Seaplane Airport,29.866,-90.022,BCS
small_airport,Boca Raton Airport,26.378,-80.108,BCT
medium_airport,Baudette International Airport,48.728,-94.612,BDE
small_airport,Rinkenberger Restricted Landing Area,41.231,-89.616,BDF
small_airport,Blanding Municipal Airport,37.583,-109.483,BDG
large_airport,Bradley International Airport,41.939,-72.683,BDL
medium_airport,Igor I Sikorsky Memorial Airport,41.164,-73.126,BDR
small_airport,Broadus Airport,45.472,-105.454,BDX
small_airport,Bandon State Airport,43.086,-124.408,BDY
small_airport,Beech Factory Airport,37.694,-97.215,BEC
medium_airport,Laurence G Hanscom Field,42.470,-71.289,BED
small_airport,Southwest Michigan Regional Airport,42.129,-86.428,BEH
medium_airport,Bethel Airport,60.780,-161.838,BET
medium_airport,Bradford Regional Airport,41.803,-78.640,BFD
medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.874,-103.596,BFF
small_airport,Bullfrog Basin Airport,37.546,-110.713,BFG
large_airport,Boeing Field King County International Airport,47.530,-122.302,BFI
medium_airport,Buckley Air Force Base,39.702,-104.752,BFK
medium_airport,Meadows Field,35.434,-119.057,BFL
medium_airport,Mobile Downtown Airport,30.627,-88.068,BFM
medium_airport,Beaver County Airport,40.772,-80.391,BFP
small_airport,Virgil I Grissom Municipal Airport,38.840,-86.445,BFR
small_airport,Beaufort County Airport,32.412,-80.634,BFT
small_airport,Hutchinson County Airport,35.701,-101.394,BGD
small_airport,Decatur County Industrial Air Park,30.972,-84.637,BGE
medium_airport,Greater Binghamton/Edwin A Link field,42.209,-75.980,BGM
small_airport,Big Lake Airport,61.536,-149.814,BGQ
