iata_code,type,name,lat,lon,elevation_ft,iso_region,municipality,icao_code,home_link,wikipedia_link
ABQ,large_airport,Albuquerque International Sunport Airport,35.040199,-106.609001,5355,US-NM,Albuquerque,KABQ,http://www.abqsunport.com/,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport
ADW,large_airport,Andrews Air Force Base,38.810799,-76.866997,280,US-MD,Camp Springs,KADW,http://www.jba.af.mil/,http://en.wikipedia.org/wiki/Joint_Base_Andrews
AFW,large_airport,Fort Worth Alliance Airport,32.98759842,-97.31880188,722,US-TX,Fort Worth,KAFW,http://www.allianceairport.com/,http://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport
AGS,large_airport,Augusta Regional At Bush Field,33.36989975,-81.96450043,144,US-GA,Augusta,KAGS,,http://en.wikipedia.org/wiki/Augusta_Regional_Airport
AMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,US-TX,Amarillo,KAMA,http://airport.amarillo.gov/,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport
ATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026,US-GA,Atlanta,KATL,http://www.atlanta-airport.com/,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport
AUS,large_airport,Austin Bergstrom International Airport,30.19449997,-97.66989899,542,US-TX,Austin,KAUS,http://www.ci.austin.tx.us/austinairport/,http://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport
AVL,large_airport,Asheville Regional Airport,35.43619919,-82.54180145,2165,US-NC,Asheville,KAVL,,http://en.wikipedia.org/wiki/Asheville_Regional_Airport
BAB,large_airport,Beale Air Force Base,39.13610077,-121.4369965,113,US-CA,Marysville,KBAB,,http://en.wikipedia.org/wiki/Beale_Air_Force_Base
BAD,large_airport,Barksdale Air Force Base,32.50180054,-93.66269684,166,US-LA,Bossier City,KBAD,,http://en.wikipedia.org/wiki/Barksdale_Air_Force_Base
BDL,large_airport,Bradley International Airport,41.93889999,-72.68319702,173,US-CT,Hartford,KBDL,http://www.bradleyairport.com/,http://en.wikipedia.org/wiki/Bradley_International_Airport
BFI,large_airport,Boeing Field King County International Airport,47.52999878,-122.302002,21,US-WA,Seattle,KBFI,,http://en.wikipedia.org/wiki/Boeing_Field
BGR,large_airport,Bangor International Airport,44.80739975,-68.82810211,192,US-ME,Bangor,KBGR,,http://en.wikipedia.org/wiki/Bangor_International_Airport
BHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650,US-AL,Birmingham,KBHM,http://www.flybirmingham.com/,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US)
BIL,large_airport,Billings Logan International Airport,45.80770111,-108.5429993,3652,US-MT,Billings,KBIL,,http://en.wikipedia.org/wiki/Billings_Logan_International_Airport
BLV,large_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,US-IL,Belleville,KBLV,,http://en.wikipedia.org/wiki/Scott_Air_Force_Base
BMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871,US-IL,Bloomington/Normal,KBMI,,http://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport
